GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	62920	3109536	657	-0.0298
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	3109696	3118555	2	2.1364
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	3127617	10482064	4591	-0.0054
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	10483779	10484989	5	-1.1588
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	10488805	16721984	3408	0.0026
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	16766762	16788139	13	-1.1006
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	16855942	53124958	20371	0.0038
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	53127345	53128843	3	-2.6956
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	53131738	65432268	9173	0.0049
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	65432318	65440582	3	2.1777
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	65441079	72293841	4493	-0.0083
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	72295173	72323161	25	0.4418
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	72323928	74803600	1534	-0.0136
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	74805388	74808182	2	1.7248
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	74808303	103616762	18522	-0.0002
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	103620877	103621165	2	1.7648
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	103697067	105470754	921	-0.0009
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	105476583	105479753	17	-2.5858
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	105481433	109231404	2419	-0.0009
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	109235615	109239381	2	-1.6261
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	109239415	109679105	214	-0.0101
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	109684695	109697556	15	1.2123
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	109702376	110834746	836	0.021
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	110834943	110845604	38	-3.1397
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	110849445	120144552	6159	0.0098
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	120146498	120954165	8	0.8505
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	120981699	143713743	185	0.0094
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	143713884	143754798	25	0.5688
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	143759680	143927887	10	-0.0699
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	143928045	144491166	15	0.4563
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	144503849	152583051	2301	0.0153
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	152583230	152613762	31	1.1369
ad5befeb-078c-4c5e-9d5e-3e5fad13791b	1	152613802	191748306	26278	0.0038
