GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr1	62920	25256850	2	1	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr1	25266637	25320455	0	0	0
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr1	25336819	72546237	2	1	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr1	72546545	72622475	0	0	0
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr1	72631417	121705338	2	1	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr1	143541857	152787202	4	2	2
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr1	152789447	152801429	0	0	0
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr1	152804279	198046129	4	2	2
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr1	198053008	202209914	3	2	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr1	202210965	202221657	9	6	3
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr1	202223295	248930189	4	2	2
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr2	12784	57163334	3	2	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr2	57163534	57218336	8	6	2
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr2	57220263	60645198	2	1	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr2	60645716	146104517	3	2	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr2	146106836	146109366	0	0	0
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr2	146120238	237637929	3	2	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr2	237638749	242147305	2	1	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr3	20930	4132155	2	1	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr3	4139721	4274957	0	0	0
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr3	4275722	143419520	2	1	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr3	143419540	148877838	3	2	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr3	148878174	160993281	4	2	2
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr3	160993303	190655712	4	3	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr3	190657735	190931426	5	4	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr3	190931816	194611146	4	3	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr3	194614233	195924478	6	5	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr3	195924587	196913114	9	8	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr3	196916454	198169247	3	2	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr4	68929	34784878	2	2	0
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr4	34785333	34823103	0	0	0
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr4	34828250	153730876	2	2	0
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr4	153732712	153744127	0	0	0
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr4	153745747	190106768	2	2	0
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr5	15532	20643922	3	2	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr5	20644090	37832696	4	2	2
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr5	37832731	37897756	2	1	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr5	37898074	46061883	4	2	2
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr5	46062027	105000045	2	2	0
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr5	105000509	105297196	0	0	0
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr5	105301576	181363319	2	2	0
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr6	149661	30992490	4	2	2
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr6	30994149	103290209	3	2	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr6	103290313	103314186	11	11	0
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr6	103317795	132767066	3	2	1
