GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
eb557d1f-800e-4463-b24c-72826a721fe6	chr1	61735	121741181	2	1	1
eb557d1f-800e-4463-b24c-72826a721fe6	chr1	143285278	248930189	4	2	2
eb557d1f-800e-4463-b24c-72826a721fe6	chr2	12784	122119488	4	2	2
eb557d1f-800e-4463-b24c-72826a721fe6	chr2	122126542	173723148	3	3	0
eb557d1f-800e-4463-b24c-72826a721fe6	chr2	173723293	242147305	4	4	0
eb557d1f-800e-4463-b24c-72826a721fe6	chr3	18667	83188369	2	2	0
eb557d1f-800e-4463-b24c-72826a721fe6	chr3	83188552	198169247	5	3	2
eb557d1f-800e-4463-b24c-72826a721fe6	chr4	12281	190106768	2	1	1
eb557d1f-800e-4463-b24c-72826a721fe6	chr5	15532	37806105	5	3	2
eb557d1f-800e-4463-b24c-72826a721fe6	chr5	37809930	39125997	2	2	0
eb557d1f-800e-4463-b24c-72826a721fe6	chr5	39126323	50185350	5	3	2
eb557d1f-800e-4463-b24c-72826a721fe6	chr5	50201141	181363319	2	2	0
eb557d1f-800e-4463-b24c-72826a721fe6	chr6	149661	20251862	5	3	2
eb557d1f-800e-4463-b24c-72826a721fe6	chr6	20253123	170741917	4	2	2
eb557d1f-800e-4463-b24c-72826a721fe6	chr7	43259	6824452	3	2	1
eb557d1f-800e-4463-b24c-72826a721fe6	chr7	6824616	159334314	4	2	2
eb557d1f-800e-4463-b24c-72826a721fe6	chr8	81254	145072769	4	2	2
eb557d1f-800e-4463-b24c-72826a721fe6	chr9	46587	138200944	2	2	0
eb557d1f-800e-4463-b24c-72826a721fe6	chr10	26823	133769379	4	2	2
eb557d1f-800e-4463-b24c-72826a721fe6	chr11	198572	135074876	3	3	0
eb557d1f-800e-4463-b24c-72826a721fe6	chr12	51460	133201603	4	2	2
eb557d1f-800e-4463-b24c-72826a721fe6	chr13	18452809	114342922	5	3	2
eb557d1f-800e-4463-b24c-72826a721fe6	chr14	18225647	106877229	3	2	1
eb557d1f-800e-4463-b24c-72826a721fe6	chr15	19811075	101928837	3	2	1
eb557d1f-800e-4463-b24c-72826a721fe6	chr16	10777	90221127	2	1	1
eb557d1f-800e-4463-b24c-72826a721fe6	chr17	150733	16598383	3	3	0
eb557d1f-800e-4463-b24c-72826a721fe6	chr17	16598446	44277289	3	2	1
eb557d1f-800e-4463-b24c-72826a721fe6	chr17	44277325	83090856	4	2	2
eb557d1f-800e-4463-b24c-72826a721fe6	chr18	48133	80257174	2	2	0
eb557d1f-800e-4463-b24c-72826a721fe6	chr19	90910	5794706	2	1	1
eb557d1f-800e-4463-b24c-72826a721fe6	chr19	5799795	58586487	4	2	2
eb557d1f-800e-4463-b24c-72826a721fe6	chr20	80664	26299965	2	2	0
eb557d1f-800e-4463-b24c-72826a721fe6	chr20	26307671	64324800	12	9	3
eb557d1f-800e-4463-b24c-72826a721fe6	chr21	10336543	46677045	2	2	0
eb557d1f-800e-4463-b24c-72826a721fe6	chr22	15294545	50796027	2	1	1
eb557d1f-800e-4463-b24c-72826a721fe6	chrX	251810	156004181	2	2	0
