GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	1	3301765	4177924	481	0.0402
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	1	4180801	65842388	35144	-0.0023
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	1	65842631	69132950	2295	0.0284
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	1	69141867	69607906	251	-0.0652
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	1	69608448	69608541	2	-1.4102
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	1	69610750	81521443	6690	-0.0365
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	1	81521476	81522502	2	-2.4871
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	1	81523026	84820061	2134	-0.0617
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	1	84820923	87811175	1945	-0.017
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	1	87811706	87811735	2	-1.1308
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	1	87813138	97770126	6070	-0.0079
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	1	97771325	102802739	3037	-0.0516
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	1	102808440	104446489	686	-0.3068
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	1	104447119	104447158	2	-2.5135
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	1	104447576	116554082	7312	-0.299
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	1	116569338	247650984	63641	-0.0194
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	2	480597	143657695	75639	-0.0149
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	2	143658336	155123906	6599	-0.0512
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	2	155127440	161830459	3853	0.0027
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	2	161835027	171491962	5745	-0.037
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	2	171497034	208382496	20108	-0.0139
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	2	208382659	215036652	3911	-0.0604
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	2	215038100	230238825	9638	-0.022
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	2	230239202	241537572	6614	0.0242
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	3	2170634	3870739	1114	-0.0658
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	3	4286151	4485935	129	-0.2577
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	3	4486648	9739510	3184	-0.0178
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	3	9742508	14361842	2999	0.0228
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	3	14365714	18665788	2661	-0.0198
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	3	18666882	29602300	6200	-0.0401
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	3	29603197	34641612	3161	0.0138
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	3	34642506	37354914	1620	-0.0499
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	3	37359504	53835229	8620	0.0025
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	3	53836607	55957987	1692	-0.0627
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	3	55961254	59720118	2220	-0.0076
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	3	61040294	61081314	63	-0.5971
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	3	61085325	66964341	4473	-0.0259
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	3	66964431	67379891	289	-0.0465
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	3	67379931	67514231	92	-0.2887
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	3	67517638	82730819	9165	-0.0548
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	3	82733201	170571203	45347	-0.0226
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	3	170574871	173208503	1487	0.0293
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	3	173209882	174756121	699	-0.0485
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	3	174756727	175003061	161	-0.2463
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	3	175020005	189419311	7663	-0.023
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	3	189419828	189501814	52	0.2348
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	3	189501923	190969943	1013	0.0177
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	3	190970270	193032641	1205	-0.0546
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	3	193033315	197812401	1813	0.0134
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	4	1059384	12727157	6664	0.0156
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	4	12728561	60095543	26864	-0.0348
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	4	60096634	60096703	2	1.9515
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	4	60098641	72589026	6133	-0.0397
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	4	72589182	85315824	7684	0.0064
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	4	85320125	86926245	987	-0.0803
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	4	86926559	87176996	165	-0.5869
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	4	87183274	100301135	7265	-0.0465
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	4	100301285	129456643	16286	-0.0202
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	4	129457461	130246311	492	-0.0716
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	4	130249780	130250672	13	0.7143
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	4	130250780	187842528	30859	-0.0347
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	5	914118	9959306	6617	0.3791
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	5	9962003	10962115	578	0.4514
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	5	10962622	13590417	1470	0.3751
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	5	13591142	14352245	664	0.4507
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	5	14352486	14662938	239	0.3749
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	5	14665304	14665506	2	-1.1425
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	5	14667034	20050322	2616	0.3997
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	5	20051999	32303274	6710	0.3575
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	5	32303330	50829022	7231	0.387
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	5	50837510	52472694	868	-0.0356
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	5	52472716	53356947	674	0.0611
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	5	53357685	54458183	660	-0.041
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	5	54458259	54631950	151	-0.1479
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	5	54632073	100248294	24357	-0.0122
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	5	100250919	112167541	6275	-0.0412
c64a77f8-0d56-4ad2-ae4e-9c3f6024ecea	5	112167611	114195819	1538	0.0041
