GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
008b77cd-44a6-469d-a563-308c7ff70fc0	1	3301765	7523499	2752	-0.0067
008b77cd-44a6-469d-a563-308c7ff70fc0	1	7526580	46236446	20264	0.0289
008b77cd-44a6-469d-a563-308c7ff70fc0	1	46239476	49975797	2088	0.0488
008b77cd-44a6-469d-a563-308c7ff70fc0	1	49983240	50125820	66	0.3306
008b77cd-44a6-469d-a563-308c7ff70fc0	1	50125893	58277891	5191	0.0346
008b77cd-44a6-469d-a563-308c7ff70fc0	1	58279731	71966634	9052	0.0628
008b77cd-44a6-469d-a563-308c7ff70fc0	1	71967637	83757355	6879	0.0421
008b77cd-44a6-469d-a563-308c7ff70fc0	1	83759249	87185860	2221	0.0898
008b77cd-44a6-469d-a563-308c7ff70fc0	1	87188219	201959105	51717	0.0472
008b77cd-44a6-469d-a563-308c7ff70fc0	1	201961161	202086613	65	0.3344
008b77cd-44a6-469d-a563-308c7ff70fc0	1	202086810	204008405	1147	0.0632
008b77cd-44a6-469d-a563-308c7ff70fc0	1	204008420	204016578	5	-0.5551
008b77cd-44a6-469d-a563-308c7ff70fc0	1	204016876	204546171	435	0.0334
008b77cd-44a6-469d-a563-308c7ff70fc0	1	204549714	204649445	76	0.3468
008b77cd-44a6-469d-a563-308c7ff70fc0	1	204655829	242166903	25128	0.0497
008b77cd-44a6-469d-a563-308c7ff70fc0	1	242167781	247650984	2762	0.0323
008b77cd-44a6-469d-a563-308c7ff70fc0	2	480597	494424	5	-0.2457
008b77cd-44a6-469d-a563-308c7ff70fc0	2	498786	26030657	16250	0.0459
008b77cd-44a6-469d-a563-308c7ff70fc0	2	26032394	31268209	3113	0.0114
008b77cd-44a6-469d-a563-308c7ff70fc0	2	31269218	47257883	9138	0.0492
008b77cd-44a6-469d-a563-308c7ff70fc0	2	47258279	47394360	56	0.3909
008b77cd-44a6-469d-a563-308c7ff70fc0	2	47407308	48986462	852	0.0327
008b77cd-44a6-469d-a563-308c7ff70fc0	2	49054503	49115024	39	-0.6859
008b77cd-44a6-469d-a563-308c7ff70fc0	2	49115665	154892902	52816	0.0381
008b77cd-44a6-469d-a563-308c7ff70fc0	2	154899740	208966940	30184	0.0603
008b77cd-44a6-469d-a563-308c7ff70fc0	2	208967874	227343060	11541	0.0416
008b77cd-44a6-469d-a563-308c7ff70fc0	2	227343490	228510663	725	0.1034
008b77cd-44a6-469d-a563-308c7ff70fc0	2	228515105	229710778	821	-0.3729
008b77cd-44a6-469d-a563-308c7ff70fc0	2	229712080	230393900	227	0.0172
008b77cd-44a6-469d-a563-308c7ff70fc0	2	230400636	230404071	4	0.7372
008b77cd-44a6-469d-a563-308c7ff70fc0	2	230405779	231457296	556	0.0207
008b77cd-44a6-469d-a563-308c7ff70fc0	2	231467023	240670162	5583	-0.4001
008b77cd-44a6-469d-a563-308c7ff70fc0	2	240670864	241080417	127	0.0119
008b77cd-44a6-469d-a563-308c7ff70fc0	2	241081801	241537572	262	-0.3751
008b77cd-44a6-469d-a563-308c7ff70fc0	3	2170634	30149632	16693	0.0423
008b77cd-44a6-469d-a563-308c7ff70fc0	3	30151053	30151074	2	-1.1538
008b77cd-44a6-469d-a563-308c7ff70fc0	3	30151286	37518026	4521	0.0592
008b77cd-44a6-469d-a563-308c7ff70fc0	3	37518073	37518252	3	0.9314
008b77cd-44a6-469d-a563-308c7ff70fc0	3	37519866	53943877	8564	0.0357
008b77cd-44a6-469d-a563-308c7ff70fc0	3	53944633	57688543	2610	0.0047
008b77cd-44a6-469d-a563-308c7ff70fc0	3	57689972	61141532	1361	0.0457
008b77cd-44a6-469d-a563-308c7ff70fc0	3	61141631	61231138	79	-0.2356
008b77cd-44a6-469d-a563-308c7ff70fc0	3	61235135	108463543	25457	0.0515
008b77cd-44a6-469d-a563-308c7ff70fc0	3	108466011	108594795	67	0.4411
008b77cd-44a6-469d-a563-308c7ff70fc0	3	108600728	145490563	20946	0.0424
008b77cd-44a6-469d-a563-308c7ff70fc0	3	145491373	177719720	16331	0.059
008b77cd-44a6-469d-a563-308c7ff70fc0	3	177721158	185226155	3647	0.0407
008b77cd-44a6-469d-a563-308c7ff70fc0	3	185229142	185268955	22	0.4384
008b77cd-44a6-469d-a563-308c7ff70fc0	3	185271645	188850864	2490	0.0386
008b77cd-44a6-469d-a563-308c7ff70fc0	3	188851117	194086298	3279	0.0812
008b77cd-44a6-469d-a563-308c7ff70fc0	3	194086432	197812401	1184	0.0362
008b77cd-44a6-469d-a563-308c7ff70fc0	4	1059384	1737005	219	0.0361
008b77cd-44a6-469d-a563-308c7ff70fc0	4	1750693	1802549	17	0.4705
008b77cd-44a6-469d-a563-308c7ff70fc0	4	1814963	4191333	891	0.0426
008b77cd-44a6-469d-a563-308c7ff70fc0	4	4192439	6108672	1525	0.0104
008b77cd-44a6-469d-a563-308c7ff70fc0	4	6110413	13021011	4243	0.0608
008b77cd-44a6-469d-a563-308c7ff70fc0	4	13021683	14960040	1521	0.0142
008b77cd-44a6-469d-a563-308c7ff70fc0	4	14971371	38024768	14654	0.0546
008b77cd-44a6-469d-a563-308c7ff70fc0	4	38027159	38323826	218	0.3888
008b77cd-44a6-469d-a563-308c7ff70fc0	4	38326286	67224661	14159	0.0433
008b77cd-44a6-469d-a563-308c7ff70fc0	4	67224979	73280867	2677	0.0709
008b77cd-44a6-469d-a563-308c7ff70fc0	4	73291631	74148207	520	0.1128
008b77cd-44a6-469d-a563-308c7ff70fc0	4	74149053	74149177	2	-0.8398
008b77cd-44a6-469d-a563-308c7ff70fc0	4	74150033	74837973	411	0.1113
008b77cd-44a6-469d-a563-308c7ff70fc0	4	74838368	151789791	42963	0.059
