GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	3301765	47555542	23714	-0.1457
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	47559101	119981332	44421	-0.0942
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	119984738	151285839	486	-0.2066
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	151288420	151449307	57	-0.1196
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	151449329	151451456	2	1.0826
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	151456129	153558806	1228	-0.1017
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	153559644	156897496	1497	-0.1896
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	156898307	161843493	3044	-0.1286
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	161843725	198298156	23311	-0.095
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	198309549	206796857	5356	-0.1237
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	206797125	220939709	9769	-0.0889
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	220940281	220945158	4	-1.4238
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	220945472	237993905	11009	-0.1091
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	237995708	238014715	4	-1.0533
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	238019219	241828755	2924	-0.098
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	241829981	247650984	2934	-0.1333
18abcd4a-cfa6-403e-9d9b-96c2279476d8	2	480597	154411819	81897	-0.0965
18abcd4a-cfa6-403e-9d9b-96c2279476d8	2	154412156	173721776	11534	-0.0711
18abcd4a-cfa6-403e-9d9b-96c2279476d8	2	173722452	173723293	3	-1.4383
18abcd4a-cfa6-403e-9d9b-96c2279476d8	2	173723330	200848335	14314	-0.0724
18abcd4a-cfa6-403e-9d9b-96c2279476d8	2	200848731	203899813	1379	-0.1206
18abcd4a-cfa6-403e-9d9b-96c2279476d8	2	203899887	229442726	16102	-0.0867
18abcd4a-cfa6-403e-9d9b-96c2279476d8	2	229443387	241537572	6966	-0.1098
18abcd4a-cfa6-403e-9d9b-96c2279476d8	3	2170634	46593065	26609	-0.0945
18abcd4a-cfa6-403e-9d9b-96c2279476d8	3	46593299	52765622	2412	-0.168
18abcd4a-cfa6-403e-9d9b-96c2279476d8	3	52770543	61934989	5188	-0.0909
18abcd4a-cfa6-403e-9d9b-96c2279476d8	3	61938060	65396465	2873	-0.0483
18abcd4a-cfa6-403e-9d9b-96c2279476d8	3	65396724	65446808	41	-0.1938
18abcd4a-cfa6-403e-9d9b-96c2279476d8	3	65448972	167573842	54203	-0.0909
18abcd4a-cfa6-403e-9d9b-96c2279476d8	3	167577291	169676204	1260	-0.0321
18abcd4a-cfa6-403e-9d9b-96c2279476d8	3	169676414	179233867	4880	-0.08
18abcd4a-cfa6-403e-9d9b-96c2279476d8	3	179234001	187341122	4167	-0.115
18abcd4a-cfa6-403e-9d9b-96c2279476d8	3	187343834	194481974	4603	-0.0795
18abcd4a-cfa6-403e-9d9b-96c2279476d8	3	194483635	197812401	943	-0.1587
18abcd4a-cfa6-403e-9d9b-96c2279476d8	4	1059384	62754757	34968	-0.0996
18abcd4a-cfa6-403e-9d9b-96c2279476d8	4	62755821	81653827	10216	-0.0735
18abcd4a-cfa6-403e-9d9b-96c2279476d8	4	81655068	84737992	1901	-0.1023
18abcd4a-cfa6-403e-9d9b-96c2279476d8	4	84740462	84767424	19	-0.9873
18abcd4a-cfa6-403e-9d9b-96c2279476d8	4	84767996	187842528	56382	-0.0828
18abcd4a-cfa6-403e-9d9b-96c2279476d8	5	914118	4720999	2464	-0.1327
18abcd4a-cfa6-403e-9d9b-96c2279476d8	5	4723769	4725035	6	-1.4758
18abcd4a-cfa6-403e-9d9b-96c2279476d8	5	4725292	4968435	210	-0.1417
18abcd4a-cfa6-403e-9d9b-96c2279476d8	5	4968642	171120126	93184	-0.1004
18abcd4a-cfa6-403e-9d9b-96c2279476d8	5	171120498	178350887	3885	-0.1325
18abcd4a-cfa6-403e-9d9b-96c2279476d8	5	178358134	178360260	2	-1.7255
18abcd4a-cfa6-403e-9d9b-96c2279476d8	5	178362201	180934240	1364	-0.1715
18abcd4a-cfa6-403e-9d9b-96c2279476d8	6	1011760	6771567	4243	-0.0986
18abcd4a-cfa6-403e-9d9b-96c2279476d8	6	6772836	14724970	5711	-0.2467
18abcd4a-cfa6-403e-9d9b-96c2279476d8	6	14726789	15267673	326	-0.357
18abcd4a-cfa6-403e-9d9b-96c2279476d8	6	15267820	19270459	2642	-0.2594
18abcd4a-cfa6-403e-9d9b-96c2279476d8	6	19274841	24133474	3523	-0.101
18abcd4a-cfa6-403e-9d9b-96c2279476d8	6	24134266	27122625	1507	-0.1404
18abcd4a-cfa6-403e-9d9b-96c2279476d8	6	27127177	27127355	2	-1.5657
18abcd4a-cfa6-403e-9d9b-96c2279476d8	6	27127930	28566169	530	-0.1498
18abcd4a-cfa6-403e-9d9b-96c2279476d8	6	28572190	31238631	900	-0.2748
18abcd4a-cfa6-403e-9d9b-96c2279476d8	6	31238839	33141881	151	-0.081
