GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	62920	259407	14	0.3151
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	259422	1815255	257	-0.7301
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	1817848	5722709	2299	-0.8896
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	5725075	12779433	3825	-0.7075
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	12792599	12797904	3	-7.3808
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	12799143	12802201	8	-0.7375
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	12806954	12807830	9	-2.5876
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	12813243	16686246	2137	-0.7569
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	16689764	16935752	76	-0.3223
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	16949746	22873760	3873	-0.7271
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	22877690	22891311	8	-3.0879
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	22891524	25256850	1308	-0.6949
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	25266637	25336819	25	-1.9215
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	25336853	29828461	1996	-0.6955
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	29828480	29838030	5	-2.9943
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	29838050	33798358	2255	-0.7208
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	33800368	49867213	9204	0.2902
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	49869856	49991165	48	-0.7104
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	49991796	55782620	3382	0.2735
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	55785707	58073205	1917	0.2026
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	58073449	60908023	2002	0.301
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	60908124	70948151	7068	0.2444
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	70948625	70971064	18	0.5191
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	70972456	72303253	785	0.1421
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	72305460	72345450	43	-1.1959
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	72345465	83072387	6948	0.1653
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	83072448	86776379	2446	0.2635
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	86779595	89009572	1540	0.195
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	89012275	89012522	2	-3.0865
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	89015841	93053276	2432	0.2068
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	93053289	94666219	1038	0.3008
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	94668245	94668773	5	1.4906
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	94669551	96409037	1222	0.275
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	96409149	103614695	4384	0.1772
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	103614714	103717410	9	-0.7563
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	103717617	105459540	917	0.1701
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	105470132	105479722	17	1.292
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	105479738	107061283	1044	0.215
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	107061554	108223733	912	0.2748
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	108226680	108274557	2	-3.0343
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	108310648	109684893	676	0.3184
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	109690352	109697556	13	-1.0926
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	109702376	118559299	6038	0.2529
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	118560107	157882598	6561	0.3049
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	157882935	161425765	2430	0.2212
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	161426316	161426352	2	-1.6365
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	161426746	167912165	5037	0.2204
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	167913148	169731967	1383	0.285
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	169732053	174560261	3036	0.2103
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	174562714	174627185	34	-0.8397
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	174627835	177172387	1645	0.1524
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	177173089	184649888	5186	0.226
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	184650779	196745743	7921	0.1694
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	196758720	196775006	17	0.9795
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	196775070	196788990	18	0.0723
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	196789019	196832525	22	0.7435
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	196832720	200274960	2198	0.1638
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	200278574	200676791	259	0.2316
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	200676810	206474107	3668	0.297
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	206474444	209897717	2660	0.2163
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	209908268	209910639	3	-1.8639
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	209913207	215344585	3749	0.2583
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	215345885	222847162	5188	0.1661
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	222849581	222850262	2	-3.4109
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	222850427	230926260	5099	0.2347
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	230926830	230992876	45	-0.907
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	230994930	234178451	2482	0.2082
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	234180567	234229704	48	-0.3727
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	234232249	236734076	1678	0.2806
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	236735742	241900226	4186	0.2
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	241900849	244006892	1383	0.1149
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	244007727	244439441	309	0.1821
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	244439556	248585893	2661	0.2531
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	248585918	248645808	33	-0.5774
cce9277a-fd51-403b-9a58-91e324c8a3a9	1	248646068	248930189	138	0.2073
cce9277a-fd51-403b-9a58-91e324c8a3a9	2	12784	1084856	739	0.1168
cce9277a-fd51-403b-9a58-91e324c8a3a9	2	1090824	2211396	684	-0.0237
cce9277a-fd51-403b-9a58-91e324c8a3a9	2	2211431	7652808	4584	0.1254
cce9277a-fd51-403b-9a58-91e324c8a3a9	2	7653200	11659972	2847	0.2769
cce9277a-fd51-403b-9a58-91e324c8a3a9	2	11667090	19133046	5608	0.1829
cce9277a-fd51-403b-9a58-91e324c8a3a9	2	19133347	29195358	5945	0.2554
cce9277a-fd51-403b-9a58-91e324c8a3a9	2	29195541	31435605	1781	0.1677
cce9277a-fd51-403b-9a58-91e324c8a3a9	2	31436226	32410216	370	0.2509
cce9277a-fd51-403b-9a58-91e324c8a3a9	2	32410662	32808398	208	0.4008
cce9277a-fd51-403b-9a58-91e324c8a3a9	2	32808788	34427804	1288	0.1961
cce9277a-fd51-403b-9a58-91e324c8a3a9	2	34434869	34511990	57	1.0571
cce9277a-fd51-403b-9a58-91e324c8a3a9	2	34512096	35510563	674	0.1929
cce9277a-fd51-403b-9a58-91e324c8a3a9	2	35510570	41011683	4130	0.2435
cce9277a-fd51-403b-9a58-91e324c8a3a9	2	41011848	41015457	2	-1.6564
cce9277a-fd51-403b-9a58-91e324c8a3a9	2	41015499	47686875	4933	0.2764
cce9277a-fd51-403b-9a58-91e324c8a3a9	2	47686910	52527423	3260	0.1708
cce9277a-fd51-403b-9a58-91e324c8a3a9	2	52527590	52527743	3	-2.414
cce9277a-fd51-403b-9a58-91e324c8a3a9	2	52531615	52554404	33	-0.1148
cce9277a-fd51-403b-9a58-91e324c8a3a9	2	52560811	52995824	375	0.1881
cce9277a-fd51-403b-9a58-91e324c8a3a9	2	52995900	55917975	2086	0.2537
cce9277a-fd51-403b-9a58-91e324c8a3a9	2	55921599	62716862	4276	0.1558
cce9277a-fd51-403b-9a58-91e324c8a3a9	2	62719523	62877476	66	-0.8073
cce9277a-fd51-403b-9a58-91e324c8a3a9	2	62880712	66437526	2211	0.2612
cce9277a-fd51-403b-9a58-91e324c8a3a9	2	66438014	68372930	1420	0.1615
cce9277a-fd51-403b-9a58-91e324c8a3a9	2	68374343	76729697	5185	0.2437
cce9277a-fd51-403b-9a58-91e324c8a3a9	2	76729962	82725799	3999	0.1506
