GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	17001	771000	16	-0.933559
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	777001	2653000	1793	-0.030060
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	2653001	2689000	8	1.082751
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	2752001	12816000	10008	-0.024424
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	12816001	13367000	151	-0.257509
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	13367001	16505000	3129	-0.021539
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	16505001	16613000	75	-0.190785
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	16613001	16632000	19	0.003106
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	16632001	16949000	177	-0.157591
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	16949001	83130000	65674	0.001558
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	83130001	83490000	323	-0.181043
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	83490001	120007000	35905	0.016992
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	120014001	120574000	90	-0.381924
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	120671001	120858000	8	-1.881590
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	120859001	121407000	91	-0.610995
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	121407001	121743000	193	0.019393
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	121743001	122866000	41	-1.863532
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	122877001	122949000	16	-0.752754
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	122998001	123145000	16	-2.948903
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	123146001	123158000	4	-1.628042
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	123163001	123352000	17	-1.671223
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	123360001	123391000	3	-3.511887
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	123393001	123818000	60	-1.980288
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	123820001	123908000	7	0.888477
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	123919001	124308000	48	-2.246223
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	124318001	124321000	2	0.699203
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	124325001	124377000	10	-2.029749
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	124377001	124407000	4	-3.488285
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	124407001	124456000	12	-0.050374
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	124457001	124473000	3	-3.573515
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	124475001	124500000	3	-0.273565
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	124508001	124630000	32	-2.120899
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	124631001	124660000	5	-3.317551
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	124671001	124713000	11	-0.492486
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	124713001	124906000	30	-2.503447
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	124908001	125178000	234	-0.034709
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	125178001	125185000	7	-3.346628
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	143184001	143772000	297	-1.054172
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	143775001	144141000	31	-1.760588
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	144396001	144566000	66	-0.607666
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	144566001	144994000	9	-2.244723
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	145129001	145490000	66	-0.389721
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	145496001	146052000	473	-0.053776
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	146052001	146970000	162	-0.477503
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	146970001	148452000	1213	-0.013477
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	148459001	149818000	167	-0.336558
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	149843001	161441000	11450	-0.000165
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	161442001	161460000	4	-7.790792
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	161472001	161564000	86	-0.080448
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	161564001	161639000	46	-1.213157
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	161642001	196751000	34862	0.015581
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	196751001	196766000	5	-1.195313
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	196766001	196836000	9	-4.221431
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	196844001	234776000	37262	0.004977
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	234776001	234783000	7	0.161673
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	234783001	242994000	8149	-0.017442
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	242994001	243090000	71	-0.429622
TCGA-AD-A5EJ-01A-11D-A28G-10	chr1	243090001	248931000	5651	-0.010313
TCGA-AD-A5EJ-01A-11D-A28G-10	chr2	11001	34854000	34569	-0.010617
TCGA-AD-A5EJ-01A-11D-A28G-10	chr2	34854001	34868000	14	-0.973457
TCGA-AD-A5EJ-01A-11D-A28G-10	chr2	34868001	86840000	51619	0.007268
TCGA-AD-A5EJ-01A-11D-A28G-10	chr2	86840001	87204000	103	-0.266537
