GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d2c7b804-3b35-415f-95fb-930216fbb352	1	62920	10310733	5159	0.0127
d2c7b804-3b35-415f-95fb-930216fbb352	1	10310884	10317925	13	-0.7445
d2c7b804-3b35-415f-95fb-930216fbb352	1	10321714	12779433	1305	0.0039
d2c7b804-3b35-415f-95fb-930216fbb352	1	12792599	12867264	31	0.5572
d2c7b804-3b35-415f-95fb-930216fbb352	1	12868035	15822793	1810	0.018
d2c7b804-3b35-415f-95fb-930216fbb352	1	15822848	15827706	9	0.6484
d2c7b804-3b35-415f-95fb-930216fbb352	1	15827744	16689764	337	0.0354
d2c7b804-3b35-415f-95fb-930216fbb352	1	16718963	16785682	17	-0.6776
d2c7b804-3b35-415f-95fb-930216fbb352	1	16787932	25269390	5308	0.0121
d2c7b804-3b35-415f-95fb-930216fbb352	1	25269456	25320253	21	-0.5779
d2c7b804-3b35-415f-95fb-930216fbb352	1	25320455	26909721	688	0.0095
d2c7b804-3b35-415f-95fb-930216fbb352	1	26915481	26915518	2	-2.052
d2c7b804-3b35-415f-95fb-930216fbb352	1	26919769	34637053	4253	0.0048
d2c7b804-3b35-415f-95fb-930216fbb352	1	34637069	34638890	19	-0.5672
d2c7b804-3b35-415f-95fb-930216fbb352	1	34648667	57200858	13093	-0.0001
d2c7b804-3b35-415f-95fb-930216fbb352	1	57201088	57201558	2	-1.695
d2c7b804-3b35-415f-95fb-930216fbb352	1	57202606	72302815	10617	-0.0108
d2c7b804-3b35-415f-95fb-930216fbb352	1	72303233	72345465	46	-1.3104
d2c7b804-3b35-415f-95fb-930216fbb352	1	72346221	105763866	21121	-0.0093
d2c7b804-3b35-415f-95fb-930216fbb352	1	105766516	105773232	7	-1.0637
d2c7b804-3b35-415f-95fb-930216fbb352	1	105778334	108951525	2075	-0.0036
d2c7b804-3b35-415f-95fb-930216fbb352	1	108954232	108966674	19	-0.9006
d2c7b804-3b35-415f-95fb-930216fbb352	1	108966689	109684893	327	0.015
d2c7b804-3b35-415f-95fb-930216fbb352	1	109690352	109702376	14	-1.3271
d2c7b804-3b35-415f-95fb-930216fbb352	1	109703504	109819060	83	0.0368
d2c7b804-3b35-415f-95fb-930216fbb352	1	109819099	109820397	2	-1.6017
d2c7b804-3b35-415f-95fb-930216fbb352	1	109821314	110834746	745	0.0049
d2c7b804-3b35-415f-95fb-930216fbb352	1	110834943	110841350	36	-0.8151
d2c7b804-3b35-415f-95fb-930216fbb352	1	110845562	143748012	6341	0.0006
d2c7b804-3b35-415f-95fb-930216fbb352	1	143748074	143754798	18	0.82
d2c7b804-3b35-415f-95fb-930216fbb352	1	143759680	148334778	843	0.0243
d2c7b804-3b35-415f-95fb-930216fbb352	1	148335153	148336809	6	-0.974
d2c7b804-3b35-415f-95fb-930216fbb352	1	148341125	152583051	1467	0.0184
d2c7b804-3b35-415f-95fb-930216fbb352	1	152583230	152614118	35	-1.6271
d2c7b804-3b35-415f-95fb-930216fbb352	1	152618018	152790191	179	-0.0139
d2c7b804-3b35-415f-95fb-930216fbb352	1	152790286	152796224	24	-0.5767
d2c7b804-3b35-415f-95fb-930216fbb352	1	152801429	196745743	29373	0.0003
d2c7b804-3b35-415f-95fb-930216fbb352	1	196758720	196843377	59	-0.5141
d2c7b804-3b35-415f-95fb-930216fbb352	1	196843400	196846661	2	3.0476
d2c7b804-3b35-415f-95fb-930216fbb352	1	196847600	248574146	35529	0.0024
d2c7b804-3b35-415f-95fb-930216fbb352	1	248585893	248645808	34	-0.556
d2c7b804-3b35-415f-95fb-930216fbb352	1	248646068	248930189	139	0.0383
d2c7b804-3b35-415f-95fb-930216fbb352	2	12784	34485743	24050	0.012
d2c7b804-3b35-415f-95fb-930216fbb352	2	34485758	34512096	37	0.4033
d2c7b804-3b35-415f-95fb-930216fbb352	2	34512489	46910902	9241	-0.0016
d2c7b804-3b35-415f-95fb-930216fbb352	2	46918907	46919593	3	-1.5834
d2c7b804-3b35-415f-95fb-930216fbb352	2	46919634	52527362	3721	-0.0166
d2c7b804-3b35-415f-95fb-930216fbb352	2	52527423	52554404	37	-0.8381
d2c7b804-3b35-415f-95fb-930216fbb352	2	52560811	85105322	20891	0.0028
d2c7b804-3b35-415f-95fb-930216fbb352	2	85105337	85106283	2	-1.6007
d2c7b804-3b35-415f-95fb-930216fbb352	2	85106853	97359885	2887	0.0313
d2c7b804-3b35-415f-95fb-930216fbb352	2	97524284	97545726	9	-1.1765
d2c7b804-3b35-415f-95fb-930216fbb352	2	97550415	109704919	7669	0.0101
d2c7b804-3b35-415f-95fb-930216fbb352	2	109743935	110044146	4	1.2655
d2c7b804-3b35-415f-95fb-930216fbb352	2	110097158	129787992	11990	0.0051
d2c7b804-3b35-415f-95fb-930216fbb352	2	129791702	129800804	8	-0.8569
