GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr1	61735	248930189	2	1	1
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr2	12784	242147305	2	1	1
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr3	18667	198169247	2	1	1
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr4	12281	190106768	2	1	1
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr5	15532	50201141	2	1	1
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr5	50206422	68283137	1	1	0
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr5	68283395	181363319	2	1	1
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr6	149661	170741917	2	1	1
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr7	43259	159334314	3	2	1
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr8	81254	145072769	3	2	1
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr9	46587	138200944	2	1	1
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr10	26823	133769379	2	1	1
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr11	198572	135074876	2	1	1
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr12	51460	75720674	2	1	1
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr12	75720697	76044880	1	1	0
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr12	76048040	133201603	2	1	1
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr13	18452809	114342922	2	1	1
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr14	18225647	106877229	2	1	1
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr15	19811075	30529434	2	1	1
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr15	30529555	32355957	1	1	0
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr15	32356531	101928837	2	1	1
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr16	10777	6172706	2	1	1
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr16	6174659	6899725	1	1	0
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr16	6899790	90221127	2	1	1
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr17	150733	83090856	2	1	1
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr18	48133	80257174	2	1	1
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr19	90910	24413948	2	1	1
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr19	27257085	58586487	4	3	1
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr20	80664	64324800	2	1	1
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr21	10336543	46677045	2	1	1
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chr22	15294545	50796027	2	1	1
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chrX	251810	2776199	2	1	1
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chrX	2785350	155699647	1	1	0
dc19569a-4843-4136-b3ce-9c38c52a2f4f	chrX	155699837	156004181	2	1	1
