GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9ed7335d-bee4-442d-b69f-84759f532077	1	3301765	3830313	275	-0.3118
9ed7335d-bee4-442d-b69f-84759f532077	1	3831039	3835365	2	-1.7378
9ed7335d-bee4-442d-b69f-84759f532077	1	3837249	5824342	1519	-0.3483
9ed7335d-bee4-442d-b69f-84759f532077	1	5836947	5844658	5	-1.2747
9ed7335d-bee4-442d-b69f-84759f532077	1	5844684	9737877	2046	-0.303
9ed7335d-bee4-442d-b69f-84759f532077	1	9741283	59788000	27545	-0.2093
9ed7335d-bee4-442d-b69f-84759f532077	1	59796682	63544744	2549	-0.1688
9ed7335d-bee4-442d-b69f-84759f532077	1	63546210	119984772	34189	-0.2113
9ed7335d-bee4-442d-b69f-84759f532077	1	146716041	178562875	17610	0.3622
9ed7335d-bee4-442d-b69f-84759f532077	1	178563053	178564697	5	-0.7895
9ed7335d-bee4-442d-b69f-84759f532077	1	178565086	187323476	5713	0.3625
9ed7335d-bee4-442d-b69f-84759f532077	1	187329235	187331559	4	-1.5243
9ed7335d-bee4-442d-b69f-84759f532077	1	187331953	201128240	8097	0.3427
9ed7335d-bee4-442d-b69f-84759f532077	1	201128753	215790032	9796	0.3735
9ed7335d-bee4-442d-b69f-84759f532077	1	215794723	215794736	2	-2.2656
9ed7335d-bee4-442d-b69f-84759f532077	1	215795121	245512476	19588	0.36
9ed7335d-bee4-442d-b69f-84759f532077	1	245520373	245520457	2	-1.4752
9ed7335d-bee4-442d-b69f-84759f532077	1	245521520	247650984	838	0.3515
9ed7335d-bee4-442d-b69f-84759f532077	2	480597	241537572	132251	0.1032
9ed7335d-bee4-442d-b69f-84759f532077	3	2170634	3452934	727	0.3429
9ed7335d-bee4-442d-b69f-84759f532077	3	3453064	3472006	25	0.7276
9ed7335d-bee4-442d-b69f-84759f532077	3	3473916	4405253	423	0.3125
9ed7335d-bee4-442d-b69f-84759f532077	3	4409626	4409932	4	-0.6107
9ed7335d-bee4-442d-b69f-84759f532077	3	4410069	15169978	6786	0.378
9ed7335d-bee4-442d-b69f-84759f532077	3	15170045	23291293	4326	0.3432
9ed7335d-bee4-442d-b69f-84759f532077	3	23293292	42896190	12170	0.3719
9ed7335d-bee4-442d-b69f-84759f532077	3	42902709	56208773	7108	-0.6581
9ed7335d-bee4-442d-b69f-84759f532077	3	56218576	62814783	3405	0.3866
9ed7335d-bee4-442d-b69f-84759f532077	3	62815398	62819749	7	-0.3408
9ed7335d-bee4-442d-b69f-84759f532077	3	62822401	67161285	3277	0.4096
9ed7335d-bee4-442d-b69f-84759f532077	3	67162320	72330078	3674	0.3614
9ed7335d-bee4-442d-b69f-84759f532077	3	72330511	81336678	5026	0.388
9ed7335d-bee4-442d-b69f-84759f532077	3	81336716	84898767	1718	0.3429
9ed7335d-bee4-442d-b69f-84759f532077	3	84898834	84905665	9	-0.4622
9ed7335d-bee4-442d-b69f-84759f532077	3	84905732	98307101	4776	0.3637
9ed7335d-bee4-442d-b69f-84759f532077	3	98308622	98315217	6	-1.1327
9ed7335d-bee4-442d-b69f-84759f532077	3	98315840	116359465	10147	0.3563
9ed7335d-bee4-442d-b69f-84759f532077	3	116359479	116388127	38	0.0262
9ed7335d-bee4-442d-b69f-84759f532077	3	116389763	116418880	48	-0.6179
9ed7335d-bee4-442d-b69f-84759f532077	3	116429360	116447663	18	0.1391
9ed7335d-bee4-442d-b69f-84759f532077	3	116447779	116529727	47	-0.1808
9ed7335d-bee4-442d-b69f-84759f532077	3	116529902	116629013	75	-0.7713
9ed7335d-bee4-442d-b69f-84759f532077	3	116629841	116722087	45	-1.3941
9ed7335d-bee4-442d-b69f-84759f532077	3	116722891	116725858	6	-0.7976
9ed7335d-bee4-442d-b69f-84759f532077	3	116726235	116732697	18	-3.4725
9ed7335d-bee4-442d-b69f-84759f532077	3	116732846	116796438	72	-0.7167
9ed7335d-bee4-442d-b69f-84759f532077	3	116803740	116808395	10	-1.0832
9ed7335d-bee4-442d-b69f-84759f532077	3	116808772	116816244	32	-1.9146
9ed7335d-bee4-442d-b69f-84759f532077	3	116817617	116865441	35	-0.9014
9ed7335d-bee4-442d-b69f-84759f532077	3	116866434	117006568	94	-2.6681
9ed7335d-bee4-442d-b69f-84759f532077	3	117009337	117030171	20	-1.4135
9ed7335d-bee4-442d-b69f-84759f532077	3	117030798	117214340	162	-0.6948
9ed7335d-bee4-442d-b69f-84759f532077	3	117215004	117286094	53	-0.1659
9ed7335d-bee4-442d-b69f-84759f532077	3	117293507	117436598	97	0.1361
9ed7335d-bee4-442d-b69f-84759f532077	3	117437891	167740516	26926	0.3636
9ed7335d-bee4-442d-b69f-84759f532077	3	167740594	171379105	2192	0.4091
9ed7335d-bee4-442d-b69f-84759f532077	3	171379231	175038939	1861	0.3722
9ed7335d-bee4-442d-b69f-84759f532077	3	175040512	175151610	71	0.0867
9ed7335d-bee4-442d-b69f-84759f532077	3	175153746	178566224	1506	0.3725
9ed7335d-bee4-442d-b69f-84759f532077	3	178566398	181478639	1637	0.3184
9ed7335d-bee4-442d-b69f-84759f532077	3	181486314	197812401	8527	0.3815
9ed7335d-bee4-442d-b69f-84759f532077	4	1059384	27960206	16950	-0.217
9ed7335d-bee4-442d-b69f-84759f532077	4	27960521	28163746	120	-0.6747
9ed7335d-bee4-442d-b69f-84759f532077	4	28166421	39820301	7065	-0.2287
9ed7335d-bee4-442d-b69f-84759f532077	4	39820693	39821149	2	-1.8894
9ed7335d-bee4-442d-b69f-84759f532077	4	39823797	44318616	2338	-0.2159
9ed7335d-bee4-442d-b69f-84759f532077	4	44321815	44328954	10	-1.534
9ed7335d-bee4-442d-b69f-84759f532077	4	44329876	67937623	11365	-0.2253
9ed7335d-bee4-442d-b69f-84759f532077	4	67941191	91003964	12972	-0.199
9ed7335d-bee4-442d-b69f-84759f532077	4	91004633	91329252	203	-0.675
9ed7335d-bee4-442d-b69f-84759f532077	4	91330941	161396834	38705	-0.2085
9ed7335d-bee4-442d-b69f-84759f532077	4	161398005	161399094	3	-1.6633
9ed7335d-bee4-442d-b69f-84759f532077	4	161401866	163032873	980	-0.2102
9ed7335d-bee4-442d-b69f-84759f532077	4	163033309	163034025	6	-1.3181
9ed7335d-bee4-442d-b69f-84759f532077	4	163034141	163331687	171	-0.1817
9ed7335d-bee4-442d-b69f-84759f532077	4	163334277	185509855	11164	-0.233
9ed7335d-bee4-442d-b69f-84759f532077	4	185511135	186124059	474	-0.153
9ed7335d-bee4-442d-b69f-84759f532077	4	186172834	186176244	2	-1.5959
9ed7335d-bee4-442d-b69f-84759f532077	4	186185716	187842528	989	-0.1489
9ed7335d-bee4-442d-b69f-84759f532077	5	913983	7875850	4997	0.0944
9ed7335d-bee4-442d-b69f-84759f532077	5	7876175	10245823	1885	0.1556
9ed7335d-bee4-442d-b69f-84759f532077	5	10246898	13712781	1876	0.0971
9ed7335d-bee4-442d-b69f-84759f532077	5	13715999	17328347	2065	0.1622
9ed7335d-bee4-442d-b69f-84759f532077	5	17328398	26556479	4614	0.0834
9ed7335d-bee4-442d-b69f-84759f532077	5	26559947	69110303	21744	0.1134
9ed7335d-bee4-442d-b69f-84759f532077	5	69110826	74943023	2486	0.1473
9ed7335d-bee4-442d-b69f-84759f532077	5	74943406	108735702	17539	0.1078
9ed7335d-bee4-442d-b69f-84759f532077	5	108736215	115777468	4460	0.0938
9ed7335d-bee4-442d-b69f-84759f532077	5	115777751	115779791	3	-1.1956
9ed7335d-bee4-442d-b69f-84759f532077	5	115781428	120779368	2913	0.0916
9ed7335d-bee4-442d-b69f-84759f532077	5	120786848	136741318	9405	0.126
9ed7335d-bee4-442d-b69f-84759f532077	5	136741915	145565300	4956	0.1014
9ed7335d-bee4-442d-b69f-84759f532077	5	145566086	145568100	2	-1.819
9ed7335d-bee4-442d-b69f-84759f532077	5	145568168	149618123	2667	0.1343
9ed7335d-bee4-442d-b69f-84759f532077	5	149618393	149640603	22	0.5194
9ed7335d-bee4-442d-b69f-84759f532077	5	149641042	180934240	19514	0.1001
9ed7335d-bee4-442d-b69f-84759f532077	6	1011760	4724025	2642	0.13
9ed7335d-bee4-442d-b69f-84759f532077	6	4724256	7502512	2097	0.0912
9ed7335d-bee4-442d-b69f-84759f532077	6	7502562	9491925	1459	0.1402
9ed7335d-bee4-442d-b69f-84759f532077	6	9492160	25864670	11255	0.0919
9ed7335d-bee4-442d-b69f-84759f532077	6	25865038	29268666	1203	0.0174
9ed7335d-bee4-442d-b69f-84759f532077	6	29268811	38338934	3759	0.0763
9ed7335d-bee4-442d-b69f-84759f532077	6	38343115	41532754	2402	0.1181
9ed7335d-bee4-442d-b69f-84759f532077	6	41533031	45775549	2296	0.0754
9ed7335d-bee4-442d-b69f-84759f532077	6	45777273	64432472	8375	0.1169
9ed7335d-bee4-442d-b69f-84759f532077	6	64436370	105039413	22573	0.0806
9ed7335d-bee4-442d-b69f-84759f532077	6	105045041	125047905	11470	0.096
9ed7335d-bee4-442d-b69f-84759f532077	6	125052611	132198307	4441	0.1276
9ed7335d-bee4-442d-b69f-84759f532077	6	132198977	135014291	1938	0.0906
9ed7335d-bee4-442d-b69f-84759f532077	6	135021116	135022100	2	-1.4054
9ed7335d-bee4-442d-b69f-84759f532077	6	135028432	149570969	8979	0.0996
9ed7335d-bee4-442d-b69f-84759f532077	6	149571429	150566235	631	0.1585
9ed7335d-bee4-442d-b69f-84759f532077	6	150568329	161389250	7250	0.0917
9ed7335d-bee4-442d-b69f-84759f532077	6	161391387	161393275	5	-0.8698
9ed7335d-bee4-442d-b69f-84759f532077	6	161395641	161987106	534	0.0674
9ed7335d-bee4-442d-b69f-84759f532077	6	161987917	161992584	7	-0.393
9ed7335d-bee4-442d-b69f-84759f532077	6	162045027	162215598	44	-0.9224
9ed7335d-bee4-442d-b69f-84759f532077	6	162700862	170596889	3832	0.0779
9ed7335d-bee4-442d-b69f-84759f532077	7	664936	11331518	4373	0.1043
9ed7335d-bee4-442d-b69f-84759f532077	7	11335079	35389855	15355	0.1277
9ed7335d-bee4-442d-b69f-84759f532077	7	35390619	97978742	30358	0.1081
9ed7335d-bee4-442d-b69f-84759f532077	7	97991379	98009076	12	-0.6208
9ed7335d-bee4-442d-b69f-84759f532077	7	98015093	108978111	5367	0.1018
9ed7335d-bee4-442d-b69f-84759f532077	7	108991403	108991722	3	-1.4513
9ed7335d-bee4-442d-b69f-84759f532077	7	108994408	109615844	392	0.0631
9ed7335d-bee4-442d-b69f-84759f532077	7	109616601	109787648	97	-0.3349
9ed7335d-bee4-442d-b69f-84759f532077	7	109787793	109928713	45	0.0804
9ed7335d-bee4-442d-b69f-84759f532077	7	109929242	110147960	122	-0.5018
9ed7335d-bee4-442d-b69f-84759f532077	7	110159142	110213397	40	-0.2635
9ed7335d-bee4-442d-b69f-84759f532077	7	110216068	110335228	73	-1.2089
9ed7335d-bee4-442d-b69f-84759f532077	7	110338063	110348186	15	-2.1774
9ed7335d-bee4-442d-b69f-84759f532077	7	110359070	110375009	9	-1.423
9ed7335d-bee4-442d-b69f-84759f532077	7	110375531	110384097	14	-3.5437
9ed7335d-bee4-442d-b69f-84759f532077	7	110387171	110433492	26	-1.2784
9ed7335d-bee4-442d-b69f-84759f532077	7	110438901	110489958	31	-0.7329
9ed7335d-bee4-442d-b69f-84759f532077	7	110490787	110532413	39	-1.5103
9ed7335d-bee4-442d-b69f-84759f532077	7	110532518	110533720	8	-0.6337
9ed7335d-bee4-442d-b69f-84759f532077	7	110533956	110584548	51	-1.1851
9ed7335d-bee4-442d-b69f-84759f532077	7	110585703	110682675	33	-0.6611
9ed7335d-bee4-442d-b69f-84759f532077	7	110688686	110715785	19	-0.1729
9ed7335d-bee4-442d-b69f-84759f532077	7	110719773	110762474	36	-0.5549
9ed7335d-bee4-442d-b69f-84759f532077	7	110769103	110782782	7	-0.204
9ed7335d-bee4-442d-b69f-84759f532077	7	110783034	110804772	19	0.0801
9ed7335d-bee4-442d-b69f-84759f532077	7	110804955	110810605	3	-0.4812
9ed7335d-bee4-442d-b69f-84759f532077	7	110810973	110966347	79	0.0909
9ed7335d-bee4-442d-b69f-84759f532077	7	110968065	111070264	48	-0.3466
9ed7335d-bee4-442d-b69f-84759f532077	7	111073636	118688187	3801	0.1255
9ed7335d-bee4-442d-b69f-84759f532077	7	118688241	155443766	19765	0.0964
9ed7335d-bee4-442d-b69f-84759f532077	7	155444395	158592540	1734	0.1474
9ed7335d-bee4-442d-b69f-84759f532077	8	667625	16552250	8125	-0.2193
9ed7335d-bee4-442d-b69f-84759f532077	8	16552380	19623529	2440	-0.1813
9ed7335d-bee4-442d-b69f-84759f532077	8	19624587	51448336	16913	-0.2184
9ed7335d-bee4-442d-b69f-84759f532077	8	51449212	51449691	3	-1.5539
9ed7335d-bee4-442d-b69f-84759f532077	8	51450357	133532827	48866	-0.2202
9ed7335d-bee4-442d-b69f-84759f532077	8	133535098	133535430	2	-2.1728
9ed7335d-bee4-442d-b69f-84759f532077	8	133536328	134628491	976	-0.2526
9ed7335d-bee4-442d-b69f-84759f532077	8	134630389	134630733	2	-2.763
9ed7335d-bee4-442d-b69f-84759f532077	8	134633617	138885411	3052	-0.2282
9ed7335d-bee4-442d-b69f-84759f532077	8	138886737	139859827	820	-0.1565
9ed7335d-bee4-442d-b69f-84759f532077	8	139863127	144182542	1046	-0.2303
9ed7335d-bee4-442d-b69f-84759f532077	9	789794	21543597	13439	0.1308
9ed7335d-bee4-442d-b69f-84759f532077	9	21547378	22088261	326	-2.7246
9ed7335d-bee4-442d-b69f-84759f532077	9	22089600	36884815	8518	0.0994
9ed7335d-bee4-442d-b69f-84759f532077	9	36885601	78755668	8508	0.1325
9ed7335d-bee4-442d-b69f-84759f532077	9	78756101	80264558	1135	0.074
9ed7335d-bee4-442d-b69f-84759f532077	9	80265284	86822153	4467	0.1381
9ed7335d-bee4-442d-b69f-84759f532077	9	86822298	86822428	2	-1.1969
9ed7335d-bee4-442d-b69f-84759f532077	9	86823220	105365193	11748	0.1153
9ed7335d-bee4-442d-b69f-84759f532077	9	105365604	105366609	2	-1.197
9ed7335d-bee4-442d-b69f-84759f532077	9	105367199	106648648	715	0.1243
9ed7335d-bee4-442d-b69f-84759f532077	9	106649750	110985432	3456	0.1539
9ed7335d-bee4-442d-b69f-84759f532077	9	110986866	127377486	10959	0.1229
9ed7335d-bee4-442d-b69f-84759f532077	9	127380834	138044505	5223	0.1056
9ed7335d-bee4-442d-b69f-84759f532077	10	366509	6223439	3834	0.118
9ed7335d-bee4-442d-b69f-84759f532077	10	6225212	7613702	1140	0.0357
9ed7335d-bee4-442d-b69f-84759f532077	10	7614365	80769576	42911	0.1134
9ed7335d-bee4-442d-b69f-84759f532077	10	80772971	105092705	14842	-0.2092
9ed7335d-bee4-442d-b69f-84759f532077	10	105093879	105097248	4	-1.7998
9ed7335d-bee4-442d-b69f-84759f532077	10	105102094	129957407	17583	-0.2052
9ed7335d-bee4-442d-b69f-84759f532077	10	129957484	133411599	1006	0.0996
9ed7335d-bee4-442d-b69f-84759f532077	11	456012	29462832	18656	-0.2057
9ed7335d-bee4-442d-b69f-84759f532077	11	29463831	29463967	3	-2.0569
9ed7335d-bee4-442d-b69f-84759f532077	11	29464753	86844128	27925	-0.2106
9ed7335d-bee4-442d-b69f-84759f532077	11	86844147	87084342	156	-0.6473
9ed7335d-bee4-442d-b69f-84759f532077	11	87086957	89219169	1392	-0.2166
9ed7335d-bee4-442d-b69f-84759f532077	11	89219288	89222804	3	-1.6453
9ed7335d-bee4-442d-b69f-84759f532077	11	89223879	116796745	17404	-0.2153
9ed7335d-bee4-442d-b69f-84759f532077	11	116797795	116799960	4	-1.6449
9ed7335d-bee4-442d-b69f-84759f532077	11	116804102	134272740	12027	-0.2173
9ed7335d-bee4-442d-b69f-84759f532077	12	780472	8048464	4234	0.1172
9ed7335d-bee4-442d-b69f-84759f532077	12	8048519	9917135	750	0.0406
9ed7335d-bee4-442d-b69f-84759f532077	12	9918313	12067654	1263	0.1009
9ed7335d-bee4-442d-b69f-84759f532077	12	12067704	22754185	6581	0.1409
9ed7335d-bee4-442d-b69f-84759f532077	12	22760488	25339159	1680	0.094
9ed7335d-bee4-442d-b69f-84759f532077	12	25341622	25341804	2	-1.5275
9ed7335d-bee4-442d-b69f-84759f532077	12	25342720	132605822	59872	0.1049
9ed7335d-bee4-442d-b69f-84759f532077	13	18874255	38110010	12123	0.1203
9ed7335d-bee4-442d-b69f-84759f532077	13	38110023	52771506	8373	0.0853
9ed7335d-bee4-442d-b69f-84759f532077	13	52772599	53863458	723	0.1578
9ed7335d-bee4-442d-b69f-84759f532077	13	53863635	68992988	7193	0.0911
9ed7335d-bee4-442d-b69f-84759f532077	13	68996130	70048149	595	0.1132
9ed7335d-bee4-442d-b69f-84759f532077	13	70049041	74045860	2588	0.1494
9ed7335d-bee4-442d-b69f-84759f532077	13	74045995	103592763	18742	0.1078
9ed7335d-bee4-442d-b69f-84759f532077	13	103592802	103612495	16	-0.2729
9ed7335d-bee4-442d-b69f-84759f532077	13	103615679	114226675	6670	0.1165
9ed7335d-bee4-442d-b69f-84759f532077	14	20033191	37049639	9435	-0.1953
9ed7335d-bee4-442d-b69f-84759f532077	14	37050141	37205410	95	-0.5999
9ed7335d-bee4-442d-b69f-84759f532077	14	37206715	75172609	21456	-0.2105
9ed7335d-bee4-442d-b69f-84759f532077	14	75172868	75176409	4	-1.3265
