GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
771af675-cbfe-4795-8287-afaea0447c65	1	62920	25256850	14006	0.0077
771af675-cbfe-4795-8287-afaea0447c65	1	25266637	25320455	24	0.5849
771af675-cbfe-4795-8287-afaea0447c65	1	25336819	34190783	4608	0.0171
771af675-cbfe-4795-8287-afaea0447c65	1	34191211	34191702	2	-2.3387
771af675-cbfe-4795-8287-afaea0447c65	1	34196051	72303253	24093	0.0029
771af675-cbfe-4795-8287-afaea0447c65	1	72305460	72346221	45	-0.9975
771af675-cbfe-4795-8287-afaea0447c65	1	72346757	75585159	1927	0.0104
771af675-cbfe-4795-8287-afaea0447c65	1	75589078	75589169	2	-2.0662
771af675-cbfe-4795-8287-afaea0447c65	1	75593824	75644020	40	-0.0673
771af675-cbfe-4795-8287-afaea0447c65	1	75644421	75648636	3	-1.038
771af675-cbfe-4795-8287-afaea0447c65	1	75648979	81422771	3796	0.0048
771af675-cbfe-4795-8287-afaea0447c65	1	81422917	81422920	2	-1.6209
771af675-cbfe-4795-8287-afaea0447c65	1	81422982	89009572	5148	0.0063
771af675-cbfe-4795-8287-afaea0447c65	1	89012275	89012522	2	-2.2345
771af675-cbfe-4795-8287-afaea0447c65	1	89015841	103620877	9076	0.005
771af675-cbfe-4795-8287-afaea0447c65	1	103621165	103760781	6	-1.0427
771af675-cbfe-4795-8287-afaea0447c65	1	103760879	109684695	3559	0.0059
771af675-cbfe-4795-8287-afaea0447c65	1	109684893	109691788	9	-1.1479
771af675-cbfe-4795-8287-afaea0447c65	1	109691933	112145689	1948	0.0172
771af675-cbfe-4795-8287-afaea0447c65	1	112147589	112154576	24	0.4179
771af675-cbfe-4795-8287-afaea0447c65	1	112154591	169247699	19086	0.0052
771af675-cbfe-4795-8287-afaea0447c65	1	169264736	169272528	7	-1.9663
771af675-cbfe-4795-8287-afaea0447c65	1	169273163	174827267	3507	0.0071
771af675-cbfe-4795-8287-afaea0447c65	1	174827418	174832702	16	-2.4887
771af675-cbfe-4795-8287-afaea0447c65	1	174832716	248574146	50278	0.0054
771af675-cbfe-4795-8287-afaea0447c65	1	248585893	248633912	32	-0.4517
771af675-cbfe-4795-8287-afaea0447c65	1	248645563	248930189	141	0.1007
771af675-cbfe-4795-8287-afaea0447c65	2	12784	4158097	2985	0.0232
771af675-cbfe-4795-8287-afaea0447c65	2	4166274	4175922	37	-0.5127
771af675-cbfe-4795-8287-afaea0447c65	2	4175977	52527743	34079	0.0059
771af675-cbfe-4795-8287-afaea0447c65	2	52531615	52554366	31	0.6405
771af675-cbfe-4795-8287-afaea0447c65	2	52554384	106265177	29399	0.0072
771af675-cbfe-4795-8287-afaea0447c65	2	106266773	106268901	8	-2.9058
771af675-cbfe-4795-8287-afaea0447c65	2	106270799	179553661	44270	0.0059
771af675-cbfe-4795-8287-afaea0447c65	2	179553763	179556770	19	-0.8214
771af675-cbfe-4795-8287-afaea0447c65	2	179556785	197873321	10604	0.0009
771af675-cbfe-4795-8287-afaea0447c65	2	197878780	197881802	3	-1.5985
771af675-cbfe-4795-8287-afaea0447c65	2	197889264	228397576	19397	0.002
771af675-cbfe-4795-8287-afaea0447c65	2	228399698	228401658	2	-2.9384
771af675-cbfe-4795-8287-afaea0447c65	2	228404140	241666621	8339	0.0081
771af675-cbfe-4795-8287-afaea0447c65	2	241703438	241706935	3	-1.1104
771af675-cbfe-4795-8287-afaea0447c65	2	241723206	242147305	148	0.1023
771af675-cbfe-4795-8287-afaea0447c65	3	20930	141230	112	0.0303
771af675-cbfe-4795-8287-afaea0447c65	3	142563	144336	4	-1.1208
771af675-cbfe-4795-8287-afaea0447c65	3	144528	2770888	2284	0.0488
771af675-cbfe-4795-8287-afaea0447c65	3	2771028	10195035	6226	0.0102
771af675-cbfe-4795-8287-afaea0447c65	3	10195263	10195613	2	-1.3883
771af675-cbfe-4795-8287-afaea0447c65	3	10200191	21735875	7624	0.0066
771af675-cbfe-4795-8287-afaea0447c65	3	21735914	23937812	1588	0.0405
771af675-cbfe-4795-8287-afaea0447c65	3	23939938	23940837	2	-2.9614
771af675-cbfe-4795-8287-afaea0447c65	3	23940839	47437019	15599	0.0076
771af675-cbfe-4795-8287-afaea0447c65	3	47450332	47451230	2	-1.8434
771af675-cbfe-4795-8287-afaea0447c65	3	47455724	61500233	8631	0.0134
771af675-cbfe-4795-8287-afaea0447c65	3	61504475	61508578	2	-1.3776
771af675-cbfe-4795-8287-afaea0447c65	3	61509218	70500365	7075	0.0125
771af675-cbfe-4795-8287-afaea0447c65	3	70501049	70501311	2	-1.8811
771af675-cbfe-4795-8287-afaea0447c65	3	70501561	99225632	14462	0.0108
771af675-cbfe-4795-8287-afaea0447c65	3	99225667	99230577	36	-0.4594
771af675-cbfe-4795-8287-afaea0447c65	3	99232120	189642965	55677	0.0093
771af675-cbfe-4795-8287-afaea0447c65	3	189645889	189653225	13	-0.643
771af675-cbfe-4795-8287-afaea0447c65	3	189654562	193160113	2487	0.0178
771af675-cbfe-4795-8287-afaea0447c65	3	193160173	193165114	19	1.192
771af675-cbfe-4795-8287-afaea0447c65	3	193168646	194913439	1158	0.005
771af675-cbfe-4795-8287-afaea0447c65	3	194913859	194921751	7	-0.6325
771af675-cbfe-4795-8287-afaea0447c65	3	194921899	195673928	319	0.0321
771af675-cbfe-4795-8287-afaea0447c65	3	195683075	195792827	56	0.3367
771af675-cbfe-4795-8287-afaea0447c65	3	195795450	198169247	1148	0.0154
771af675-cbfe-4795-8287-afaea0447c65	4	68929	9462813	5156	0.0063
771af675-cbfe-4795-8287-afaea0447c65	4	9463248	9477560	3	1.506
771af675-cbfe-4795-8287-afaea0447c65	4	9477699	10208766	540	0.0105
771af675-cbfe-4795-8287-afaea0447c65	4	10212536	10244648	46	0.4305
771af675-cbfe-4795-8287-afaea0447c65	4	10245888	10389091	161	0.0144
771af675-cbfe-4795-8287-afaea0447c65	4	10390730	10399044	16	-0.6149
771af675-cbfe-4795-8287-afaea0447c65	4	10401094	32398929	15422	0.0021
771af675-cbfe-4795-8287-afaea0447c65	4	32398943	32398977	3	1.3638
771af675-cbfe-4795-8287-afaea0447c65	4	32399891	34777340	1336	0.0108
771af675-cbfe-4795-8287-afaea0447c65	4	34777353	34822561	42	0.6643
771af675-cbfe-4795-8287-afaea0447c65	4	34823103	63828222	16532	0.0067
771af675-cbfe-4795-8287-afaea0447c65	4	63831751	63840033	19	-0.7399
771af675-cbfe-4795-8287-afaea0447c65	4	63841863	63842540	8	-2.278
771af675-cbfe-4795-8287-afaea0447c65	4	63850713	68394355	2849	-0.0069
771af675-cbfe-4795-8287-afaea0447c65	4	68394833	68429081	8	-0.7898
771af675-cbfe-4795-8287-afaea0447c65	4	68439221	69257792	390	0.0229
771af675-cbfe-4795-8287-afaea0447c65	4	69261926	69377178	61	-0.4554
771af675-cbfe-4795-8287-afaea0447c65	4	69378363	90350180	13079	0.0041
771af675-cbfe-4795-8287-afaea0447c65	4	90350214	90370365	14	-0.5748
771af675-cbfe-4795-8287-afaea0447c65	4	90373217	103824414	7895	0.0075
771af675-cbfe-4795-8287-afaea0447c65	4	103830473	103830480	5	-0.9144
771af675-cbfe-4795-8287-afaea0447c65	4	103830487	114252544	6289	0.003
771af675-cbfe-4795-8287-afaea0447c65	4	114254167	114263224	29	-0.9759
771af675-cbfe-4795-8287-afaea0447c65	4	114263234	115254776	622	0.0035
771af675-cbfe-4795-8287-afaea0447c65	4	115254789	115259026	4	-1.0731
771af675-cbfe-4795-8287-afaea0447c65	4	115259080	124538250	5453	0.0033
771af675-cbfe-4795-8287-afaea0447c65	4	124539196	124541780	3	-1.4337
771af675-cbfe-4795-8287-afaea0447c65	4	124541870	160950716	21816	0.0068
771af675-cbfe-4795-8287-afaea0447c65	4	160950731	160963756	32	-0.4276
771af675-cbfe-4795-8287-afaea0447c65	4	160963767	169922993	5686	0.009
771af675-cbfe-4795-8287-afaea0447c65	4	169923329	169925890	4	-1.1921
771af675-cbfe-4795-8287-afaea0447c65	4	169926381	171448195	966	0.0142
771af675-cbfe-4795-8287-afaea0447c65	4	171453733	171456573	11	-0.6238
771af675-cbfe-4795-8287-afaea0447c65	4	171456625	172066567	392	0.0229
771af675-cbfe-4795-8287-afaea0447c65	4	172066585	172068368	15	0.6415
771af675-cbfe-4795-8287-afaea0447c65	4	172068382	188323737	10951	0.0104
771af675-cbfe-4795-8287-afaea0447c65	4	188328503	188341927	12	-1.0261
771af675-cbfe-4795-8287-afaea0447c65	4	188342300	190106768	1089	0.0667
771af675-cbfe-4795-8287-afaea0447c65	5	15532	685633	306	0.0855
771af675-cbfe-4795-8287-afaea0447c65	5	698256	779766	28	-0.8611
771af675-cbfe-4795-8287-afaea0447c65	5	800724	8115720	6108	0.0135
771af675-cbfe-4795-8287-afaea0447c65	5	8117676	8117733	2	1.777
771af675-cbfe-4795-8287-afaea0447c65	5	8121212	9898850	1559	0.0052
771af675-cbfe-4795-8287-afaea0447c65	5	9901840	9926299	33	-1.04
771af675-cbfe-4795-8287-afaea0447c65	5	9926575	20432649	7050	0.0091
771af675-cbfe-4795-8287-afaea0447c65	5	20436787	20451616	38	0.3371
771af675-cbfe-4795-8287-afaea0447c65	5	20455032	20564172	102	0.0784
771af675-cbfe-4795-8287-afaea0447c65	5	20564211	45427057	15134	0.002
771af675-cbfe-4795-8287-afaea0447c65	5	45431049	46251204	263	0.1053
771af675-cbfe-4795-8287-afaea0447c65	5	46270906	46273400	8	1.3125
771af675-cbfe-4795-8287-afaea0447c65	5	46278110	50225079	32	0.2637
771af675-cbfe-4795-8287-afaea0447c65	5	50225758	69533206	12354	0.0074
771af675-cbfe-4795-8287-afaea0447c65	5	69533520	70959079	19	0.4191
771af675-cbfe-4795-8287-afaea0447c65	5	71010832	71095426	8	1.2828
771af675-cbfe-4795-8287-afaea0447c65	5	71358245	104357435	19400	0.0041
771af675-cbfe-4795-8287-afaea0447c65	5	104361340	104446262	54	-0.791
771af675-cbfe-4795-8287-afaea0447c65	5	104453456	180951710	50024	0.0032
771af675-cbfe-4795-8287-afaea0447c65	5	180951888	180991103	18	0.5971
771af675-cbfe-4795-8287-afaea0447c65	5	181006225	181363319	170	0.0354
771af675-cbfe-4795-8287-afaea0447c65	6	149661	314962	128	0.1
771af675-cbfe-4795-8287-afaea0447c65	6	315197	385056	80	-0.23
771af675-cbfe-4795-8287-afaea0447c65	6	385687	9690610	7484	0.0151
771af675-cbfe-4795-8287-afaea0447c65	6	9692627	9693600	2	-1.9313
771af675-cbfe-4795-8287-afaea0447c65	6	9694337	23060763	9984	0.0016
771af675-cbfe-4795-8287-afaea0447c65	6	23060767	23064026	3	-1.3165
771af675-cbfe-4795-8287-afaea0447c65	6	23067417	29869295	3938	0.007
771af675-cbfe-4795-8287-afaea0447c65	6	29869410	29913249	26	0.679
771af675-cbfe-4795-8287-afaea0447c65	6	29913481	32533522	1178	0.0051
771af675-cbfe-4795-8287-afaea0447c65	6	32540699	32641650	41	-0.4469
771af675-cbfe-4795-8287-afaea0447c65	6	32656527	73882085	24062	0.0097
771af675-cbfe-4795-8287-afaea0447c65	6	73882142	73887625	10	0.6989
771af675-cbfe-4795-8287-afaea0447c65	6	73891694	76726815	1765	0.0144
771af675-cbfe-4795-8287-afaea0447c65	6	76730151	76758214	23	-0.4832
771af675-cbfe-4795-8287-afaea0447c65	6	76758749	78252576	971	0.0223
771af675-cbfe-4795-8287-afaea0447c65	6	78252864	78270631	30	0.4295
771af675-cbfe-4795-8287-afaea0447c65	6	78270686	78285373	5	-0.5423
771af675-cbfe-4795-8287-afaea0447c65	6	78285389	78325468	81	0.3462
771af675-cbfe-4795-8287-afaea0447c65	6	78329517	93812387	9919	0.0061
771af675-cbfe-4795-8287-afaea0447c65	6	93812588	95386776	757	0.0976
771af675-cbfe-4795-8287-afaea0447c65	6	95388284	103290164	4778	-0.0013
771af675-cbfe-4795-8287-afaea0447c65	6	103290209	103314186	44	0.7299
771af675-cbfe-4795-8287-afaea0447c65	6	103317795	161997415	37971	0.0045
771af675-cbfe-4795-8287-afaea0447c65	6	161998234	162738342	604	0.0933
771af675-cbfe-4795-8287-afaea0447c65	6	162739440	170741917	5539	0.0209
771af675-cbfe-4795-8287-afaea0447c65	7	43355	81716386	50081	0.0073
771af675-cbfe-4795-8287-afaea0447c65	7	81718460	81718705	2	-2.4112
771af675-cbfe-4795-8287-afaea0447c65	7	81719139	89612044	4947	0.0115
771af675-cbfe-4795-8287-afaea0447c65	7	89612521	89632080	11	0.7181
771af675-cbfe-4795-8287-afaea0447c65	7	89632911	97756658	5193	0.0153
771af675-cbfe-4795-8287-afaea0447c65	7	97766148	97775016	19	-0.4582
771af675-cbfe-4795-8287-afaea0447c65	7	97775030	109793741	6589	0.0062
771af675-cbfe-4795-8287-afaea0447c65	7	109797035	109813853	35	0.4794
771af675-cbfe-4795-8287-afaea0447c65	7	109813925	110158535	206	-0.0089
771af675-cbfe-4795-8287-afaea0447c65	7	110158550	110158752	2	-1.6598
771af675-cbfe-4795-8287-afaea0447c65	7	110158796	111041554	609	0.0043
771af675-cbfe-4795-8287-afaea0447c65	7	111041585	111700642	414	0.1002
771af675-cbfe-4795-8287-afaea0447c65	7	111700704	126404920	8779	0.0078
771af675-cbfe-4795-8287-afaea0447c65	7	126405428	126406561	12	1.006
771af675-cbfe-4795-8287-afaea0447c65	7	126406822	134100424	4696	-0.0007
771af675-cbfe-4795-8287-afaea0447c65	7	134100442	134110951	27	0.4407
771af675-cbfe-4795-8287-afaea0447c65	7	134111088	142049835	5179	-0.0035
771af675-cbfe-4795-8287-afaea0447c65	7	142052076	142087828	38	0.2124
771af675-cbfe-4795-8287-afaea0447c65	7	142087846	142090279	6	0.6575
771af675-cbfe-4795-8287-afaea0447c65	7	142090383	142099360	6	0.3047
771af675-cbfe-4795-8287-afaea0447c65	7	142105742	142463532	292	0.0278
771af675-cbfe-4795-8287-afaea0447c65	7	142464061	142476060	14	-0.9327
771af675-cbfe-4795-8287-afaea0447c65	7	142485450	143125117	359	0.0368
771af675-cbfe-4795-8287-afaea0447c65	7	143130861	143200677	34	-0.7925
