GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6059d2ad-bd06-41d4-82c0-94e7fac770e4	1	3301765	5004070	1239	-0.1403
6059d2ad-bd06-41d4-82c0-94e7fac770e4	1	5004145	17734192	6555	-0.0821
6059d2ad-bd06-41d4-82c0-94e7fac770e4	1	17735763	18985317	971	-0.1409
6059d2ad-bd06-41d4-82c0-94e7fac770e4	1	18989017	44169804	13361	-0.0713
6059d2ad-bd06-41d4-82c0-94e7fac770e4	1	44170809	44171718	2	-1.9616
6059d2ad-bd06-41d4-82c0-94e7fac770e4	1	44181708	44757971	345	-0.0891
6059d2ad-bd06-41d4-82c0-94e7fac770e4	1	44765291	58663378	8193	-0.0458
6059d2ad-bd06-41d4-82c0-94e7fac770e4	1	58663574	101955023	27016	-0.0209
6059d2ad-bd06-41d4-82c0-94e7fac770e4	1	101955333	101956158	3	-1.4124
6059d2ad-bd06-41d4-82c0-94e7fac770e4	1	101957588	109285609	3684	-0.0134
6059d2ad-bd06-41d4-82c0-94e7fac770e4	1	109289049	166357751	16616	-0.0339
6059d2ad-bd06-41d4-82c0-94e7fac770e4	1	166357931	172944486	4652	-0.0004
6059d2ad-bd06-41d4-82c0-94e7fac770e4	1	172945144	172946563	2	-1.8752
6059d2ad-bd06-41d4-82c0-94e7fac770e4	1	172952732	226189223	33288	-0.0272
6059d2ad-bd06-41d4-82c0-94e7fac770e4	1	226193239	244868505	12582	-0.0453
6059d2ad-bd06-41d4-82c0-94e7fac770e4	1	244873874	247650984	1234	-0.0628
6059d2ad-bd06-41d4-82c0-94e7fac770e4	2	480597	8050755	4589	-0.0753
6059d2ad-bd06-41d4-82c0-94e7fac770e4	2	8056433	125435935	61560	-0.0304
6059d2ad-bd06-41d4-82c0-94e7fac770e4	2	125695805	125823083	105	-0.4079
6059d2ad-bd06-41d4-82c0-94e7fac770e4	2	125824891	126036706	111	-0.0237
6059d2ad-bd06-41d4-82c0-94e7fac770e4	2	126037151	126870006	520	-0.4313
6059d2ad-bd06-41d4-82c0-94e7fac770e4	2	126876273	139894851	6449	-0.0438
6059d2ad-bd06-41d4-82c0-94e7fac770e4	2	139895528	139898391	3	-1.6055
6059d2ad-bd06-41d4-82c0-94e7fac770e4	2	139899738	149536496	5441	-0.0392
6059d2ad-bd06-41d4-82c0-94e7fac770e4	2	149537223	149537237	2	-1.9921
6059d2ad-bd06-41d4-82c0-94e7fac770e4	2	149537336	151495214	1376	-0.0326
6059d2ad-bd06-41d4-82c0-94e7fac770e4	2	151505492	152161609	431	-0.4381
6059d2ad-bd06-41d4-82c0-94e7fac770e4	2	152164976	157151491	2787	-0.0182
6059d2ad-bd06-41d4-82c0-94e7fac770e4	2	157152669	157152849	2	-2.1252
6059d2ad-bd06-41d4-82c0-94e7fac770e4	2	157155419	212600785	31136	-0.009
6059d2ad-bd06-41d4-82c0-94e7fac770e4	2	212601283	234102876	13150	-0.0331
6059d2ad-bd06-41d4-82c0-94e7fac770e4	2	234107349	241297017	4414	-0.1083
6059d2ad-bd06-41d4-82c0-94e7fac770e4	2	241297420	241537572	133	-0.0453
6059d2ad-bd06-41d4-82c0-94e7fac770e4	3	2170634	77937545	45114	-0.0305
6059d2ad-bd06-41d4-82c0-94e7fac770e4	3	77937901	122387506	22065	-0.0115
6059d2ad-bd06-41d4-82c0-94e7fac770e4	3	122388388	125972041	2193	-0.0313
6059d2ad-bd06-41d4-82c0-94e7fac770e4	3	125974353	129697805	2081	-0.0828
6059d2ad-bd06-41d4-82c0-94e7fac770e4	3	129699625	141037417	6576	-0.0346
6059d2ad-bd06-41d4-82c0-94e7fac770e4	3	141039868	163997149	11864	-0.0018
6059d2ad-bd06-41d4-82c0-94e7fac770e4	3	163998024	164008570	11	-0.6156
6059d2ad-bd06-41d4-82c0-94e7fac770e4	3	164009675	177650701	6621	0.0068
6059d2ad-bd06-41d4-82c0-94e7fac770e4	3	177652310	197812401	10668	-0.0299
6059d2ad-bd06-41d4-82c0-94e7fac770e4	4	1059384	2053021	315	-0.4888
6059d2ad-bd06-41d4-82c0-94e7fac770e4	4	2055897	2077126	2	-2.6556
6059d2ad-bd06-41d4-82c0-94e7fac770e4	4	2079294	8664936	3993	-0.4924
6059d2ad-bd06-41d4-82c0-94e7fac770e4	4	8665160	13023323	2572	-0.405
6059d2ad-bd06-41d4-82c0-94e7fac770e4	4	13023410	59176332	26090	-0.4245
6059d2ad-bd06-41d4-82c0-94e7fac770e4	4	59176496	59176622	2	-2.4599
6059d2ad-bd06-41d4-82c0-94e7fac770e4	4	59176838	61540727	1399	-0.4325
6059d2ad-bd06-41d4-82c0-94e7fac770e4	4	61541175	115629299	30174	-0.3941
6059d2ad-bd06-41d4-82c0-94e7fac770e4	4	115630112	115630160	2	-3.3468
6059d2ad-bd06-41d4-82c0-94e7fac770e4	4	115634196	187444241	38614	-0.4031
6059d2ad-bd06-41d4-82c0-94e7fac770e4	4	187445746	187842528	240	-0.4624
6059d2ad-bd06-41d4-82c0-94e7fac770e4	5	913983	8635805	5601	-0.0917
6059d2ad-bd06-41d4-82c0-94e7fac770e4	5	8636625	109801225	52145	-0.0308
6059d2ad-bd06-41d4-82c0-94e7fac770e4	5	109801685	109802342	2	-2.6516
6059d2ad-bd06-41d4-82c0-94e7fac770e4	5	109802699	142091745	18861	-0.0246
6059d2ad-bd06-41d4-82c0-94e7fac770e4	5	142095613	142095801	2	-2.8773
6059d2ad-bd06-41d4-82c0-94e7fac770e4	5	142100268	154049627	7949	-0.0387
6059d2ad-bd06-41d4-82c0-94e7fac770e4	5	154050427	154051223	2	-3.0873
6059d2ad-bd06-41d4-82c0-94e7fac770e4	5	154051429	168408534	9309	-0.0328
6059d2ad-bd06-41d4-82c0-94e7fac770e4	5	168408594	180934240	7243	-0.0822
6059d2ad-bd06-41d4-82c0-94e7fac770e4	6	1011760	44824981	26663	0.2569
6059d2ad-bd06-41d4-82c0-94e7fac770e4	6	44826662	49962843	2913	0.3022
6059d2ad-bd06-41d4-82c0-94e7fac770e4	6	49967022	49967644	2	-2.0934
6059d2ad-bd06-41d4-82c0-94e7fac770e4	6	49969792	55471533	3541	0.2929
6059d2ad-bd06-41d4-82c0-94e7fac770e4	6	55476809	55476897	2	-1.639
6059d2ad-bd06-41d4-82c0-94e7fac770e4	6	55480605	64161745	2242	0.3013
6059d2ad-bd06-41d4-82c0-94e7fac770e4	6	64162778	64163172	2	-1.2809
6059d2ad-bd06-41d4-82c0-94e7fac770e4	6	64164795	76965155	7405	0.2914
6059d2ad-bd06-41d4-82c0-94e7fac770e4	6	76969866	76970214	2	-1.5459
6059d2ad-bd06-41d4-82c0-94e7fac770e4	6	76970387	80739807	1970	0.288
6059d2ad-bd06-41d4-82c0-94e7fac770e4	6	80740508	80740567	2	-1.3296
6059d2ad-bd06-41d4-82c0-94e7fac770e4	6	80743689	122248964	23133	0.2911
6059d2ad-bd06-41d4-82c0-94e7fac770e4	6	122259299	122260010	4	-0.8154
6059d2ad-bd06-41d4-82c0-94e7fac770e4	6	122264426	143710056	13180	0.3078
6059d2ad-bd06-41d4-82c0-94e7fac770e4	6	143710271	144765495	650	0.275
6059d2ad-bd06-41d4-82c0-94e7fac770e4	6	144767978	144768625	4	-0.6539
6059d2ad-bd06-41d4-82c0-94e7fac770e4	6	144773401	157691016	8578	0.2818
6059d2ad-bd06-41d4-82c0-94e7fac770e4	6	157694126	157961042	170	0.3417
6059d2ad-bd06-41d4-82c0-94e7fac770e4	6	157961183	170596889	6720	0.2528
6059d2ad-bd06-41d4-82c0-94e7fac770e4	7	664936	6224349	2087	-0.1064
6059d2ad-bd06-41d4-82c0-94e7fac770e4	7	6224726	13427367	3779	-0.0113
6059d2ad-bd06-41d4-82c0-94e7fac770e4	7	13429310	13429652	4	-1.0753
6059d2ad-bd06-41d4-82c0-94e7fac770e4	7	13434369	15043280	1285	-0.0298
6059d2ad-bd06-41d4-82c0-94e7fac770e4	7	15043436	20492430	2698	0.0152
