GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	1	3301765	221405132	113214	0.0005
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	1	221406716	221407063	2	-1.6122
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	1	221407528	247650984	16586	-0.0051
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	2	480597	241537572	132244	-0.0014
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	3	2170634	197812401	107217	-0.0004
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	4	1059384	100446997	55918	-0.001
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	4	100450960	100551166	62	-1.0738
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	4	100555531	115468218	8561	0.0028
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	4	115468636	115472157	2	-1.5896
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	4	115472302	187842528	38989	-0.001
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	5	914118	89503163	47755	0.0006
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	5	89508595	89520103	9	-0.6958
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	5	89523700	180934240	53392	0.0006
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	6	1011760	158775571	90989	0.0014
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	6	158778487	158780481	4	-1.2743
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	6	158781208	170596889	6203	0.003
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	7	664936	133379438	68461	-0.0014
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	7	133379684	133379822	2	-1.4905
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	7	133380563	158592540	13503	0.0003
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	8	667625	144182542	82266	-0.0006
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	9	789794	3168478	1703	-0.0121
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	9	3169598	3169845	5	-1.0259
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	9	3171899	31033691	17094	0.0036
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	9	31035430	31035784	3	-1.1425
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	9	31038198	117803183	38253	0.0031
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	9	117803358	117805238	2	-1.4599
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	9	117807026	138044505	11444	-0.001
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	10	366509	11215113	7764	-0.0017
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	10	11215359	11216849	2	-1.3939
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	10	11222287	133411599	73551	0.0014
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	11	456012	41993077	26482	0.001
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	11	42031209	42041812	10	-1.2002
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	11	42047636	134272740	51105	0.0008
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	12	780472	86122076	47309	-0.0009
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	12	86122306	86122948	2	-2.2913
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	12	86124108	132605822	27059	-0.0009
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	13	18874255	29638309	6378	-0.0029
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	13	29638803	29651143	4	-1.267
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	13	29651312	114226675	50628	-0.0016
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	14	20033191	51088263	16110	-0.0002
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	14	51091795	51091822	2	-1.4462
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	14	51092105	86462891	22427	0.0005
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	14	86463172	86551773	2	-1.3096
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	14	86555884	105533894	11264	0.0008
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	15	23437561	50389271	13891	0.0032
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	15	50389971	50405909	5	-0.9207
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	15	50411701	61731976	7622	0.0035
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	15	61733921	61734299	2	-1.1615
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	15	61734748	70741674	5597	-0.0057
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	15	70741805	70741906	3	1.008
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	15	70741930	76191001	2836	0.0012
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	15	76192489	76192652	2	-1.4188
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	15	76193195	101344124	14846	0.0028
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	16	603333	79326906	34627	0.0025
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	16	79327916	79328056	2	-1.4811
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	16	79330945	89317317	6597	0.0053
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	17	1074619	78980335	35758	0.0006
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	17	78981384	78981733	2	-1.6553
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	17	78981814	82959812	1535	0.0033
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	18	326691	46317343	23538	0.0021
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	18	46319799	46324940	6	-0.8189
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	18	46324979	79349796	19440	0.0013
f72ab0c3-9cb4-4da2-9191-d77fba26c32d	19	283868	14999787	5474	-0.0054
