GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
930d903b-8492-41d6-a054-d3b0051c3f2c	1	62920	12832455	6507	0.0036
930d903b-8492-41d6-a054-d3b0051c3f2c	1	12850124	13114062	11	0.5961
930d903b-8492-41d6-a054-d3b0051c3f2c	1	13118266	15823420	1813	0.0044
930d903b-8492-41d6-a054-d3b0051c3f2c	1	15827002	15827706	7	-2.0277
930d903b-8492-41d6-a054-d3b0051c3f2c	1	15827744	15828515	3	-0.862
930d903b-8492-41d6-a054-d3b0051c3f2c	1	15839166	16470226	278	0.0121
930d903b-8492-41d6-a054-d3b0051c3f2c	1	16470247	16643505	45	0.273
930d903b-8492-41d6-a054-d3b0051c3f2c	1	16643683	19573043	1972	0.0104
930d903b-8492-41d6-a054-d3b0051c3f2c	1	19579152	19582086	2	-1.3757
930d903b-8492-41d6-a054-d3b0051c3f2c	1	19583818	21825701	1366	0.0078
930d903b-8492-41d6-a054-d3b0051c3f2c	1	21833618	21833764	2	-1.1138
930d903b-8492-41d6-a054-d3b0051c3f2c	1	21837671	22175223	192	-0.001
930d903b-8492-41d6-a054-d3b0051c3f2c	1	22177283	22177779	2	-1.1322
930d903b-8492-41d6-a054-d3b0051c3f2c	1	22180930	25256850	1812	0.0071
930d903b-8492-41d6-a054-d3b0051c3f2c	1	25266637	25320198	22	-1.8988
930d903b-8492-41d6-a054-d3b0051c3f2c	1	25320253	30261189	2387	0.008
930d903b-8492-41d6-a054-d3b0051c3f2c	1	30264526	30266949	8	-0.7034
930d903b-8492-41d6-a054-d3b0051c3f2c	1	30268649	34626073	2557	-0.0021
930d903b-8492-41d6-a054-d3b0051c3f2c	1	34637053	34638890	20	-0.5038
930d903b-8492-41d6-a054-d3b0051c3f2c	1	34648667	54624527	11034	0.0049
930d903b-8492-41d6-a054-d3b0051c3f2c	1	54627618	54628716	2	1.2409
930d903b-8492-41d6-a054-d3b0051c3f2c	1	54630777	60889725	4834	0.0028
930d903b-8492-41d6-a054-d3b0051c3f2c	1	60890295	60890385	2	-1.1708
930d903b-8492-41d6-a054-d3b0051c3f2c	1	60893723	72303233	7888	0.0142
930d903b-8492-41d6-a054-d3b0051c3f2c	1	72303253	72345255	42	-1.4437
930d903b-8492-41d6-a054-d3b0051c3f2c	1	72345393	72345465	3	-0.6451
930d903b-8492-41d6-a054-d3b0051c3f2c	1	72346221	109690352	23609	0.005
930d903b-8492-41d6-a054-d3b0051c3f2c	1	109690415	109697556	12	-1.9883
930d903b-8492-41d6-a054-d3b0051c3f2c	1	109702376	112153343	1951	0.0019
930d903b-8492-41d6-a054-d3b0051c3f2c	1	112153465	112163334	25	-0.4276
930d903b-8492-41d6-a054-d3b0051c3f2c	1	112163438	143546851	5166	0.0041
930d903b-8492-41d6-a054-d3b0051c3f2c	1	143547055	143710767	81	-0.7187
930d903b-8492-41d6-a054-d3b0051c3f2c	1	143710781	143760271	31	-0.1868
930d903b-8492-41d6-a054-d3b0051c3f2c	1	143762042	143942271	10	-0.8169
930d903b-8492-41d6-a054-d3b0051c3f2c	1	144432083	152583051	2314	0.0256
930d903b-8492-41d6-a054-d3b0051c3f2c	1	152583230	152614100	34	-0.955
930d903b-8492-41d6-a054-d3b0051c3f2c	1	152614118	174827267	15012	0.0061
930d903b-8492-41d6-a054-d3b0051c3f2c	1	174827418	174832716	17	-0.8714
930d903b-8492-41d6-a054-d3b0051c3f2c	1	174832734	182322501	5096	0.0106
930d903b-8492-41d6-a054-d3b0051c3f2c	1	182324746	182324994	2	-1.4453
930d903b-8492-41d6-a054-d3b0051c3f2c	1	182325683	194479104	8092	0.0045
930d903b-8492-41d6-a054-d3b0051c3f2c	1	194482281	194485888	2	1.356
930d903b-8492-41d6-a054-d3b0051c3f2c	1	194487886	196745743	1450	0.0058
930d903b-8492-41d6-a054-d3b0051c3f2c	1	196758720	196846661	61	0.4003
930d903b-8492-41d6-a054-d3b0051c3f2c	1	196847600	201915687	3325	0.0015
930d903b-8492-41d6-a054-d3b0051c3f2c	1	201915774	201917520	4	-1.1523
930d903b-8492-41d6-a054-d3b0051c3f2c	1	201918254	222193326	14070	0.0059
930d903b-8492-41d6-a054-d3b0051c3f2c	1	222201492	222203662	2	-3.629
930d903b-8492-41d6-a054-d3b0051c3f2c	1	222208792	248585893	18240	0.0067
930d903b-8492-41d6-a054-d3b0051c3f2c	1	248585918	248633821	30	-0.618
930d903b-8492-41d6-a054-d3b0051c3f2c	1	248633912	248930189	141	0.0402
930d903b-8492-41d6-a054-d3b0051c3f2c	2	12784	416815	253	0.0246
930d903b-8492-41d6-a054-d3b0051c3f2c	2	419457	419464	2	-1.2943
930d903b-8492-41d6-a054-d3b0051c3f2c	2	419848	4143453	2721	0.0021
930d903b-8492-41d6-a054-d3b0051c3f2c	2	4145344	4189322	58	0.2112
930d903b-8492-41d6-a054-d3b0051c3f2c	2	4189427	34458223	21044	0.0026
930d903b-8492-41d6-a054-d3b0051c3f2c	2	34460213	34515732	54	-0.2599
930d903b-8492-41d6-a054-d3b0051c3f2c	2	34515960	35750907	865	-0.0022
930d903b-8492-41d6-a054-d3b0051c3f2c	2	35752724	35762850	6	-1.8105
930d903b-8492-41d6-a054-d3b0051c3f2c	2	35762881	97207299	35996	0.007
930d903b-8492-41d6-a054-d3b0051c3f2c	2	97210040	97211436	6	-0.9305
930d903b-8492-41d6-a054-d3b0051c3f2c	2	97310327	97359885	13	0.0894
930d903b-8492-41d6-a054-d3b0051c3f2c	2	97524284	97545726	9	0.9482
930d903b-8492-41d6-a054-d3b0051c3f2c	2	97550415	129484044	19482	0.004
930d903b-8492-41d6-a054-d3b0051c3f2c	2	129484927	129489260	6	-1.3668
930d903b-8492-41d6-a054-d3b0051c3f2c	2	129497537	129729312	170	-0.0679
930d903b-8492-41d6-a054-d3b0051c3f2c	2	129730347	129741409	7	-0.983
930d903b-8492-41d6-a054-d3b0051c3f2c	2	129742508	146104517	9726	0.0019
930d903b-8492-41d6-a054-d3b0051c3f2c	2	146106836	146109366	24	0.6462
930d903b-8492-41d6-a054-d3b0051c3f2c	2	146120238	163780342	10591	0.0012
