GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
da230166-a141-43f3-ab90-60d83429446a	1	3301765	58063304	30084	-0.0061
da230166-a141-43f3-ab90-60d83429446a	1	58064068	59259914	923	0.0181
da230166-a141-43f3-ab90-60d83429446a	1	59263457	68137646	6230	0.0525
da230166-a141-43f3-ab90-60d83429446a	1	68137749	93356525	14855	0.0147
da230166-a141-43f3-ab90-60d83429446a	1	93357615	96017489	1771	0.0842
da230166-a141-43f3-ab90-60d83429446a	1	96017836	241651974	72586	0.012
da230166-a141-43f3-ab90-60d83429446a	1	241694837	247650984	3039	-0.0193
da230166-a141-43f3-ab90-60d83429446a	2	480597	8616300	5033	-0.0223
da230166-a141-43f3-ab90-60d83429446a	2	8620309	134024670	64976	0.0104
da230166-a141-43f3-ab90-60d83429446a	2	134024951	155268857	12168	-0.0099
da230166-a141-43f3-ab90-60d83429446a	2	155272649	163746259	4814	0.0298
da230166-a141-43f3-ab90-60d83429446a	2	163746999	163751924	3	-1.6955
da230166-a141-43f3-ab90-60d83429446a	2	163752029	206587063	23686	0.0331
da230166-a141-43f3-ab90-60d83429446a	2	206588352	241537572	21236	0.0017
da230166-a141-43f3-ab90-60d83429446a	3	2170634	29586403	16265	-0.0052
da230166-a141-43f3-ab90-60d83429446a	3	29589006	197812401	90743	0.0211
da230166-a141-43f3-ab90-60d83429446a	4	1059384	57052261	31658	0.0062
da230166-a141-43f3-ab90-60d83429446a	4	57052738	57053426	2	-3.3364
da230166-a141-43f3-ab90-60d83429446a	4	57053753	67974241	6149	-0.0141
da230166-a141-43f3-ab90-60d83429446a	4	67975801	175330514	59364	0.0251
da230166-a141-43f3-ab90-60d83429446a	4	175334504	187842528	6187	0.0029
da230166-a141-43f3-ab90-60d83429446a	5	914118	8652666	5582	-0.0214
da230166-a141-43f3-ab90-60d83429446a	5	8653100	10610659	1507	0.0476
da230166-a141-43f3-ab90-60d83429446a	5	10610676	13575628	1534	-0.0167
da230166-a141-43f3-ab90-60d83429446a	5	13577108	16803245	1865	0.0706
da230166-a141-43f3-ab90-60d83429446a	5	16805178	39248899	12320	-0.0081
da230166-a141-43f3-ab90-60d83429446a	5	39249104	62745381	10633	0.0301
da230166-a141-43f3-ab90-60d83429446a	5	62745878	62765391	19	-0.4948
da230166-a141-43f3-ab90-60d83429446a	5	62768068	109420884	23939	0.0221
