GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-CA-5256-01A-01D-A91X-36	chr1	17001	1094000	312	-0.238178
TCGA-CA-5256-01A-01D-A91X-36	chr1	1094001	4616000	3326	-0.265665
TCGA-CA-5256-01A-01D-A91X-36	chr1	4616001	4794000	178	-0.299757
TCGA-CA-5256-01A-01D-A91X-36	chr1	4794001	5483000	687	-0.269754
TCGA-CA-5256-01A-01D-A91X-36	chr1	5483001	7176000	1690	-0.245607
TCGA-CA-5256-01A-01D-A91X-36	chr1	7176001	16603000	8978	-0.243592
TCGA-CA-5256-01A-01D-A91X-36	chr1	16604001	16646000	42	-0.410316
TCGA-CA-5256-01A-01D-A91X-36	chr1	16646001	16889000	104	-0.185753
TCGA-CA-5256-01A-01D-A91X-36	chr1	16889001	16950000	60	-0.428109
TCGA-CA-5256-01A-01D-A91X-36	chr1	16950001	18813000	1860	-0.249567
TCGA-CA-5256-01A-01D-A91X-36	chr1	18813001	19717000	903	-0.231653
TCGA-CA-5256-01A-01D-A91X-36	chr1	19717001	20153000	436	-0.208634
TCGA-CA-5256-01A-01D-A91X-36	chr1	20153001	22281000	2106	-0.242618
TCGA-CA-5256-01A-01D-A91X-36	chr1	22281001	28126000	5733	-0.233491
TCGA-CA-5256-01A-01D-A91X-36	chr1	28126001	30273000	2143	-0.247644
TCGA-CA-5256-01A-01D-A91X-36	chr1	30273001	31215000	936	-0.236933
TCGA-CA-5256-01A-01D-A91X-36	chr1	31215001	31550000	334	-0.210791
TCGA-CA-5256-01A-01D-A91X-36	chr1	31550001	34468000	2903	-0.234952
TCGA-CA-5256-01A-01D-A91X-36	chr1	34468001	41029000	6520	-0.240082
TCGA-CA-5256-01A-01D-A91X-36	chr1	41029001	41506000	477	-0.224200
TCGA-CA-5256-01A-01D-A91X-36	chr1	41506001	41906000	398	-0.245178
TCGA-CA-5256-01A-01D-A91X-36	chr1	41906001	54480000	12504	-0.225456
TCGA-CA-5256-01A-01D-A91X-36	chr1	54480001	56406000	1911	-0.228959
TCGA-CA-5256-01A-01D-A91X-36	chr1	56406001	57698000	1291	-0.260255
TCGA-CA-5256-01A-01D-A91X-36	chr1	57698001	58357000	646	-0.231110
TCGA-CA-5256-01A-01D-A91X-36	chr1	58357001	60009000	1643	-0.199274
TCGA-CA-5256-01A-01D-A91X-36	chr1	60009001	60477000	466	-0.186962
TCGA-CA-5256-01A-01D-A91X-36	chr1	60477001	60678000	197	-0.194321
TCGA-CA-5256-01A-01D-A91X-36	chr1	60678001	60798000	120	-0.169655
TCGA-CA-5256-01A-01D-A91X-36	chr1	60798001	62014000	1215	-0.213510
TCGA-CA-5256-01A-01D-A91X-36	chr1	62014001	62459000	445	-0.248150
TCGA-CA-5256-01A-01D-A91X-36	chr1	62459001	63704000	1240	-0.217748
TCGA-CA-5256-01A-01D-A91X-36	chr1	63704001	64353000	647	-0.237671
TCGA-CA-5256-01A-01D-A91X-36	chr1	64353001	68629000	4247	-0.214768
TCGA-CA-5256-01A-01D-A91X-36	chr1	68629001	77503000	8767	-0.230172
TCGA-CA-5256-01A-01D-A91X-36	chr1	77503001	81353000	3819	-0.229396
TCGA-CA-5256-01A-01D-A91X-36	chr1	81353001	82824000	1460	-0.251212
TCGA-CA-5256-01A-01D-A91X-36	chr1	82824001	83858000	997	-0.223359
