GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c95142c6-639c-44ff-8c12-a28bc642feda	1	62920	98588	12	0.6799
c95142c6-639c-44ff-8c12-a28bc642feda	1	98602	1956930	311	-0.3733
c95142c6-639c-44ff-8c12-a28bc642feda	1	1958678	5342810	1966	-0.4816
c95142c6-639c-44ff-8c12-a28bc642feda	1	5343525	29803607	13676	-0.3289
c95142c6-639c-44ff-8c12-a28bc642feda	1	29805346	30895010	879	-0.4529
c95142c6-639c-44ff-8c12-a28bc642feda	1	30895082	55490685	13742	-0.3313
c95142c6-639c-44ff-8c12-a28bc642feda	1	55491599	58165368	2228	-0.3872
c95142c6-639c-44ff-8c12-a28bc642feda	1	58165455	72303233	9771	-0.319
c95142c6-639c-44ff-8c12-a28bc642feda	1	72303253	72343689	39	-1.1569
c95142c6-639c-44ff-8c12-a28bc642feda	1	72343748	76702883	2794	-0.3582
c95142c6-639c-44ff-8c12-a28bc642feda	1	76703898	76727974	21	0.3461
c95142c6-639c-44ff-8c12-a28bc642feda	1	76730909	78723819	1187	-0.3244
c95142c6-639c-44ff-8c12-a28bc642feda	1	78724112	81422771	1764	-0.38
c95142c6-639c-44ff-8c12-a28bc642feda	1	81422917	81422920	2	1.797
c95142c6-639c-44ff-8c12-a28bc642feda	1	81422982	83126410	1214	-0.4133
c95142c6-639c-44ff-8c12-a28bc642feda	1	83126540	121601998	23661	-0.3328
c95142c6-639c-44ff-8c12-a28bc642feda	1	121705338	152582700	2431	0.3059
c95142c6-639c-44ff-8c12-a28bc642feda	1	152583051	152613242	30	1.0299
c95142c6-639c-44ff-8c12-a28bc642feda	1	152613641	158896783	3809	0.2798
c95142c6-639c-44ff-8c12-a28bc642feda	1	158898711	158899969	2	3.102
c95142c6-639c-44ff-8c12-a28bc642feda	1	158905028	168474407	6945	0.2766
c95142c6-639c-44ff-8c12-a28bc642feda	1	168474971	169265291	689	0.3785
c95142c6-639c-44ff-8c12-a28bc642feda	1	169268642	169272528	5	1.2856
c95142c6-639c-44ff-8c12-a28bc642feda	1	169273163	169454557	107	0.3498
c95142c6-639c-44ff-8c12-a28bc642feda	1	169454572	177516646	5179	0.2608
c95142c6-639c-44ff-8c12-a28bc642feda	1	177521155	178696995	766	0.3305
c95142c6-639c-44ff-8c12-a28bc642feda	1	178697037	178702586	17	0.8377
c95142c6-639c-44ff-8c12-a28bc642feda	1	178702615	179022504	179	0.3611
c95142c6-639c-44ff-8c12-a28bc642feda	1	179023312	193244080	9590	0.2524
c95142c6-639c-44ff-8c12-a28bc642feda	1	193244261	193244329	3	1.6957
c95142c6-639c-44ff-8c12-a28bc642feda	1	193244344	196745743	2286	0.2647
c95142c6-639c-44ff-8c12-a28bc642feda	1	196758720	196769652	8	-0.4894
c95142c6-639c-44ff-8c12-a28bc642feda	1	196769851	196801565	34	0.7771
c95142c6-639c-44ff-8c12-a28bc642feda	1	196802150	196869965	34	-0.4572
c95142c6-639c-44ff-8c12-a28bc642feda	1	196870033	196878339	20	-1.29
c95142c6-639c-44ff-8c12-a28bc642feda	1	196878845	196936029	26	-0.4933
c95142c6-639c-44ff-8c12-a28bc642feda	1	196940515	199142235	1307	0.2414
c95142c6-639c-44ff-8c12-a28bc642feda	1	199142298	199144712	8	-1.0743
c95142c6-639c-44ff-8c12-a28bc642feda	1	199145110	236085372	25125	0.2761
c95142c6-639c-44ff-8c12-a28bc642feda	1	236086547	238800564	2267	0.2184
c95142c6-639c-44ff-8c12-a28bc642feda	1	238801412	239585649	526	0.3333
c95142c6-639c-44ff-8c12-a28bc642feda	1	239585914	242147281	2033	0.2452
c95142c6-639c-44ff-8c12-a28bc642feda	1	242157358	242166903	17	-0.3554
c95142c6-639c-44ff-8c12-a28bc642feda	1	242167781	243135116	656	0.1675
c95142c6-639c-44ff-8c12-a28bc642feda	1	243135657	243189078	19	0.8698
c95142c6-639c-44ff-8c12-a28bc642feda	1	243190549	244267975	742	0.2175
c95142c6-639c-44ff-8c12-a28bc642feda	1	244268866	248572774	2766	0.3045
c95142c6-639c-44ff-8c12-a28bc642feda	1	248574146	248645808	35	-1.7441
c95142c6-639c-44ff-8c12-a28bc642feda	1	248646068	248930189	138	0.2091
c95142c6-639c-44ff-8c12-a28bc642feda	2	12784	1318101	871	0.0818
c95142c6-639c-44ff-8c12-a28bc642feda	2	1323864	1990448	438	-0.0732
c95142c6-639c-44ff-8c12-a28bc642feda	2	1990663	7392869	4511	0.0693
c95142c6-639c-44ff-8c12-a28bc642feda	2	7393304	32405480	16715	0.1299
c95142c6-639c-44ff-8c12-a28bc642feda	2	32410216	32597634	94	0.449
c95142c6-639c-44ff-8c12-a28bc642feda	2	32600858	34476668	1419	0.1206
c95142c6-639c-44ff-8c12-a28bc642feda	2	34483565	34492416	19	0.8256
c95142c6-639c-44ff-8c12-a28bc642feda	2	34492601	40381231	4313	0.139
c95142c6-639c-44ff-8c12-a28bc642feda	2	40385644	40386349	3	-1.6236
c95142c6-639c-44ff-8c12-a28bc642feda	2	40387528	41011095	498	0.0966
c95142c6-639c-44ff-8c12-a28bc642feda	2	41011303	41018747	22	-0.8073
c95142c6-639c-44ff-8c12-a28bc642feda	2	41024093	124891206	48543	0.127
c95142c6-639c-44ff-8c12-a28bc642feda	2	124894355	124900785	6	-1.565
c95142c6-639c-44ff-8c12-a28bc642feda	2	124902115	127094445	1335	0.1278
c95142c6-639c-44ff-8c12-a28bc642feda	2	127099470	127100370	3	1.7056
c95142c6-639c-44ff-8c12-a28bc642feda	2	127101070	134448164	4255	0.1072
c95142c6-639c-44ff-8c12-a28bc642feda	2	134448413	134451571	2	-2.2175
c95142c6-639c-44ff-8c12-a28bc642feda	2	134451583	137751711	2042	0.0862
c95142c6-639c-44ff-8c12-a28bc642feda	2	137751822	137754783	5	-1.1781
c95142c6-639c-44ff-8c12-a28bc642feda	2	137757882	142157810	2856	0.1202
c95142c6-639c-44ff-8c12-a28bc642feda	2	142162721	144683731	1450	0.0416
c95142c6-639c-44ff-8c12-a28bc642feda	2	144684237	146107511	825	0.107
c95142c6-639c-44ff-8c12-a28bc642feda	2	146107526	146120842	21	1.0299
c95142c6-639c-44ff-8c12-a28bc642feda	2	146120874	155396545	5612	0.1098
c95142c6-639c-44ff-8c12-a28bc642feda	2	155396598	176394114	12768	0.1445
c95142c6-639c-44ff-8c12-a28bc642feda	2	176402448	176407805	2	2.0348
c95142c6-639c-44ff-8c12-a28bc642feda	2	176410410	194755786	10903	0.1416
c95142c6-639c-44ff-8c12-a28bc642feda	2	194758953	195315291	334	0.2672
c95142c6-639c-44ff-8c12-a28bc642feda	2	195315562	198298927	1704	0.1361
c95142c6-639c-44ff-8c12-a28bc642feda	2	198302364	199297967	627	0.2371
c95142c6-639c-44ff-8c12-a28bc642feda	2	199298043	202425290	1758	0.1319
c95142c6-639c-44ff-8c12-a28bc642feda	2	202425310	202448774	47	0.5841
c95142c6-639c-44ff-8c12-a28bc642feda	2	202448792	205274718	1687	0.1611
c95142c6-639c-44ff-8c12-a28bc642feda	2	205274964	205305552	24	0.1009
c95142c6-639c-44ff-8c12-a28bc642feda	2	205306252	205569892	187	-0.1462
c95142c6-639c-44ff-8c12-a28bc642feda	2	205570085	212520793	4435	0.113
c95142c6-639c-44ff-8c12-a28bc642feda	2	212520898	212521351	2	-1.8785
c95142c6-639c-44ff-8c12-a28bc642feda	2	212522839	213481090	639	0.0807
c95142c6-639c-44ff-8c12-a28bc642feda	2	213486266	213490966	6	-0.9924
c95142c6-639c-44ff-8c12-a28bc642feda	2	213495320	236297564	14714	0.1189
c95142c6-639c-44ff-8c12-a28bc642feda	2	236300249	242147305	3470	0.0937
c95142c6-639c-44ff-8c12-a28bc642feda	3	20930	936953	736	0.063
c95142c6-639c-44ff-8c12-a28bc642feda	3	937659	11575834	8871	-0.024
c95142c6-639c-44ff-8c12-a28bc642feda	3	11575964	12658016	869	0.0619
c95142c6-639c-44ff-8c12-a28bc642feda	3	12658121	12666277	11	0.7098
c95142c6-639c-44ff-8c12-a28bc642feda	3	12666341	12726437	25	0.0814
c95142c6-639c-44ff-8c12-a28bc642feda	3	12727195	29854052	11688	-0.0267
c95142c6-639c-44ff-8c12-a28bc642feda	3	29855371	30269583	334	0.1096
c95142c6-639c-44ff-8c12-a28bc642feda	3	30271273	30271984	2	1.3681
