GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8f1a930e-18bf-48ad-848e-dcfc6614ba52	1	3301765	36401633	17693	-0.0022
8f1a930e-18bf-48ad-848e-dcfc6614ba52	1	36407064	36408641	5	-0.8925
8f1a930e-18bf-48ad-848e-dcfc6614ba52	1	36412423	247650984	112012	-0.0005
8f1a930e-18bf-48ad-848e-dcfc6614ba52	2	480597	122846398	65229	-0.002
8f1a930e-18bf-48ad-848e-dcfc6614ba52	2	122847539	122847723	2	-1.3671
8f1a930e-18bf-48ad-848e-dcfc6614ba52	2	122847876	241537572	66924	-0.004
8f1a930e-18bf-48ad-848e-dcfc6614ba52	3	2170634	30149632	16676	-0.0023
8f1a930e-18bf-48ad-848e-dcfc6614ba52	3	30151053	30151074	2	-1.4325
8f1a930e-18bf-48ad-848e-dcfc6614ba52	3	30151286	106398411	41241	-0.0026
8f1a930e-18bf-48ad-848e-dcfc6614ba52	3	106400353	106400942	7	-0.8191
8f1a930e-18bf-48ad-848e-dcfc6614ba52	3	106402732	195196104	48668	0.0005
8f1a930e-18bf-48ad-848e-dcfc6614ba52	3	195197020	195200602	3	-1.2955
8f1a930e-18bf-48ad-848e-dcfc6614ba52	3	195201065	197812401	539	-0.0206
8f1a930e-18bf-48ad-848e-dcfc6614ba52	4	1059384	119204205	66490	0.0007
8f1a930e-18bf-48ad-848e-dcfc6614ba52	4	119222706	119226780	2	-1.7372
8f1a930e-18bf-48ad-848e-dcfc6614ba52	4	119227213	187842528	36945	-0.0022
8f1a930e-18bf-48ad-848e-dcfc6614ba52	5	913983	151275085	82629	0.0007
8f1a930e-18bf-48ad-848e-dcfc6614ba52	5	151278699	151278836	3	-1.1271
8f1a930e-18bf-48ad-848e-dcfc6614ba52	5	151279504	180934240	18435	0.0024
8f1a930e-18bf-48ad-848e-dcfc6614ba52	6	1011760	170596889	97106	-0.0021
8f1a930e-18bf-48ad-848e-dcfc6614ba52	7	664936	15735470	7562	0.0057
8f1a930e-18bf-48ad-848e-dcfc6614ba52	7	15735534	15735776	2	-1.6031
8f1a930e-18bf-48ad-848e-dcfc6614ba52	7	15736588	158592540	74350	-0.0009
8f1a930e-18bf-48ad-848e-dcfc6614ba52	8	667625	144182542	82185	0.0009
8f1a930e-18bf-48ad-848e-dcfc6614ba52	9	789794	138044505	68456	-0.0018
8f1a930e-18bf-48ad-848e-dcfc6614ba52	10	366509	43029180	26558	-0.0008
8f1a930e-18bf-48ad-848e-dcfc6614ba52	10	43029253	43030294	2	-1.8918
8f1a930e-18bf-48ad-848e-dcfc6614ba52	10	43030575	111149258	40020	0.0014
8f1a930e-18bf-48ad-848e-dcfc6614ba52	10	111151762	111214126	59	-0.9941
8f1a930e-18bf-48ad-848e-dcfc6614ba52	10	111222319	111254712	26	-0.0471
8f1a930e-18bf-48ad-848e-dcfc6614ba52	10	111254917	111258745	3	-1.2402
8f1a930e-18bf-48ad-848e-dcfc6614ba52	10	111260664	133411599	14578	-0.002
8f1a930e-18bf-48ad-848e-dcfc6614ba52	11	456012	134272740	77530	-0.0015
8f1a930e-18bf-48ad-848e-dcfc6614ba52	12	780472	132605822	74320	-0.0018
8f1a930e-18bf-48ad-848e-dcfc6614ba52	13	18874255	114226675	56959	-0.0018
8f1a930e-18bf-48ad-848e-dcfc6614ba52	14	20033191	105533894	49769	-0.0014
8f1a930e-18bf-48ad-848e-dcfc6614ba52	15	23437561	101344124	44770	-0.0019
8f1a930e-18bf-48ad-848e-dcfc6614ba52	16	603333	89317317	41194	0.0024
8f1a930e-18bf-48ad-848e-dcfc6614ba52	17	1074619	10855915	5087	-0.0019
8f1a930e-18bf-48ad-848e-dcfc6614ba52	17	10855953	10859535	3	-1.0877
8f1a930e-18bf-48ad-848e-dcfc6614ba52	17	10859567	12713789	1385	0.0022
8f1a930e-18bf-48ad-848e-dcfc6614ba52	17	12714384	12716477	4	-0.9015
8f1a930e-18bf-48ad-848e-dcfc6614ba52	17	12716599	57743579	18048	-0.0052
8f1a930e-18bf-48ad-848e-dcfc6614ba52	17	57747588	57748027	4	-1.2654
8f1a930e-18bf-48ad-848e-dcfc6614ba52	17	57748109	82959812	12743	0.0001
8f1a930e-18bf-48ad-848e-dcfc6614ba52	18	326691	79349796	42943	-0.0002
8f1a930e-18bf-48ad-848e-dcfc6614ba52	19	283868	22451517	8264	-0.0027
8f1a930e-18bf-48ad-848e-dcfc6614ba52	19	22452127	22452651	3	-1.2358
8f1a930e-18bf-48ad-848e-dcfc6614ba52	19	22456547	58370362	15886	-0.0034
8f1a930e-18bf-48ad-848e-dcfc6614ba52	20	472817	5281473	3004	-0.0033
8f1a930e-18bf-48ad-848e-dcfc6614ba52	20	5282798	5282824	2	-1.2306
8f1a930e-18bf-48ad-848e-dcfc6614ba52	20	5283575	5749928	105	-0.0307
8f1a930e-18bf-48ad-848e-dcfc6614ba52	20	5750553	5756393	4	0.8745
8f1a930e-18bf-48ad-848e-dcfc6614ba52	20	5762636	10077374	2814	0.0074
8f1a930e-18bf-48ad-848e-dcfc6614ba52	20	10078424	10080033	3	-1.5237
8f1a930e-18bf-48ad-848e-dcfc6614ba52	20	10080984	15979499	3852	-0.0045
8f1a930e-18bf-48ad-848e-dcfc6614ba52	20	15980908	15985274	3	1.0678
8f1a930e-18bf-48ad-848e-dcfc6614ba52	20	15988216	57554411	23794	-0.0013
8f1a930e-18bf-48ad-848e-dcfc6614ba52	20	57554682	57554820	2	1.2618
