GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	1	3301765	36401633	17691	0.0137
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	1	36407064	36407717	4	-1.133
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	1	36408641	64888106	17280	0.0182
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	1	64891080	64891278	3	-1.2894
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	1	64891393	65778888	598	0.0279
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	1	65779201	65788474	13	-0.4648
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	1	65796076	188383747	56582	0.0154
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	1	188386675	191118103	1457	-0.0335
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	1	191119991	238691981	30842	0.017
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	1	238692338	238692794	3	-1.1768
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	1	238699149	247650984	5293	0.0281
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	2	480597	241072273	131955	0.0165
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	2	241074641	241074746	2	-1.7655
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	2	241077474	241537572	265	0.0383
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	3	2170634	80855254	46694	0.0173
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	3	80864820	80935605	37	-0.0184
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	3	80935836	80957721	8	-0.4604
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	3	80962075	81160720	108	0.0226
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	3	81161734	81165674	6	-0.6696
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	3	81166689	82987194	1017	0.0044
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	3	82987711	82992240	5	-0.8195
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	3	82997698	90267926	3396	-0.0075
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	3	90287340	91462299	20	-0.4363
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	3	94015345	104922358	5850	-0.0034
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	3	104925617	197812401	50064	0.0185
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	4	1059384	111291686	62041	0.0178
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	4	111295645	111297052	5	-0.884
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	4	111302082	112120533	460	0.0426
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	4	112124421	112129953	7	-0.6277
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	4	112133919	124538250	7044	0.0225
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	4	124539196	124541780	3	-1.4802
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	4	124541870	126392283	1145	0.0273
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	4	126392351	126404280	7	-0.6721
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	4	126404426	129809917	1675	0.019
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	4	129815619	134746595	2066	-0.0134
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	4	134753458	134762800	10	-0.544
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	4	134769518	135308242	261	0.0222
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	4	135309087	135310374	3	-0.6063
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	4	135311419	135607316	159	0.0068
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	4	135608315	135608372	3	-0.7488
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	4	135609300	137271129	873	-0.0029
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	4	137275102	137285023	8	-0.6008
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	4	137288044	137542012	155	-0.0038
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	4	137543715	156336628	10893	0.0261
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	4	156336691	156355789	13	-0.52
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	4	156356246	172242220	8862	0.0206
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	4	172243656	172256369	7	-0.6901
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	4	172266405	187842528	7824	0.0275
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	5	913983	152199363	83381	0.0166
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	5	152203251	152203849	4	-1.2447
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	5	152205566	180934240	17752	0.0129
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	6	1011760	49960403	29568	0.018
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	6	49960733	49976420	10	-0.6484
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	6	49976836	66114741	6844	0.0152
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	6	66116539	66128538	10	-0.4585
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	6	66128877	66146460	8	0.0383
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	6	66149545	66156016	9	-0.6121
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	6	66165740	80558438	8153	0.0139
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	6	80558649	81623185	684	-0.0495
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	6	81626625	101872639	11082	0.019
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	6	101872885	103170563	651	-0.0566
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	6	103171475	110330948	4312	0.0245
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	6	110331852	110332497	2	-1.1126
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	6	110333215	113055733	1673	0.0287
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	6	113059619	113060325	2	-1.315
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	6	113060810	165980290	32491	0.0271
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	6	165981429	165981879	2	-1.4228
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	6	165983119	170596889	1679	0.0236
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	7	664936	158592540	81957	0.0193
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	8	667625	144182542	82253	0.016
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	9	789794	7208828	3853	0.0099
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	9	7209215	7209284	2	-1.6846
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	9	7209359	138044505	64656	0.0179
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	10	366509	133411599	81307	0.0178
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	11	456012	134272740	77586	0.0149
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	12	780472	25109553	14276	0.0127
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	12	25110956	25112361	3	-1.3373
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	12	25114562	58391495	15962	0.0195
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	12	58392131	58393339	2	-1.3036
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	12	58395429	60657688	1461	0.0004
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	12	60658119	60664753	8	-0.6551
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	12	60664785	74765609	8557	0.0204
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	12	74768164	74774339	11	-0.4871
5e861741-bddc-4ce5-ad9b-eb42dbfe6457	12	74774393	84582866	6156	0.0145
