GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
28f5053f-3358-44e6-847e-e9af1f3af054	1	62920	877652	51	0.071
28f5053f-3358-44e6-847e-e9af1f3af054	1	877938	3296382	685	-0.1056
28f5053f-3358-44e6-847e-e9af1f3af054	1	3298168	16864367	7959	-0.0063
28f5053f-3358-44e6-847e-e9af1f3af054	1	16868660	16956580	57	-0.5398
28f5053f-3358-44e6-847e-e9af1f3af054	1	16958425	25256850	5246	0.0001
28f5053f-3358-44e6-847e-e9af1f3af054	1	25266637	25351593	28	0.3973
28f5053f-3358-44e6-847e-e9af1f3af054	1	25351871	34626073	4943	-0.0004
28f5053f-3358-44e6-847e-e9af1f3af054	1	34637053	34638890	20	-0.5091
28f5053f-3358-44e6-847e-e9af1f3af054	1	34648667	36393910	782	0.0052
28f5053f-3358-44e6-847e-e9af1f3af054	1	36394335	36395199	2	-1.4745
28f5053f-3358-44e6-847e-e9af1f3af054	1	36396653	72297687	22947	0.0071
28f5053f-3358-44e6-847e-e9af1f3af054	1	72302735	72346221	49	-1.0395
28f5053f-3358-44e6-847e-e9af1f3af054	1	72346757	74803600	1503	0.0207
28f5053f-3358-44e6-847e-e9af1f3af054	1	74805388	74808182	2	-1.701
28f5053f-3358-44e6-847e-e9af1f3af054	1	74808303	103556030	18453	0.0031
28f5053f-3358-44e6-847e-e9af1f3af054	1	103557298	103616762	31	0.4459
28f5053f-3358-44e6-847e-e9af1f3af054	1	103620877	105476583	923	0.0178
28f5053f-3358-44e6-847e-e9af1f3af054	1	105476614	105479753	16	-1.8327
28f5053f-3358-44e6-847e-e9af1f3af054	1	105481433	109690352	2636	0.0108
28f5053f-3358-44e6-847e-e9af1f3af054	1	109690415	109697556	12	-1.1729
28f5053f-3358-44e6-847e-e9af1f3af054	1	109702376	110831471	832	0.0137
28f5053f-3358-44e6-847e-e9af1f3af054	1	110832944	110869141	72	0.2338
28f5053f-3358-44e6-847e-e9af1f3af054	1	110869613	112147704	1040	-0.0073
28f5053f-3358-44e6-847e-e9af1f3af054	1	112153343	112154619	23	-0.3934
28f5053f-3358-44e6-847e-e9af1f3af054	1	112154754	152583051	7590	0.0099
28f5053f-3358-44e6-847e-e9af1f3af054	1	152583230	152614118	35	-1.6904
28f5053f-3358-44e6-847e-e9af1f3af054	1	152618018	152787202	167	-0.0042
28f5053f-3358-44e6-847e-e9af1f3af054	1	152789447	152796224	37	-1.5304
28f5053f-3358-44e6-847e-e9af1f3af054	1	152801429	158896783	3606	-0.0084
28f5053f-3358-44e6-847e-e9af1f3af054	1	158898711	158899969	2	1.6134
28f5053f-3358-44e6-847e-e9af1f3af054	1	158905028	160176704	838	-0.0121
28f5053f-3358-44e6-847e-e9af1f3af054	1	160176855	160177153	3	-1.2278
28f5053f-3358-44e6-847e-e9af1f3af054	1	160178881	160690667	354	-0.008
28f5053f-3358-44e6-847e-e9af1f3af054	1	160698619	160703576	6	-0.9156
28f5053f-3358-44e6-847e-e9af1f3af054	1	160703989	169247699	6447	0.0065
28f5053f-3358-44e6-847e-e9af1f3af054	1	169264736	169272528	7	-3.5049
28f5053f-3358-44e6-847e-e9af1f3af054	1	169273163	189190942	13110	0.0007
28f5053f-3358-44e6-847e-e9af1f3af054	1	189193276	189551576	214	0.1494
28f5053f-3358-44e6-847e-e9af1f3af054	1	189552069	196745692	4828	0.0118
28f5053f-3358-44e6-847e-e9af1f3af054	1	196745743	196917640	118	0.2226
28f5053f-3358-44e6-847e-e9af1f3af054	1	196923704	240228440	29855	0
28f5053f-3358-44e6-847e-e9af1f3af054	1	240230715	240230839	6	-1.8528
28f5053f-3358-44e6-847e-e9af1f3af054	1	240232805	248572774	5675	0.0179
28f5053f-3358-44e6-847e-e9af1f3af054	1	248574146	248633912	33	-0.4661
28f5053f-3358-44e6-847e-e9af1f3af054	1	248645563	248930189	141	0.0268
28f5053f-3358-44e6-847e-e9af1f3af054	2	12784	3184533	2222	0.004
28f5053f-3358-44e6-847e-e9af1f3af054	2	3189027	3191657	3	-1.2806
28f5053f-3358-44e6-847e-e9af1f3af054	2	3192955	4158097	761	0.005
28f5053f-3358-44e6-847e-e9af1f3af054	2	4166274	4176429	42	-0.4278
28f5053f-3358-44e6-847e-e9af1f3af054	2	4182472	50784945	32889	0.0072
28f5053f-3358-44e6-847e-e9af1f3af054	2	50787667	51108917	213	0.1704
28f5053f-3358-44e6-847e-e9af1f3af054	2	51110349	52030561	631	-0.009
28f5053f-3358-44e6-847e-e9af1f3af054	2	52032466	52369839	209	0.1163
28f5053f-3358-44e6-847e-e9af1f3af054	2	52372222	52373171	3	-1.2654
28f5053f-3358-44e6-847e-e9af1f3af054	2	52375502	52514599	116	0.0014
28f5053f-3358-44e6-847e-e9af1f3af054	2	52516787	52527743	8	-1.3509
28f5053f-3358-44e6-847e-e9af1f3af054	2	52531615	55600600	2304	0.0089
28f5053f-3358-44e6-847e-e9af1f3af054	2	55608925	55901204	172	0.5306
28f5053f-3358-44e6-847e-e9af1f3af054	2	55903505	88850125	20151	0.0073
28f5053f-3358-44e6-847e-e9af1f3af054	2	88850280	91967906	332	0.1316
28f5053f-3358-44e6-847e-e9af1f3af054	2	91972195	122719438	15939	0.0082
28f5053f-3358-44e6-847e-e9af1f3af054	2	122722323	122724665	8	-2.2315
28f5053f-3358-44e6-847e-e9af1f3af054	2	122726077	127094445	2855	0.0395
28f5053f-3358-44e6-847e-e9af1f3af054	2	127100187	127100370	2	-2.0169
28f5053f-3358-44e6-847e-e9af1f3af054	2	127101070	146104517	11440	0.009
28f5053f-3358-44e6-847e-e9af1f3af054	2	146106836	146109366	24	0.9674
28f5053f-3358-44e6-847e-e9af1f3af054	2	146120238	194746425	29324	0.0094
28f5053f-3358-44e6-847e-e9af1f3af054	2	194748332	195192395	276	0.1298
28f5053f-3358-44e6-847e-e9af1f3af054	2	195194000	207490231	7324	-0.0015
28f5053f-3358-44e6-847e-e9af1f3af054	2	207490454	207494612	16	-0.8745
28f5053f-3358-44e6-847e-e9af1f3af054	2	207494752	209224503	1082	0.0126
28f5053f-3358-44e6-847e-e9af1f3af054	2	209224939	209251625	14	0.7484
28f5053f-3358-44e6-847e-e9af1f3af054	2	209253289	232429529	14805	0.0038
28f5053f-3358-44e6-847e-e9af1f3af054	2	232438125	232470431	10	-0.6274
28f5053f-3358-44e6-847e-e9af1f3af054	2	232472772	242147305	6139	-0.0018
28f5053f-3358-44e6-847e-e9af1f3af054	3	20930	163782	131	-0.0103
28f5053f-3358-44e6-847e-e9af1f3af054	3	164380	1740119	1405	0.0878
28f5053f-3358-44e6-847e-e9af1f3af054	3	1740840	1743570	3	-1.468
28f5053f-3358-44e6-847e-e9af1f3af054	3	1743916	2760297	851	0.0586
28f5053f-3358-44e6-847e-e9af1f3af054	3	2760759	6604856	3420	0.021
28f5053f-3358-44e6-847e-e9af1f3af054	3	6609441	6611557	22	-0.5
28f5053f-3358-44e6-847e-e9af1f3af054	3	6611645	21070084	9919	0.003
28f5053f-3358-44e6-847e-e9af1f3af054	3	21070291	21314011	169	0.1448
28f5053f-3358-44e6-847e-e9af1f3af054	3	21315594	21740235	341	-0.0033
28f5053f-3358-44e6-847e-e9af1f3af054	3	21740245	22306886	558	0.1174
28f5053f-3358-44e6-847e-e9af1f3af054	3	22307109	37928827	10755	0.0082
28f5053f-3358-44e6-847e-e9af1f3af054	3	37929599	37935926	7	-0.6468
28f5053f-3358-44e6-847e-e9af1f3af054	3	37940617	37945437	18	-4.3145
28f5053f-3358-44e6-847e-e9af1f3af054	3	37945615	59702685	12611	0.0024
