GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr1	61735	55108565	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr1	55111282	118364882	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr1	118365750	121741181	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr1	143285278	248930189	2	2	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr2	12784	131095286	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr2	131102824	150587126	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr2	150589673	150595528	3	2	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr2	150595811	242147305	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr3	18667	486915	3	3	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr3	489531	16764478	2	2	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr3	16766996	33773716	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr3	33773883	48951260	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr3	48959992	60337014	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr3	60337130	60378313	0	0	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr3	60378805	60974673	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr3	60975272	69841636	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr3	69844112	71442864	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr3	71446829	73413671	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr3	73415049	73563936	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr3	73566985	174712295	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr3	174715976	175363536	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr3	175368999	198169247	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr4	12281	11087798	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr4	11090242	11161488	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr4	11161748	95236936	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr4	95237734	115553347	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr4	115554181	175931393	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr4	175934288	181170142	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr4	181170296	181227668	0	0	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr4	181234669	190106768	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr5	15532	50976322	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr5	50976607	94011566	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr5	94011986	136654773	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr5	136654844	137213949	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr5	137216047	181363319	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr6	149661	78253172	2	2	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr6	78259348	78317580	0	0	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr6	78317642	115047633	2	2	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr6	115047731	116161458	0	0	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr6	116161847	161496305	2	2	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr6	161496362	161975845	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr6	161981894	162428370	2	2	0
