GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-G4-6320-01A-11D-A920-36	chr1	17001	16509000	15109	-0.050248
TCGA-G4-6320-01A-11D-A920-36	chr1	16509001	16948000	266	0.231393
TCGA-G4-6320-01A-11D-A920-36	chr1	16948001	122999000	102343	-0.023144
TCGA-G4-6320-01A-11D-A920-36	chr1	123013001	123059000	6	-0.823197
TCGA-G4-6320-01A-11D-A920-36	chr1	123086001	151861000	4969	-0.095392
TCGA-G4-6320-01A-11D-A920-36	chr1	151861001	161444000	9468	0.072798
TCGA-G4-6320-01A-11D-A920-36	chr1	161457001	161460000	2	-6.380672
TCGA-G4-6320-01A-11D-A920-36	chr1	161472001	188987000	27270	0.094782
TCGA-G4-6320-01A-11D-A920-36	chr1	188987001	189748000	759	0.048970
TCGA-G4-6320-01A-11D-A920-36	chr1	189748001	201765000	11867	0.079374
TCGA-G4-6320-01A-11D-A920-36	chr1	201765001	224467000	22205	-0.003474
TCGA-G4-6320-01A-11D-A920-36	chr1	224467001	248931000	24047	0.071935
TCGA-G4-6320-01A-11D-A920-36	chr2	11001	4159000	4066	-0.045620
TCGA-G4-6320-01A-11D-A920-36	chr2	4159001	4167000	7	-0.189032
TCGA-G4-6320-01A-11D-A920-36	chr2	4167001	4175000	8	-8.248383
TCGA-G4-6320-01A-11D-A920-36	chr2	4175001	30590000	26291	-0.018601
TCGA-G4-6320-01A-11D-A920-36	chr2	30590001	30627000	35	-0.976043
TCGA-G4-6320-01A-11D-A920-36	chr2	30627001	57171000	26337	-0.012154
TCGA-G4-6320-01A-11D-A920-36	chr2	57171001	57220000	47	1.270916
TCGA-G4-6320-01A-11D-A920-36	chr2	57220001	89314000	30893	-0.018460
TCGA-G4-6320-01A-11D-A920-36	chr2	89549001	89852000	186	-0.435725
TCGA-G4-6320-01A-11D-A920-36	chr2	89869001	90315000	248	-1.038784
TCGA-G4-6320-01A-11D-A920-36	chr2	90321001	91624000	186	-0.295364
TCGA-G4-6320-01A-11D-A920-36	chr2	91658001	191619000	94457	-0.015010
TCGA-G4-6320-01A-11D-A920-36	chr2	191619001	195341000	3683	-0.227673
TCGA-G4-6320-01A-11D-A920-36	chr2	195341001	242159000	46452	-0.020888
TCGA-G4-6320-01A-11D-A920-36	chr3	12001	6275000	6208	-0.130966
TCGA-G4-6320-01A-11D-A920-36	chr3	6275001	6292000	17	0.488135
TCGA-G4-6320-01A-11D-A920-36	chr3	6292001	59715000	53172	-0.123392
TCGA-G4-6320-01A-11D-A920-36	chr3	59715001	60892000	1175	0.092275
TCGA-G4-6320-01A-11D-A920-36	chr3	60892001	60948000	56	0.125165
TCGA-G4-6320-01A-11D-A920-36	chr3	60948001	61006000	58	0.105674
TCGA-G4-6320-01A-11D-A920-36	chr3	61006001	61028000	22	0.115009
TCGA-G4-6320-01A-11D-A920-36	chr3	61028001	90669000	29448	-0.034383
TCGA-G4-6320-01A-11D-A920-36	chr3	90673001	90799000	10	-3.968018
TCGA-G4-6320-01A-11D-A920-36	chr3	90811001	93722000	287	-0.055761
TCGA-G4-6320-01A-11D-A920-36	chr3	93722001	151794000	57627	-0.015049
TCGA-G4-6320-01A-11D-A920-36	chr3	151794001	151833000	39	-0.960424
TCGA-G4-6320-01A-11D-A920-36	chr3	151833001	195493000	43250	-0.009687
TCGA-G4-6320-01A-11D-A920-36	chr3	195493001	195495000	2	-2.351186
TCGA-G4-6320-01A-11D-A920-36	chr3	195506001	195952000	407	-0.074584
TCGA-G4-6320-01A-11D-A920-36	chr3	195955001	195997000	37	0.452796
TCGA-G4-6320-01A-11D-A920-36	chr3	195997001	198175000	2114	-0.017654
TCGA-G4-6320-01A-11D-A920-36	chr4	15001	49122000	48417	-0.087582
TCGA-G4-6320-01A-11D-A920-36	chr4	49122001	49643000	252	-0.141709
TCGA-G4-6320-01A-11D-A920-36	chr4	49643001	69258000	17133	-0.091209
TCGA-G4-6320-01A-11D-A920-36	chr4	69260001	69367000	104	-0.981858
TCGA-G4-6320-01A-11D-A920-36	chr4	69367001	118204000	48488	-0.065144
TCGA-G4-6320-01A-11D-A920-36	chr4	118204001	118212000	8	-8.174570
TCGA-G4-6320-01A-11D-A920-36	chr4	118212001	144800000	26339	-0.074858
TCGA-G4-6320-01A-11D-A920-36	chr4	144800001	144849000	48	-0.911456
TCGA-G4-6320-01A-11D-A920-36	chr4	144849001	190204000	44790	-0.081534
TCGA-G4-6320-01A-11D-A920-36	chr5	13001	747000	673	-0.038370
TCGA-G4-6320-01A-11D-A920-36	chr5	756001	842000	73	-0.980721
TCGA-G4-6320-01A-11D-A920-36	chr5	842001	181474000	173196	-0.020213
TCGA-G4-6320-01A-11D-A920-36	chr6	148001	32448000	31911	-0.017778
TCGA-G4-6320-01A-11D-A920-36	chr6	32448001	32587000	81	-0.018984
TCGA-G4-6320-01A-11D-A920-36	chr6	32587001	35786000	3162	-0.030075
TCGA-G4-6320-01A-11D-A920-36	chr6	35786001	35798000	12	0.695266
TCGA-G4-6320-01A-11D-A920-36	chr6	35798001	78258000	40288	-0.016163
TCGA-G4-6320-01A-11D-A920-36	chr6	78258001	78326000	68	-0.834072
TCGA-G4-6320-01A-11D-A920-36	chr6	78326001	93739000	15325	-0.018799
TCGA-G4-6320-01A-11D-A920-36	chr6	93739001	93794000	55	0.472319
TCGA-G4-6320-01A-11D-A920-36	chr6	93794001	164774000	70480	-0.013726
TCGA-G4-6320-01A-11D-A920-36	chr6	164774001	164782000	8	-8.295964
TCGA-G4-6320-01A-11D-A920-36	chr6	164783001	170612000	5659	-0.020241
TCGA-G4-6320-01A-11D-A920-36	chr7	35001	3311000	3210	0.585170
