miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.546587	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	4	2.186347	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.546587	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1	0.546587	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	264	144.298882	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	1183	646.612037	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	8275	4523.004740	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	213	116.422962	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	11	6.012453	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.546587	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	6	3.279520	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	22	12.024907	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	31	16.944187	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	1.093173	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.546587	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	1	0.546587	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	3	1.639760	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	2	1.093173	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	234	127.901282	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	3	1.639760	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	8299	4536.122820	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	1212	662.463051	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	272	148.671576	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	6	3.279520	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	3	1.639760	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	21	11.478320	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	19	10.385147	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	9	4.919280	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	255	139.379602	N	mature,MIMAT0000062
