GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
fe9f30de-ba46-45db-90d3-0e283a909aa2	1	3301765	3371973	50	-0.5346
fe9f30de-ba46-45db-90d3-0e283a909aa2	1	3375059	3422775	25	-0.2178
fe9f30de-ba46-45db-90d3-0e283a909aa2	1	3423671	3451503	15	-0.5269
fe9f30de-ba46-45db-90d3-0e283a909aa2	1	3451567	3488732	17	-0.0172
fe9f30de-ba46-45db-90d3-0e283a909aa2	1	3490227	3577515	13	-0.3453
fe9f30de-ba46-45db-90d3-0e283a909aa2	1	3582503	3605560	10	-0.0176
fe9f30de-ba46-45db-90d3-0e283a909aa2	1	3619080	3662248	28	-0.5365
fe9f30de-ba46-45db-90d3-0e283a909aa2	1	3665397	3697916	25	-0.288
fe9f30de-ba46-45db-90d3-0e283a909aa2	1	3698012	3725129	18	0.0561
fe9f30de-ba46-45db-90d3-0e283a909aa2	1	3730460	3782383	36	-0.3853
fe9f30de-ba46-45db-90d3-0e283a909aa2	1	3782627	5558480	1334	-0.5281
fe9f30de-ba46-45db-90d3-0e283a909aa2	1	5559299	6519694	531	-0.411
fe9f30de-ba46-45db-90d3-0e283a909aa2	1	6520190	10608839	2143	-0.5423
fe9f30de-ba46-45db-90d3-0e283a909aa2	1	10626217	10671295	31	-0.0573
fe9f30de-ba46-45db-90d3-0e283a909aa2	1	10676377	28098399	9032	-0.5372
fe9f30de-ba46-45db-90d3-0e283a909aa2	1	28099490	28783720	242	0.0462
fe9f30de-ba46-45db-90d3-0e283a909aa2	1	28791468	34795631	3419	0.1345
fe9f30de-ba46-45db-90d3-0e283a909aa2	1	34795804	36085885	548	0.0331
fe9f30de-ba46-45db-90d3-0e283a909aa2	1	36086294	39177710	1772	0.1172
fe9f30de-ba46-45db-90d3-0e283a909aa2	1	39178123	41001189	867	0.0402
fe9f30de-ba46-45db-90d3-0e283a909aa2	1	41002098	44686257	2232	0.1027
