miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175938-94175962:+	1	0.281826	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.563652	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	6	1.690955	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	33	9.300254	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1354	381.592260	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	4248	1197.196396	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	16529	4658.300195	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	422	118.930527	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	16	4.509214	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.281826	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.281826	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	5	1.409129	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.281826	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.281826	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	7	1.972781	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.281826	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.281826	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	2	0.563652	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	23	6.481996	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	28	7.891125	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176037:+	1	0.281826	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	21	5.918344	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.281826	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	9	2.536433	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.281826	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	375	105.684710	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	10	2.818259	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	5	1.409129	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	16628	4686.200959	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.281826	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.281826	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	3	0.845478	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	4290	1209.033084	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.281826	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1336	376.519394	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.281826	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	30	8.454777	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.563652	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	8	2.254607	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	39	10.991210	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	24	6.763821	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	0.563652	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	42	11.836688	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1350	380.464956	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	4201	1183.950579	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	16681	4701.137731	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	367	103.430103	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	3	0.845478	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.281826	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	4	1.127304	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	12	3.381911	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.281826	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.281826	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112778-46112800:+	1	0.281826	N	stemloop
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	3	0.845478	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	29	8.172951	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	21	5.918344	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.281826	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113670-46113691:+	1	0.281826	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	3	0.845478	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	8	2.254607	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	169	47.628576	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	3524	993.154449	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	1697	478.258541	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	8008	2256.861756	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2078	585.634207	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	0.845478	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	8	2.254607	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.281826	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	5	1.409129	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	3	0.845478	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	8	2.254607	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	35	9.863906	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539858:+	5	1.409129	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	2	0.563652	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	3	0.845478	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	24	6.763821	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	61	17.191380	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	75	21.136942	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	436	122.876090	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	30	8.454777	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539904:+	2	0.563652	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	11	3.100085	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178860:+	2	0.563652	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	47	13.245817	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	190	53.546920	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	859	242.088443	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	81	22.827897	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	6	1.690955	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178863:+	3	0.845478	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178894-94178917:+	1	0.281826	N	mature,MIMAT0004484
