GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	62920	98602	13	1.0615
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	259407	4732594	1747	-0.0347
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	4733520	4737438	4	-1.2415
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	4737961	5722109	850	-0.0417
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	5722661	5722709	2	-2.2549
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	5725075	8116566	1414	0.0058
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	8122528	8127078	6	-1.4695
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	8127151	16689764	4643	0.0163
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	16718963	16934716	68	-0.3698
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	16934753	45960814	16543	0.0266
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	45961746	46013358	25	0.6476
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	46013927	48424182	1450	0.0705
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	48427479	83817571	23448	0.0134
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	83818581	86312583	1719	0.0425
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	86314399	88352093	1370	0.0934
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	88353866	90766190	1537	0.0141
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	90769886	90769932	2	-2.4095
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	90770021	94125383	1966	0.0296
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	94127698	95376147	977	0.1007
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	95379939	95888558	303	0.0116
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	95893929	95893949	2	-2.1219
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	95894405	98572090	1546	-0.0072
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	98575448	100478563	1235	0.0583
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	100478706	103560608	1913	-0.0034
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	103566616	103586648	16	0.7564
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	103587546	105470754	934	-0.0163
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	105476583	105479753	17	-2.2353
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	105481433	109690352	2634	0.0326
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	109690415	109702376	13	-1.4427
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	109703504	111769532	1582	0.0289
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	111769589	111769929	3	1.3402
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	111770456	112147704	363	0.0235
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	112153343	112154576	21	0.4307
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	112154591	112449058	249	0.0175
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	112449193	112449259	3	-1.2018
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	112452243	114176322	965	0.0561
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	114177396	114289343	111	-0.0245
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	114291004	114291088	2	-1.277
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	114291180	115171251	507	-0.0349
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	115173475	143714665	3417	0.0458
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	143714703	143754077	19	0.5735
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	143754192	152583051	2328	0.0451
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	152583230	152614118	35	0.9616
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	152618018	152790593	187	0.0159
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	152794991	152796224	17	0.4154
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	152801429	153699771	623	0.0339
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	153701198	153720772	8	0.6792
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	153722864	155210675	711	0.0187
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	155219369	155231273	11	1.5617
9c2a31b4-a17c-4627-ae47-94bde091be2a	1	155241876	168520245	9253	0.0248
