GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6d707898-4a71-40c8-8359-316b00458ece	1	3301765	119981332	67974	-0.0689
6d707898-4a71-40c8-8359-316b00458ece	1	119984738	160413894	5571	0.2536
6d707898-4a71-40c8-8359-316b00458ece	1	160418223	160578457	115	0.05
6d707898-4a71-40c8-8359-316b00458ece	1	160578473	224973194	41549	0.2592
6d707898-4a71-40c8-8359-316b00458ece	1	224980283	225195330	121	-0.1393
6d707898-4a71-40c8-8359-316b00458ece	1	225201788	247650984	14244	0.2522
6d707898-4a71-40c8-8359-316b00458ece	2	480597	33159102	19858	-0.0223
6d707898-4a71-40c8-8359-316b00458ece	2	33162473	33594925	311	-0.598
6d707898-4a71-40c8-8359-316b00458ece	2	33599233	41009954	4065	-0.0081
6d707898-4a71-40c8-8359-316b00458ece	2	41009963	43363760	1427	-0.1531
6d707898-4a71-40c8-8359-316b00458ece	2	43364491	45578817	1423	-0.0218
6d707898-4a71-40c8-8359-316b00458ece	2	45579898	46656287	946	-0.1686
6d707898-4a71-40c8-8359-316b00458ece	2	46656600	48968270	1272	-0.0096
6d707898-4a71-40c8-8359-316b00458ece	2	48971041	48971373	2	-1.5279
6d707898-4a71-40c8-8359-316b00458ece	2	48973521	51110349	1138	-0.0327
6d707898-4a71-40c8-8359-316b00458ece	2	51110458	51130564	2	1.6196
6d707898-4a71-40c8-8359-316b00458ece	2	51133337	64109807	6983	-0.0185
6d707898-4a71-40c8-8359-316b00458ece	2	64112773	64315954	19	-0.8233
6d707898-4a71-40c8-8359-316b00458ece	2	64316743	74879710	6448	-0.0197
6d707898-4a71-40c8-8359-316b00458ece	2	74879921	74880074	2	-2.5593
6d707898-4a71-40c8-8359-316b00458ece	2	74880119	74928228	33	0.0461
6d707898-4a71-40c8-8359-316b00458ece	2	74999125	74999663	2	1.7554
6d707898-4a71-40c8-8359-316b00458ece	2	75002104	75781523	493	-0.0117
6d707898-4a71-40c8-8359-316b00458ece	2	75781938	75782320	2	1.8146
6d707898-4a71-40c8-8359-316b00458ece	2	75783850	80817279	2705	-0.0228
6d707898-4a71-40c8-8359-316b00458ece	2	80821031	83735880	1502	-0.079
6d707898-4a71-40c8-8359-316b00458ece	2	83736492	123484614	16865	-0.0231
6d707898-4a71-40c8-8359-316b00458ece	2	123484634	123602963	2	1.9678
6d707898-4a71-40c8-8359-316b00458ece	2	123602994	159099246	18863	-0.0169
6d707898-4a71-40c8-8359-316b00458ece	2	159100008	159107684	2	2.254
6d707898-4a71-40c8-8359-316b00458ece	2	159108004	160339999	802	0.0036
