GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	62920	2083915	351	-0.4149
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	2084385	3428581	470	-0.6524
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	3429784	15823420	7490	-0.4467
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	15827002	15827259	3	-2.6452
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	15827338	25092208	5546	-0.4389
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	25096910	25097831	2	-2.7918
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	25098398	25256850	118	-0.341
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	25266637	25284961	14	-1.478
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	25289805	34626073	4949	-0.4425
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	34637053	34638890	20	-3.3158
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	34648667	35150337	247	-0.4162
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	35152030	35152066	2	-2.1969
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	35153821	35379904	98	-0.4497
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	35381515	37307167	1065	-0.0485
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	37307449	37307985	2	-1.1546
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	37308262	37413993	66	-0.018
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	37415108	37416737	4	-0.9637
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	37417358	45898208	4764	-0.044
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	45903822	45997340	52	0.2696
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	46000719	50797288	2695	-0.0358
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	50799411	50915188	50	0.2528
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	50918024	103620877	34796	-0.0554
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	103621165	103760781	6	-1.4595
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	103760879	109684893	3569	-0.0575
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	109690352	109697556	13	-1.3019
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	109702376	110788378	802	-0.0604
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	110789023	110850774	76	0.2426
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	110850868	112147704	1071	-0.0559
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	112153343	112154552	19	-0.645
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	112154566	152582700	7609	-0.028
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	152583051	152614064	34	0.9269
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	152614100	152787202	169	-0.0685
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	152789447	152795487	31	0.8784
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	152795783	158518070	3251	-0.0455
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	158519669	158526239	10	0.6709
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	158528732	159958008	1069	-0.0596
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	159958269	159958921	2	-2.0485
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	159961349	169247699	6955	-0.0546
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	169264736	169272528	7	1.2402
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	169273163	189424900	13266	-0.06
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	189426047	189496149	41	0.2837
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	189500659	189509539	6	-0.5355
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	189509770	189536410	16	0.392
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	189541934	196762956	4854	-0.0758
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	196769493	196862194	69	0.3664
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	196865976	248446755	35609	-0.0583
8f8d1207-7d8e-47d6-a237-ec4d2ec5d551	1	248447206	248473963	10	-1.2494
