GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
baa50ea7-285f-44f8-a689-61a6513a7b00	1	62920	1716055	215	0.0905
baa50ea7-285f-44f8-a689-61a6513a7b00	1	1716451	1731957	7	2.6428
baa50ea7-285f-44f8-a689-61a6513a7b00	1	1732392	2832124	312	0.1809
baa50ea7-285f-44f8-a689-61a6513a7b00	1	2832416	5314123	1744	-0.0631
baa50ea7-285f-44f8-a689-61a6513a7b00	1	5314624	5320461	2	2.1554
baa50ea7-285f-44f8-a689-61a6513a7b00	1	5320542	15461774	5846	0.0076
baa50ea7-285f-44f8-a689-61a6513a7b00	1	15463238	15822848	196	0.1209
baa50ea7-285f-44f8-a689-61a6513a7b00	1	15823420	15827338	5	1.6469
baa50ea7-285f-44f8-a689-61a6513a7b00	1	15827362	16637050	319	0.0466
baa50ea7-285f-44f8-a689-61a6513a7b00	1	16637228	16643961	14	0.5968
baa50ea7-285f-44f8-a689-61a6513a7b00	1	16679239	16864367	28	-0.0378
baa50ea7-285f-44f8-a689-61a6513a7b00	1	16868660	16935752	53	-0.7116
baa50ea7-285f-44f8-a689-61a6513a7b00	1	16949746	29304444	6933	0.0091
baa50ea7-285f-44f8-a689-61a6513a7b00	1	29305397	30265585	733	-0.1242
baa50ea7-285f-44f8-a689-61a6513a7b00	1	30265657	30266509	4	-1.7614
baa50ea7-285f-44f8-a689-61a6513a7b00	1	30266949	30569126	247	-0.0766
baa50ea7-285f-44f8-a689-61a6513a7b00	1	30570778	105079911	46847	0.0181
baa50ea7-285f-44f8-a689-61a6513a7b00	1	105080318	105080931	2	2.8488
baa50ea7-285f-44f8-a689-61a6513a7b00	1	105084196	105470754	217	0.0255
baa50ea7-285f-44f8-a689-61a6513a7b00	1	105476583	105479753	17	0.7427
baa50ea7-285f-44f8-a689-61a6513a7b00	1	105481433	109684893	2632	0.0243
baa50ea7-285f-44f8-a689-61a6513a7b00	1	109690352	109697556	13	-1.9749
baa50ea7-285f-44f8-a689-61a6513a7b00	1	109702376	112147704	1945	0.0025
baa50ea7-285f-44f8-a689-61a6513a7b00	1	112153343	112154591	22	-2.3257
baa50ea7-285f-44f8-a689-61a6513a7b00	1	112154619	143748826	5261	0.0258
baa50ea7-285f-44f8-a689-61a6513a7b00	1	143748872	143754798	12	0.8861
baa50ea7-285f-44f8-a689-61a6513a7b00	1	143759680	150383867	1130	0.0507
