GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ca29f24c-8ca5-4708-bcfa-b3a360052d97	1	3301765	18819939	8681	0.0154
ca29f24c-8ca5-4708-bcfa-b3a360052d97	1	18827270	18827571	3	-2.0431
ca29f24c-8ca5-4708-bcfa-b3a360052d97	1	18829475	84709700	38218	0.0159
ca29f24c-8ca5-4708-bcfa-b3a360052d97	1	84709901	84721583	3	-1.1582
ca29f24c-8ca5-4708-bcfa-b3a360052d97	1	84721611	95993696	7066	0.0147
ca29f24c-8ca5-4708-bcfa-b3a360052d97	1	95997151	95997161	2	-1.266
ca29f24c-8ca5-4708-bcfa-b3a360052d97	1	96005352	97655432	995	0.0179
ca29f24c-8ca5-4708-bcfa-b3a360052d97	1	97656170	97661510	2	-1.3347
ca29f24c-8ca5-4708-bcfa-b3a360052d97	1	97664699	165685290	22533	0.0168
ca29f24c-8ca5-4708-bcfa-b3a360052d97	1	165685614	165685632	2	-1.4101
ca29f24c-8ca5-4708-bcfa-b3a360052d97	1	165686867	247650984	52185	0.0187
ca29f24c-8ca5-4708-bcfa-b3a360052d97	2	480597	241537572	132123	0.0159
ca29f24c-8ca5-4708-bcfa-b3a360052d97	3	2170634	197812401	107112	0.0169
ca29f24c-8ca5-4708-bcfa-b3a360052d97	4	1059384	187842528	103421	0.0195
ca29f24c-8ca5-4708-bcfa-b3a360052d97	5	913983	97986559	52154	0.0197
ca29f24c-8ca5-4708-bcfa-b3a360052d97	5	97997599	98024836	12	0.5509
ca29f24c-8ca5-4708-bcfa-b3a360052d97	5	98029468	180934240	48880	0.0197
ca29f24c-8ca5-4708-bcfa-b3a360052d97	6	1011760	121252339	67281	0.0172
ca29f24c-8ca5-4708-bcfa-b3a360052d97	6	121255732	121255967	2	-1.6355
ca29f24c-8ca5-4708-bcfa-b3a360052d97	6	121256304	170596889	29811	0.0148
ca29f24c-8ca5-4708-bcfa-b3a360052d97	7	664936	158592540	81902	0.0177
ca29f24c-8ca5-4708-bcfa-b3a360052d97	8	667625	144182542	82173	0.0177
ca29f24c-8ca5-4708-bcfa-b3a360052d97	9	789794	97382145	43184	0.0127
ca29f24c-8ca5-4708-bcfa-b3a360052d97	9	97382400	97383542	2	-1.458
ca29f24c-8ca5-4708-bcfa-b3a360052d97	9	97391229	138044505	25261	0.0188
ca29f24c-8ca5-4708-bcfa-b3a360052d97	10	366509	133411599	81227	0.0159
ca29f24c-8ca5-4708-bcfa-b3a360052d97	11	456012	134272740	77511	0.019
ca29f24c-8ca5-4708-bcfa-b3a360052d97	12	780472	126887121	72059	0.0158
ca29f24c-8ca5-4708-bcfa-b3a360052d97	12	126889117	126889193	2	-2.4501
ca29f24c-8ca5-4708-bcfa-b3a360052d97	12	126890667	127002679	94	-0.0003
ca29f24c-8ca5-4708-bcfa-b3a360052d97	12	127006456	127009134	4	-1.4963
ca29f24c-8ca5-4708-bcfa-b3a360052d97	12	127010817	132605822	2137	0.0238
ca29f24c-8ca5-4708-bcfa-b3a360052d97	13	18874255	75262155	32384	0.0175
ca29f24c-8ca5-4708-bcfa-b3a360052d97	13	75264526	75266460	5	-1.2713
ca29f24c-8ca5-4708-bcfa-b3a360052d97	13	75270722	114226675	24557	0.0192
ca29f24c-8ca5-4708-bcfa-b3a360052d97	14	20033191	93759321	42660	0.0157
ca29f24c-8ca5-4708-bcfa-b3a360052d97	14	93761750	93767054	9	-1.5858
ca29f24c-8ca5-4708-bcfa-b3a360052d97	14	93769977	95396281	1314	0.0056
ca29f24c-8ca5-4708-bcfa-b3a360052d97	14	95398344	95399023	2	-1.3142
ca29f24c-8ca5-4708-bcfa-b3a360052d97	14	95399555	105533894	5769	0.0209
ca29f24c-8ca5-4708-bcfa-b3a360052d97	15	23437561	101344124	44765	0.014
ca29f24c-8ca5-4708-bcfa-b3a360052d97	16	603333	10725197	5450	0.0206
ca29f24c-8ca5-4708-bcfa-b3a360052d97	16	10725249	10732414	6	-0.819
ca29f24c-8ca5-4708-bcfa-b3a360052d97	16	10732791	85314993	33512	0.0136
ca29f24c-8ca5-4708-bcfa-b3a360052d97	16	85315661	85320291	2	-1.5633
ca29f24c-8ca5-4708-bcfa-b3a360052d97	16	85324636	89317317	2219	0.0105
ca29f24c-8ca5-4708-bcfa-b3a360052d97	17	1074619	18333147	8779	0.0156
ca29f24c-8ca5-4708-bcfa-b3a360052d97	17	18333236	18346132	2	-1.5953
ca29f24c-8ca5-4708-bcfa-b3a360052d97	17	18346297	78897589	26897	0.0162
ca29f24c-8ca5-4708-bcfa-b3a360052d97	17	78898183	78901393	3	1.0789
ca29f24c-8ca5-4708-bcfa-b3a360052d97	17	78901892	82959812	1584	0.0179
ca29f24c-8ca5-4708-bcfa-b3a360052d97	18	326691	79349796	42932	0.0151
ca29f24c-8ca5-4708-bcfa-b3a360052d97	19	283868	58370362	24149	0.0178
ca29f24c-8ca5-4708-bcfa-b3a360052d97	20	472817	63588502	37540	0.0164
ca29f24c-8ca5-4708-bcfa-b3a360052d97	21	13974127	41496146	18359	0.0125
ca29f24c-8ca5-4708-bcfa-b3a360052d97	21	41496204	41496286	3	-1.6247
ca29f24c-8ca5-4708-bcfa-b3a360052d97	21	41496410	46262057	2219	0.0195
ca29f24c-8ca5-4708-bcfa-b3a360052d97	22	16934932	48940621	17088	0.0164
ca29f24c-8ca5-4708-bcfa-b3a360052d97	X	3236359	155677414	63910	0.0181
