GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr1	61735	121741181	2	1	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr1	143285278	227892069	3	2	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr1	227899133	248930189	1	1	0
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr2	12784	227167215	3	2	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr2	227170000	242147305	4	2	2
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr3	18667	60034511	2	1	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr3	60034551	60277214	1	1	0
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr3	60277992	198169247	2	1	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr4	12281	190106768	2	1	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr5	15532	50146124	4	3	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr5	50151472	181363319	2	1	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr6	149661	85679705	4	2	2
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr6	85682384	162060428	3	2	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr6	162062582	162295304	1	1	0
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr6	162300775	162370166	0	0	0
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr6	162370281	162703120	1	1	0
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr6	162704934	166962587	3	2	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr6	166969331	170741917	3	3	0
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr7	43259	110211299	4	2	2
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr7	110213226	110457068	3	2	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr7	110459692	137916015	4	2	2
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr7	137920864	142623838	5	3	2
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr7	142629786	159334314	4	2	2
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr8	81254	15118613	3	2	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr8	15118715	16814036	4	3	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr8	16820653	145072769	3	2	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr9	46587	138200944	3	2	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr10	26823	42875902	3	2	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr10	42876068	72887526	2	1	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr10	72888066	133769379	3	2	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr11	198572	15296342	2	1	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr11	15297682	74857220	3	2	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr11	74857533	76551872	4	2	2
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr11	76552596	76918947	2	2	0
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr11	76919241	81180687	4	2	2
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr11	81182270	87225259	3	2	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr11	87235913	96015872	2	2	0
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr11	96017274	97761868	4	2	2
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr11	97761969	135074876	2	2	0
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr12	51460	80434938	3	2	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr12	80435770	107622425	2	1	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr12	107623896	133201603	3	2	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr13	18452809	22317412	4	3	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr13	22320233	23123782	6	5	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr13	23125436	23391698	4	3	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr13	23392113	23541791	6	5	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr13	23552208	24942679	8	7	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr13	24944593	26517871	6	5	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr13	26518189	28010511	8	7	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr13	28010607	31534792	5	4	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr13	31538211	32647065	3	2	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr13	32649662	33180606	5	4	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr13	33180836	35204385	4	3	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr13	35220015	63617097	2	1	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr13	63619780	72599996	3	2	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr13	72600326	114342922	5	4	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr14	18225647	106877229	2	1	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr15	19811075	101928837	2	1	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr16	10777	5460605	3	2	1
880f57f1-9fd2-407c-98e3-84fa9245f5a8	chr16	5466061	5873484	2	1	1
