GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	1	3301765	20061082	9438	-0.1591
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	1	20065649	64848121	25390	-0.1981
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	1	64848262	107968781	25889	-0.1677
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	1	107968879	107972925	3	-1.6115
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	1	107976248	119979137	7297	-0.1813
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	1	119979978	150091394	92	0.2052
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	1	150097409	151842105	660	0.1077
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	1	151842969	214338364	39496	0.1823
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	1	214341018	214601179	236	0.4731
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	1	214605327	247650984	21138	0.1815
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	2	480597	14607087	9023	0.4724
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	2	14609445	233675660	118242	0.1676
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	2	233675678	241537572	4928	0.1171
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	3	2170634	15505803	8185	0.1799
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	3	15505833	42437238	16024	-0.1764
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	3	42437303	65194955	12691	-0.2036
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	3	65232734	77633727	7983	-0.1739
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	3	77634145	77642101	4	-1.5304
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	3	77642115	95312999	6966	-0.1698
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	3	95313993	197812401	55246	0.1855
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	4	1059384	11130499	5498	-0.2028
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	4	11132280	38057991	17536	-0.1688
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	4	38059553	38060909	4	-2.0608
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	4	38063977	43422435	2925	-0.1794
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	4	43422963	43423145	2	-2.6334
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	4	43426409	87155311	22479	-0.1636
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	4	87157392	87157486	2	-2.1384
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	4	87166288	98558736	6289	-0.1637
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	4	98559001	120920144	12783	-0.0869
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	4	120921412	120921783	2	-2.7381
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	4	120924959	133701167	6449	-0.0851
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	4	133701544	139538628	3162	-0.6702
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	4	139540360	149491766	5621	0.2868
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	4	149492604	149976390	248	0.6104
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	4	149977979	150125434	96	0.2775
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	4	150130888	150301114	139	0.5888
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	4	150301260	150969499	286	0.2845
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	4	150969829	151467956	176	0.6267
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	4	151470489	152209582	474	-0.1424
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	4	152213807	152347791	52	-0.7245
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	4	152351766	153136563	456	-0.0995
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	4	153136996	187842528	18604	-0.686
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	5	913983	16346655	10197	0.1477
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	5	16351276	18288886	1037	-0.1649
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	5	18289654	53456412	16486	0.1625
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	5	53457222	170326450	67606	0.1348
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	5	170328106	170400752	57	-0.3206
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	5	170401116	180934240	5724	0.1095
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	6	1011760	17027089	11485	0.1662
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	6	17028872	24797419	5385	0.1953
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	6	24797587	46325972	10565	0.1611
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	6	46326540	134145423	47883	0.1926
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	6	134145556	141678028	4454	0.1762
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	6	141678347	141705006	10	-0.4761
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	6	141706356	162180195	13533	0.1741
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	6	162182254	162850152	105	-0.2523
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	6	162852687	170596889	3745	0.1584
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	7	664936	1409854	144	0.7074
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	7	1411918	15903908	7570	0.6234
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	7	15904103	23205301	4136	0.6765
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	7	23207874	42523708	12825	0.6123
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	7	42526492	63672748	8931	0.6905
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	7	63675854	63995321	68	0.194
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	7	63997723	77130464	4922	-0.1974
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	7	77135653	127132805	26417	-0.1634
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	7	127132835	158592540	16865	-0.1904
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	8	667625	144182542	82211	0.1785
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	9	789794	33009057	20153	0.3227
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	9	33009074	33343051	258	0.5535
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	9	33343399	33467616	58	0.736
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	9	33467942	33743685	146	0.9337
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	9	33751336	34570856	424	0.7337
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	9	34575040	34825292	131	0.5711
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	9	34825968	35682588	423	0.7133
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	9	35682653	36000001	163	0.5778
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	9	36002884	37183939	777	0.7525
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	9	37184976	37584690	208	0.5643
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	9	37584996	37915009	200	0.7358
