GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
e0871617-a9dd-4155-9435-84a0157dac98	chr1	62920	72243786	3	2	1
e0871617-a9dd-4155-9435-84a0157dac98	chr1	72245386	73216260	4	3	1
e0871617-a9dd-4155-9435-84a0157dac98	chr1	73216699	99809017	3	2	1
e0871617-a9dd-4155-9435-84a0157dac98	chr1	99809114	103520539	1	1	0
e0871617-a9dd-4155-9435-84a0157dac98	chr1	103524255	121705338	3	2	1
e0871617-a9dd-4155-9435-84a0157dac98	chr1	143541857	200489055	8	6	2
e0871617-a9dd-4155-9435-84a0157dac98	chr1	200491435	211301618	7	5	2
e0871617-a9dd-4155-9435-84a0157dac98	chr1	211305895	211661332	2	2	0
e0871617-a9dd-4155-9435-84a0157dac98	chr1	211661796	213789719	7	5	2
e0871617-a9dd-4155-9435-84a0157dac98	chr1	213793147	248930189	8	6	2
e0871617-a9dd-4155-9435-84a0157dac98	chr2	12784	89254427	3	2	1
e0871617-a9dd-4155-9435-84a0157dac98	chr2	89265460	94788342	5	5	0
e0871617-a9dd-4155-9435-84a0157dac98	chr2	94793909	182117119	3	2	1
e0871617-a9dd-4155-9435-84a0157dac98	chr2	182117241	182131854	1	1	0
e0871617-a9dd-4155-9435-84a0157dac98	chr2	182134395	222577982	3	2	1
e0871617-a9dd-4155-9435-84a0157dac98	chr2	222579042	224004926	2	2	0
e0871617-a9dd-4155-9435-84a0157dac98	chr2	224007666	242147305	3	2	1
e0871617-a9dd-4155-9435-84a0157dac98	chr3	20930	45689783	3	2	1
e0871617-a9dd-4155-9435-84a0157dac98	chr3	45689959	45722485	1	1	0
e0871617-a9dd-4155-9435-84a0157dac98	chr3	45722754	59714834	3	2	1
e0871617-a9dd-4155-9435-84a0157dac98	chr3	59714877	59934983	2	2	0
e0871617-a9dd-4155-9435-84a0157dac98	chr3	59935186	60394526	3	2	1
e0871617-a9dd-4155-9435-84a0157dac98	chr3	60397095	60486677	2	1	1
e0871617-a9dd-4155-9435-84a0157dac98	chr3	60491680	89355967	3	2	1
e0871617-a9dd-4155-9435-84a0157dac98	chr3	89356604	90215011	2	2	0
e0871617-a9dd-4155-9435-84a0157dac98	chr3	90219628	146538692	3	2	1
