GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AA-3558-01A-01D-A91V-36	chr1	17001	16606000	15173	-0.047222
TCGA-AA-3558-01A-01D-A91V-36	chr1	16606001	16729000	83	-0.301152
TCGA-AA-3558-01A-01D-A91V-36	chr1	16729001	16949000	120	-0.476622
TCGA-AA-3558-01A-01D-A91V-36	chr1	16949001	122616000	102297	-0.026087
TCGA-AA-3558-01A-01D-A91V-36	chr1	122625001	123529000	105	-1.052284
TCGA-AA-3558-01A-01D-A91V-36	chr1	123531001	123532000	1	-6.467194
TCGA-AA-3558-01A-01D-A91V-36	chr1	123535001	124451000	118	-0.931180
TCGA-AA-3558-01A-01D-A91V-36	chr1	124451001	124563000	22	1.006188
TCGA-AA-3558-01A-01D-A91V-36	chr1	124564001	124821000	63	-0.745141
TCGA-AA-3558-01A-01D-A91V-36	chr1	124879001	143746000	521	-0.044233
TCGA-AA-3558-01A-01D-A91V-36	chr1	143746001	143763000	16	0.408281
TCGA-AA-3558-01A-01D-A91V-36	chr1	143764001	248435000	99411	-0.024850
TCGA-AA-3558-01A-01D-A91V-36	chr1	248436001	248529000	45	0.388118
TCGA-AA-3558-01A-01D-A91V-36	chr1	248552001	248650000	68	-0.943554
TCGA-AA-3558-01A-01D-A91V-36	chr1	248659001	248931000	268	-0.037551
TCGA-AA-3558-01A-01D-A91V-36	chr2	11001	92000	81	-0.029379
TCGA-AA-3558-01A-01D-A91V-36	chr2	92001	815000	705	-0.066451
TCGA-AA-3558-01A-01D-A91V-36	chr2	815001	2242000	1379	-0.099542
TCGA-AA-3558-01A-01D-A91V-36	chr2	2242001	3431000	1181	-0.069856
TCGA-AA-3558-01A-01D-A91V-36	chr2	3431001	4960000	1510	-0.057695
TCGA-AA-3558-01A-01D-A91V-36	chr2	4960001	5094000	133	-0.086083
TCGA-AA-3558-01A-01D-A91V-36	chr2	5094001	5129000	35	-0.060012
TCGA-AA-3558-01A-01D-A91V-36	chr2	5129001	5217000	84	-0.086276
TCGA-AA-3558-01A-01D-A91V-36	chr2	5217001	6022000	803	-0.084995
TCGA-AA-3558-01A-01D-A91V-36	chr2	6022001	6167000	145	-0.068264
TCGA-AA-3558-01A-01D-A91V-36	chr2	6167001	7818000	1645	-0.062795
TCGA-AA-3558-01A-01D-A91V-36	chr2	7818001	7985000	166	-0.027242
TCGA-AA-3558-01A-01D-A91V-36	chr2	7985001	8036000	51	-0.058956
TCGA-AA-3558-01A-01D-A91V-36	chr2	8036001	8362000	326	-0.030743
TCGA-AA-3558-01A-01D-A91V-36	chr2	8362001	8711000	349	-0.019963
TCGA-AA-3558-01A-01D-A91V-36	chr2	8711001	9947000	1235	-0.007454
TCGA-AA-3558-01A-01D-A91V-36	chr2	9947001	10067000	119	-0.010109
TCGA-AA-3558-01A-01D-A91V-36	chr2	10067001	11256000	1178	-0.019258
TCGA-AA-3558-01A-01D-A91V-36	chr2	11256001	11801000	545	-0.007661
TCGA-AA-3558-01A-01D-A91V-36	chr2	11801001	12313000	510	-0.039660
TCGA-AA-3558-01A-01D-A91V-36	chr2	12313001	13706000	1383	-0.057290
TCGA-AA-3558-01A-01D-A91V-36	chr2	13706001	14180000	470	-0.027626
TCGA-AA-3558-01A-01D-A91V-36	chr2	14180001	14879000	692	-0.000459
TCGA-AA-3558-01A-01D-A91V-36	chr2	14879001	15240000	360	-0.038467
TCGA-AA-3558-01A-01D-A91V-36	chr2	15240001	15500000	260	-0.034233
TCGA-AA-3558-01A-01D-A91V-36	chr2	15500001	16814000	1300	-0.041908
TCGA-AA-3558-01A-01D-A91V-36	chr2	16814001	16856000	42	-0.069002
TCGA-AA-3558-01A-01D-A91V-36	chr2	16856001	18030000	1165	-0.040126
TCGA-AA-3558-01A-01D-A91V-36	chr2	18030001	18101000	71	-0.064233
TCGA-AA-3558-01A-01D-A91V-36	chr2	18101001	18825000	720	-0.044962
TCGA-AA-3558-01A-01D-A91V-36	chr2	18825001	19862000	1034	-0.025326
TCGA-AA-3558-01A-01D-A91V-36	chr2	19862001	20992000	1130	0.005484
TCGA-AA-3558-01A-01D-A91V-36	chr2	20992001	21041000	49	-0.032951
TCGA-AA-3558-01A-01D-A91V-36	chr2	21041001	21370000	327	-0.040132
TCGA-AA-3558-01A-01D-A91V-36	chr2	21370001	21695000	325	-0.056769
TCGA-AA-3558-01A-01D-A91V-36	chr2	21695001	22103000	407	-0.054323
TCGA-AA-3558-01A-01D-A91V-36	chr2	22103001	22410000	307	-0.049153
TCGA-AA-3558-01A-01D-A91V-36	chr2	22410001	23517000	1100	-0.053490
TCGA-AA-3558-01A-01D-A91V-36	chr2	23517001	25943000	2421	-0.027161
TCGA-AA-3558-01A-01D-A91V-36	chr2	25943001	26313000	369	-0.009247
TCGA-AA-3558-01A-01D-A91V-36	chr2	26313001	26711000	396	-0.040515
TCGA-AA-3558-01A-01D-A91V-36	chr2	26711001	26806000	95	-0.038127
TCGA-AA-3558-01A-01D-A91V-36	chr2	26806001	27077000	271	-0.013199
TCGA-AA-3558-01A-01D-A91V-36	chr2	27077001	27359000	282	-0.018435
TCGA-AA-3558-01A-01D-A91V-36	chr2	27360001	27639000	274	-0.018608
TCGA-AA-3558-01A-01D-A91V-36	chr2	27639001	28706000	1064	-0.000365
TCGA-AA-3558-01A-01D-A91V-36	chr2	28706001	29517000	808	-0.034652
TCGA-AA-3558-01A-01D-A91V-36	chr2	29517001	30028000	508	-0.065665
TCGA-AA-3558-01A-01D-A91V-36	chr2	30028001	30195000	167	-0.039369
TCGA-AA-3558-01A-01D-A91V-36	chr2	30195001	30418000	223	-0.058845
TCGA-AA-3558-01A-01D-A91V-36	chr2	30418001	30691000	270	-0.018579
TCGA-AA-3558-01A-01D-A91V-36	chr2	30691001	31365000	672	-0.049743
TCGA-AA-3558-01A-01D-A91V-36	chr2	31365001	32271000	903	-0.009299
TCGA-AA-3558-01A-01D-A91V-36	chr2	32271001	32791000	519	-0.002512
TCGA-AA-3558-01A-01D-A91V-36	chr2	32791001	33897000	1097	-0.027634
TCGA-AA-3558-01A-01D-A91V-36	chr2	33897001	34272000	375	-0.056518
TCGA-AA-3558-01A-01D-A91V-36	chr2	34272001	34373000	100	-0.052159
TCGA-AA-3558-01A-01D-A91V-36	chr2	34373001	35852000	1409	-0.052405
TCGA-AA-3558-01A-01D-A91V-36	chr2	35852001	36626000	764	-0.019189
TCGA-AA-3558-01A-01D-A91V-36	chr2	36626001	37188000	562	0.000834
TCGA-AA-3558-01A-01D-A91V-36	chr2	37188001	37521000	330	0.008082
TCGA-AA-3558-01A-01D-A91V-36	chr2	37521001	38186000	665	-0.015041
TCGA-AA-3558-01A-01D-A91V-36	chr2	38186001	38236000	50	-0.010933
TCGA-AA-3558-01A-01D-A91V-36	chr2	38236001	38477000	241	0.002845
TCGA-AA-3558-01A-01D-A91V-36	chr2	38477001	38509000	32	0.004242
TCGA-AA-3558-01A-01D-A91V-36	chr2	38509001	41258000	2747	-0.025504
TCGA-AA-3558-01A-01D-A91V-36	chr2	41258001	41311000	53	-0.023495
TCGA-AA-3558-01A-01D-A91V-36	chr2	41311001	41566000	249	-0.020815
TCGA-AA-3558-01A-01D-A91V-36	chr2	41566001	41736000	170	-0.008331
TCGA-AA-3558-01A-01D-A91V-36	chr2	41736001	42434000	693	0.003722
TCGA-AA-3558-01A-01D-A91V-36	chr2	42434001	42929000	493	0.001266
TCGA-AA-3558-01A-01D-A91V-36	chr2	42929001	43730000	790	0.003732
TCGA-AA-3558-01A-01D-A91V-36	chr2	43730001	43823000	93	-0.011629
TCGA-AA-3558-01A-01D-A91V-36	chr2	43823001	44950000	1124	-0.022483
TCGA-AA-3558-01A-01D-A91V-36	chr2	44950001	45006000	56	-0.067806
TCGA-AA-3558-01A-01D-A91V-36	chr2	45006001	45353000	334	-0.054449
TCGA-AA-3558-01A-01D-A91V-36	chr2	45353001	45851000	497	-0.018201
TCGA-AA-3558-01A-01D-A91V-36	chr2	45851001	45938000	87	-0.039280
TCGA-AA-3558-01A-01D-A91V-36	chr2	45938001	46797000	858	-0.011620
TCGA-AA-3558-01A-01D-A91V-36	chr2	46797001	48889000	2085	-0.017964
TCGA-AA-3558-01A-01D-A91V-36	chr2	48889001	52048000	3150	-0.055595
TCGA-AA-3558-01A-01D-A91V-36	chr2	52048001	54273000	2185	-0.035443
TCGA-AA-3558-01A-01D-A91V-36	chr2	54273001	54823000	548	0.006885
TCGA-AA-3558-01A-01D-A91V-36	chr2	54823001	55706000	883	0.011501
TCGA-AA-3558-01A-01D-A91V-36	chr2	55706001	55760000	53	-0.019412
TCGA-AA-3558-01A-01D-A91V-36	chr2	55760001	57533000	1765	-0.052145
TCGA-AA-3558-01A-01D-A91V-36	chr2	57533001	57632000	93	-0.028120
TCGA-AA-3558-01A-01D-A91V-36	chr2	57632001	60115000	2469	-0.047147
TCGA-AA-3558-01A-01D-A91V-36	chr2	60115001	60189000	72	-0.017744
TCGA-AA-3558-01A-01D-A91V-36	chr2	60189001	60845000	656	-0.031195
