GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	62920	3305057	744	-0.0199
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	3305549	15823420	7595	0.1151
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	15827002	15827430	6	-1.6877
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	15827706	15828515	4	-0.67
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	15839166	16518437	296	0.1124
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	16525019	16766762	45	-0.208
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	16766922	16855942	13	0.1677
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	16863509	16935752	55	-0.5278
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	16949746	25256800	5259	0.1313
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	25256850	25320455	25	-0.454
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	25336819	27994356	1125	0.1167
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	27997207	27998501	2	1.1628
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	28002409	30242318	1234	0.1168
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	30242420	30248144	12	-0.4229
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	30248597	34625857	2572	0.1294
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	34625993	34638890	23	-0.5691
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	34648667	40572498	3193	0.1288
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	40573377	40574086	2	2.0567
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	40578608	43011286	1505	0.134
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	43012125	43012935	2	-1.0308
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	43020953	49217997	3591	0.1523
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	49226993	49265696	14	-0.5176
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	49272623	57760995	5270	0.1116
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	57761114	59433000	1349	0.1621
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	59444878	62354855	2099	0.1074
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	62359119	70839424	5852	0.1522
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	70842277	72284670	865	-0.5088
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	72290430	72297687	9	-2.7282
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	72302735	72345465	48	0.6271
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	72346221	94551657	14236	-0.4958
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	94551824	94554349	3	-2.8939
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	94554784	105470754	6670	-0.4897
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	105476583	105479753	17	0.1235
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	105481433	109690352	2629	-0.4948
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	109690415	109692006	9	-1.6591
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	109696900	112147704	1947	-0.5471
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	112153343	112154591	22	-1.7247
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	112154619	114692112	1525	-0.5124
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	114693436	114834481	88	0.0615
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	114835411	120885464	3448	0.1509
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	120885477	120954128	2	1.5678
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	120954165	143748421	195	0.1335
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	143748590	143760271	18	0.5626
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	143762042	152583051	2321	0.0272
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	152583230	152614064	33	-1.7196
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	152614100	179111585	17807	0.0561
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	179112315	180834410	1195	-0.4652
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	180840845	196745743	10641	0.0585
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	196758720	196762956	4	-1.5703
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	196769493	196788990	31	0.2049
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	196789019	196790158	4	-0.97
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	196792690	217536548	14177	0.0494
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	217537191	217537218	2	-1.9962
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	217546221	226303955	5636	0.0407
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	226303961	230500087	2652	-0.0487
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	230500893	230776747	256	-0.6439
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	230776872	231607375	507	-0.4783
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	231607851	232283873	533	0.0428
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	232284297	248046743	11607	-0.0528
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	248053139	248574146	254	0.024
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	248585893	248633821	31	-0.6475
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	1	248633912	248930189	142	-0.0867
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	12784	724472	511	0.0759
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	725808	1935550	750	0.0058
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	1936347	4158097	1724	0.0902
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	4166274	4175577	36	-2.2333
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	4175922	7098407	2548	0.0972
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	7098422	37373502	20706	0.1303
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	37373650	39369665	1362	0.0751
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	39373581	39901737	344	0.1979
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	39902025	39902892	2	-1.1144
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	39903598	41011095	937	0.1847
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	41011303	41024584	26	-0.3278
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	41024614	41726445	570	0.1935
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	41728951	52527423	7607	0.1252
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	52527590	52531630	5	-0.8055
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	52531652	52554404	31	0.7618
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	52560811	79093607	17180	0.1265
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	79094818	79115685	13	0.6297
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	79116692	87023373	4784	0.1283
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	87032208	87166733	22	-0.2967
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	87169691	87211079	16	0.1367
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	87218694	87218834	2	-1.6722
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	87221597	106258041	7393	0.1171
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	106258193	106270952	16	-0.4601
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	106271414	130036283	14261	0.1126
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	130036310	130065662	8	-0.7098
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	130067885	130539652	106	0.0021
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	130560276	130560478	2	-1.2547
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	130720375	157321779	16140	0.1232
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	157322039	199403788	25352	0.1477
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	199403912	207490614	4875	0.1306
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	207490972	207494425	13	-0.8922
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	207494612	220894396	8569	0.1223
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	220897322	220915142	23	-0.5583
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	220918890	228892290	5274	0.1237
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	228894763	228895197	8	-0.8799
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	228895367	238704846	6334	0.1135
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	2	238705319	242147305	1862	0.068
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	3	20930	4723527	4255	0.1179
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	3	4724188	4766069	36	-0.5712
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	3	4766991	46750055	28865	0.1343
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	3	46751887	46808099	41	-0.5687
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	3	46817989	59894658	7252	0.1277
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	3	59898725	59937665	64	-0.6506
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	3	59943125	68682877	7242	0.1372
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	3	68697013	68698262	15	1.3088
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	3	68699607	97497993	14911	0.1255
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	3	97498241	97498726	2	1.8522
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	3	97502514	130062033	19714	0.1306
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	3	130067097	130087393	33	-0.2055
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	3	130088081	162796839	20256	0.1331
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	3	162798471	162906093	61	-0.2092
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	3	162906109	162910826	6	0.7278
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	3	162910855	162996729	69	0.0981
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	3	162999939	163001774	2	1.6231
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	3	163008371	192889961	18882	0.136
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	3	192890184	192890809	7	0.8946
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	3	192890836	195691392	1694	0.1458
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	3	195695418	195795450	54	-0.1153
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	3	195799712	198111566	1132	0.1053
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	3	198118345	198122834	9	-0.6654
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	3	198124354	198169247	8	0.1091
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	4	68929	10208766	5670	-0.6152
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	4	10221792	10229874	28	-1.9855
3b5d90bb-1d8a-4812-8ac2-43d648d693ed	4	10232590	31683640	15160	-0.5221
