GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
177d2edb-07c3-414c-ae5a-e233e412c5ca	1	3301765	68558570	37617	-0.2517
177d2edb-07c3-414c-ae5a-e233e412c5ca	1	68560628	83136020	8307	-0.2846
177d2edb-07c3-414c-ae5a-e233e412c5ca	1	83137674	96715189	8482	-0.2528
177d2edb-07c3-414c-ae5a-e233e412c5ca	1	96719594	107360959	5913	-0.2883
177d2edb-07c3-414c-ae5a-e233e412c5ca	1	107361732	119177988	7232	-0.2524
177d2edb-07c3-414c-ae5a-e233e412c5ca	1	119186741	119188024	3	-1.5721
177d2edb-07c3-414c-ae5a-e233e412c5ca	1	119189724	156057846	3405	-0.2355
177d2edb-07c3-414c-ae5a-e233e412c5ca	1	156067592	158683719	1616	0.2596
177d2edb-07c3-414c-ae5a-e233e412c5ca	1	158685372	158685904	4	-1.1539
177d2edb-07c3-414c-ae5a-e233e412c5ca	1	158687889	168008445	6593	0.2394
177d2edb-07c3-414c-ae5a-e233e412c5ca	1	168011661	168016016	2	-1.5571
177d2edb-07c3-414c-ae5a-e233e412c5ca	1	168016712	186625718	11770	0.2373
177d2edb-07c3-414c-ae5a-e233e412c5ca	1	186626579	192371423	3324	0.1787
177d2edb-07c3-414c-ae5a-e233e412c5ca	1	192371438	193194044	591	0.2573
177d2edb-07c3-414c-ae5a-e233e412c5ca	1	193194319	200467934	4264	0.2088
177d2edb-07c3-414c-ae5a-e233e412c5ca	1	200469573	206050479	3632	0.2521
177d2edb-07c3-414c-ae5a-e233e412c5ca	1	206053799	206058126	3	1.564
177d2edb-07c3-414c-ae5a-e233e412c5ca	1	206061689	212772058	4530	0.2441
177d2edb-07c3-414c-ae5a-e233e412c5ca	1	212773506	212774191	5	-1.0071
177d2edb-07c3-414c-ae5a-e233e412c5ca	1	212776305	247650984	22425	0.2147
177d2edb-07c3-414c-ae5a-e233e412c5ca	2	480597	8291270	4755	-0.042
177d2edb-07c3-414c-ae5a-e233e412c5ca	2	8292002	49522272	24965	0.001
177d2edb-07c3-414c-ae5a-e233e412c5ca	2	49522533	50135054	410	-0.0407
177d2edb-07c3-414c-ae5a-e233e412c5ca	2	50138061	50138779	3	-1.8754
177d2edb-07c3-414c-ae5a-e233e412c5ca	2	50138959	139043620	42744	-0.011
177d2edb-07c3-414c-ae5a-e233e412c5ca	2	139043909	148438796	5299	-0.0453
177d2edb-07c3-414c-ae5a-e233e412c5ca	2	148439501	241537572	54043	-0.005
177d2edb-07c3-414c-ae5a-e233e412c5ca	3	2170634	44946302	25502	-0.2652
177d2edb-07c3-414c-ae5a-e233e412c5ca	3	44948108	53662261	4054	-0.2232
177d2edb-07c3-414c-ae5a-e233e412c5ca	3	53662677	67351081	8861	-0.2707
177d2edb-07c3-414c-ae5a-e233e412c5ca	3	67352024	98840495	15322	-0.2895
177d2edb-07c3-414c-ae5a-e233e412c5ca	3	98843925	174331615	41244	-0.2641
177d2edb-07c3-414c-ae5a-e233e412c5ca	3	174333125	174333248	2	-2.4262
177d2edb-07c3-414c-ae5a-e233e412c5ca	3	174334939	189121745	7866	-0.2646
177d2edb-07c3-414c-ae5a-e233e412c5ca	3	189122596	189122704	2	-2.3418
177d2edb-07c3-414c-ae5a-e233e412c5ca	3	189123631	197812401	4294	-0.2493
177d2edb-07c3-414c-ae5a-e233e412c5ca	4	1059384	5815967	2401	-0.6124
177d2edb-07c3-414c-ae5a-e233e412c5ca	4	5817427	5818431	4	-4.3225
177d2edb-07c3-414c-ae5a-e233e412c5ca	4	5822171	16138982	6824	-0.6058
177d2edb-07c3-414c-ae5a-e233e412c5ca	4	16143948	67014117	28042	-0.0221
177d2edb-07c3-414c-ae5a-e233e412c5ca	4	67014337	124344330	32164	0.0032
177d2edb-07c3-414c-ae5a-e233e412c5ca	4	124344484	138866989	7381	-0.0407
177d2edb-07c3-414c-ae5a-e233e412c5ca	4	138867317	160182371	12171	0.0044
177d2edb-07c3-414c-ae5a-e233e412c5ca	4	160182391	187842528	14514	-0.0289
177d2edb-07c3-414c-ae5a-e233e412c5ca	5	913983	1428020	126	0.0881
177d2edb-07c3-414c-ae5a-e233e412c5ca	5	1428051	8842835	5603	-0.0345
177d2edb-07c3-414c-ae5a-e233e412c5ca	5	8842852	11019658	1513	0.0403
177d2edb-07c3-414c-ae5a-e233e412c5ca	5	11026660	13227041	1169	-0.0497
177d2edb-07c3-414c-ae5a-e233e412c5ca	5	13227307	17095241	2264	0.0315
177d2edb-07c3-414c-ae5a-e233e412c5ca	5	17098316	29478097	6319	-0.0529
177d2edb-07c3-414c-ae5a-e233e412c5ca	5	29478108	180934240	84145	-0.0016
177d2edb-07c3-414c-ae5a-e233e412c5ca	6	1011760	29701974	18866	0.0012
177d2edb-07c3-414c-ae5a-e233e412c5ca	6	29702759	64375617	16591	0.0283
177d2edb-07c3-414c-ae5a-e233e412c5ca	6	64378716	84001989	11084	-0.0031
177d2edb-07c3-414c-ae5a-e233e412c5ca	6	84006337	125310387	23174	-0.067
177d2edb-07c3-414c-ae5a-e233e412c5ca	6	125310413	152056300	16863	0.0055
177d2edb-07c3-414c-ae5a-e233e412c5ca	6	152056502	154017821	1436	-0.0487
177d2edb-07c3-414c-ae5a-e233e412c5ca	6	154018538	161266398	4662	0.0081
177d2edb-07c3-414c-ae5a-e233e412c5ca	6	161266421	165564385	2489	-0.0606
177d2edb-07c3-414c-ae5a-e233e412c5ca	6	165566684	169761194	1776	-0.0087
177d2edb-07c3-414c-ae5a-e233e412c5ca	6	169762441	169767522	4	-1.0716
177d2edb-07c3-414c-ae5a-e233e412c5ca	6	170238867	170596889	221	0.0126
177d2edb-07c3-414c-ae5a-e233e412c5ca	7	664936	24377976	12719	0.4726
177d2edb-07c3-414c-ae5a-e233e412c5ca	7	24380757	24381398	2	-1.2467
177d2edb-07c3-414c-ae5a-e233e412c5ca	7	24381720	52073035	17928	0.4716
177d2edb-07c3-414c-ae5a-e233e412c5ca	7	52073796	86687663	13759	0.4456
177d2edb-07c3-414c-ae5a-e233e412c5ca	7	86691320	99935555	6484	0.474
177d2edb-07c3-414c-ae5a-e233e412c5ca	7	99935705	99941076	2	-1.5787
177d2edb-07c3-414c-ae5a-e233e412c5ca	7	99941218	116325204	8165	0.4658
177d2edb-07c3-414c-ae5a-e233e412c5ca	7	116327362	117765463	963	0.5259
177d2edb-07c3-414c-ae5a-e233e412c5ca	7	117771184	141637182	13488	0.462
177d2edb-07c3-414c-ae5a-e233e412c5ca	7	141641909	141642264	2	-1.7542
177d2edb-07c3-414c-ae5a-e233e412c5ca	7	141643429	158592540	8449	0.471
177d2edb-07c3-414c-ae5a-e233e412c5ca	8	667625	9553180	4034	-0.0261
177d2edb-07c3-414c-ae5a-e233e412c5ca	8	9557132	9557376	2	-1.6451
177d2edb-07c3-414c-ae5a-e233e412c5ca	8	9557880	17590041	4765	-0.0296
177d2edb-07c3-414c-ae5a-e233e412c5ca	8	17592148	17592226	3	-1.5877
177d2edb-07c3-414c-ae5a-e233e412c5ca	8	17596651	80767154	35997	-0.0064
177d2edb-07c3-414c-ae5a-e233e412c5ca	8	80769332	80771982	2	-2.0127
177d2edb-07c3-414c-ae5a-e233e412c5ca	8	80773303	93274584	6724	-0.0129
177d2edb-07c3-414c-ae5a-e233e412c5ca	8	93275284	95716385	1538	0.0496
177d2edb-07c3-414c-ae5a-e233e412c5ca	8	95719670	103681900	4691	-0.0036
177d2edb-07c3-414c-ae5a-e233e412c5ca	8	103681932	114676735	5720	-0.0337
177d2edb-07c3-414c-ae5a-e233e412c5ca	8	114678028	127430224	8469	0.009
177d2edb-07c3-414c-ae5a-e233e412c5ca	8	127435304	127440521	2	-1.7121
177d2edb-07c3-414c-ae5a-e233e412c5ca	8	127441520	144182542	10285	0.0079
177d2edb-07c3-414c-ae5a-e233e412c5ca	9	789794	21801320	13583	0.0356
177d2edb-07c3-414c-ae5a-e233e412c5ca	9	21801531	22247370	296	-0.562
177d2edb-07c3-414c-ae5a-e233e412c5ca	9	22248827	30238221	4551	0.0253
177d2edb-07c3-414c-ae5a-e233e412c5ca	9	30239208	30241787	6	-1.1429
177d2edb-07c3-414c-ae5a-e233e412c5ca	9	30248452	30816507	204	0.0485
177d2edb-07c3-414c-ae5a-e233e412c5ca	9	30816797	32110503	877	-0.0368
177d2edb-07c3-414c-ae5a-e233e412c5ca	9	32110551	37936506	3440	0.0485
177d2edb-07c3-414c-ae5a-e233e412c5ca	9	37940442	38062430	92	-0.5433
177d2edb-07c3-414c-ae5a-e233e412c5ca	9	38070923	38206365	104	0.0077
177d2edb-07c3-414c-ae5a-e233e412c5ca	9	38207736	38208696	2	-1.5018
177d2edb-07c3-414c-ae5a-e233e412c5ca	9	38209179	78996583	7858	0.0318
177d2edb-07c3-414c-ae5a-e233e412c5ca	9	79004874	88224116	6475	-0.0014
177d2edb-07c3-414c-ae5a-e233e412c5ca	9	88226744	108222660	12643	0.0286
177d2edb-07c3-414c-ae5a-e233e412c5ca	9	108223521	109876799	1410	0.0895
177d2edb-07c3-414c-ae5a-e233e412c5ca	9	109878336	111033334	816	0.0473
177d2edb-07c3-414c-ae5a-e233e412c5ca	9	111034154	111034697	2	-2.0349
177d2edb-07c3-414c-ae5a-e233e412c5ca	9	111035118	118365010	5076	0.0423
177d2edb-07c3-414c-ae5a-e233e412c5ca	9	118365076	119765363	1101	-0.0175
177d2edb-07c3-414c-ae5a-e233e412c5ca	9	119765728	138044505	9968	0.0534
177d2edb-07c3-414c-ae5a-e233e412c5ca	10	366509	18359145	13094	-0.0117
177d2edb-07c3-414c-ae5a-e233e412c5ca	10	18359576	18363445	8	-1.2806
177d2edb-07c3-414c-ae5a-e233e412c5ca	10	18364932	26386836	5354	-0.0171
177d2edb-07c3-414c-ae5a-e233e412c5ca	10	26387060	26390619	2	-2.162
177d2edb-07c3-414c-ae5a-e233e412c5ca	10	26390852	57257327	15060	-0.0175
177d2edb-07c3-414c-ae5a-e233e412c5ca	10	57257648	81553995	14828	0.0024
177d2edb-07c3-414c-ae5a-e233e412c5ca	10	81556508	82979682	1070	-0.0616
177d2edb-07c3-414c-ae5a-e233e412c5ca	10	82982033	105979074	13838	0.0126
177d2edb-07c3-414c-ae5a-e233e412c5ca	10	105979253	107597321	1184	-0.061
177d2edb-07c3-414c-ae5a-e233e412c5ca	10	107597359	117359087	6502	0.0152
177d2edb-07c3-414c-ae5a-e233e412c5ca	10	117359349	133411599	10343	-0.0175
177d2edb-07c3-414c-ae5a-e233e412c5ca	11	456012	43151828	27256	-0.2353
177d2edb-07c3-414c-ae5a-e233e412c5ca	11	43154127	78296629	13830	-0.2162
177d2edb-07c3-414c-ae5a-e233e412c5ca	11	78296738	119457440	26167	-0.2444
177d2edb-07c3-414c-ae5a-e233e412c5ca	11	119461354	120724104	916	-0.1735
177d2edb-07c3-414c-ae5a-e233e412c5ca	11	120724422	134272740	9386	-0.2468
177d2edb-07c3-414c-ae5a-e233e412c5ca	12	780472	17830318	9790	0.0095
177d2edb-07c3-414c-ae5a-e233e412c5ca	12	17831547	17831741	2	2.1274
177d2edb-07c3-414c-ae5a-e233e412c5ca	12	17832067	46145713	13977	-0.0019
177d2edb-07c3-414c-ae5a-e233e412c5ca	12	46145847	57062052	5760	0.0423
177d2edb-07c3-414c-ae5a-e233e412c5ca	12	57063053	57067649	2	-3.3444
177d2edb-07c3-414c-ae5a-e233e412c5ca	12	57068168	59617153	1543	0.0362
177d2edb-07c3-414c-ae5a-e233e412c5ca	12	59619652	119985009	37364	-0.002
177d2edb-07c3-414c-ae5a-e233e412c5ca	12	119986089	125870666	3039	0.0306
177d2edb-07c3-414c-ae5a-e233e412c5ca	12	125871171	131584452	2618	-0.0457
177d2edb-07c3-414c-ae5a-e233e412c5ca	12	131587305	132605822	257	0.0155
177d2edb-07c3-414c-ae5a-e233e412c5ca	13	18874255	22132601	1529	0.4856
177d2edb-07c3-414c-ae5a-e233e412c5ca	13	22134572	23447557	859	0.4282
177d2edb-07c3-414c-ae5a-e233e412c5ca	13	23447777	54029206	18910	0.4971
177d2edb-07c3-414c-ae5a-e233e412c5ca	13	54029344	71011195	8267	0.4675
177d2edb-07c3-414c-ae5a-e233e412c5ca	13	71011428	81133702	6688	0.5035
177d2edb-07c3-414c-ae5a-e233e412c5ca	13	81134628	95762564	8707	0.4638
177d2edb-07c3-414c-ae5a-e233e412c5ca	13	95764575	99371506	2261	0.527
177d2edb-07c3-414c-ae5a-e233e412c5ca	13	99373821	109420389	7114	0.4916
177d2edb-07c3-414c-ae5a-e233e412c5ca	13	109422145	110931170	1191	0.5331
177d2edb-07c3-414c-ae5a-e233e412c5ca	13	110941884	110942091	2	-0.9205
