GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5f2bfff4-6bd0-46f0-bc6e-338c7546fc37	1	3301765	238501574	124198	0.0042
5f2bfff4-6bd0-46f0-bc6e-338c7546fc37	1	238501923	238612525	116	0.3601
5f2bfff4-6bd0-46f0-bc6e-338c7546fc37	1	238612987	247650984	5350	-0.0029
5f2bfff4-6bd0-46f0-bc6e-338c7546fc37	2	480597	8740239	5127	-0.0177
5f2bfff4-6bd0-46f0-bc6e-338c7546fc37	2	8743649	128590607	62647	0.0014
5f2bfff4-6bd0-46f0-bc6e-338c7546fc37	2	128590960	148701073	10473	-0.0103
5f2bfff4-6bd0-46f0-bc6e-338c7546fc37	2	148703100	208885108	34018	0.0105
5f2bfff4-6bd0-46f0-bc6e-338c7546fc37	2	208885622	241537572	19880	0.0017
5f2bfff4-6bd0-46f0-bc6e-338c7546fc37	3	2170634	29380813	16108	-0.0125
5f2bfff4-6bd0-46f0-bc6e-338c7546fc37	3	29385230	167795042	75277	0.0026
5f2bfff4-6bd0-46f0-bc6e-338c7546fc37	3	167795616	178668533	5633	0.0236
5f2bfff4-6bd0-46f0-bc6e-338c7546fc37	3	178668607	197812401	10116	0.0087
5f2bfff4-6bd0-46f0-bc6e-338c7546fc37	4	1059384	67897891	37786	-0.0005
5f2bfff4-6bd0-46f0-bc6e-338c7546fc37	4	67898076	114863231	26339	0.0103
5f2bfff4-6bd0-46f0-bc6e-338c7546fc37	4	114863441	142620932	15060	-0.0048
5f2bfff4-6bd0-46f0-bc6e-338c7546fc37	4	142623807	142860964	133	0.232
5f2bfff4-6bd0-46f0-bc6e-338c7546fc37	4	142861335	187842528	24114	0.0026
5f2bfff4-6bd0-46f0-bc6e-338c7546fc37	5	913983	135138801	72797	0.0028
5f2bfff4-6bd0-46f0-bc6e-338c7546fc37	5	135138867	135498479	286	0.3979
5f2bfff4-6bd0-46f0-bc6e-338c7546fc37	5	135511837	180934240	27990	0.0018
5f2bfff4-6bd0-46f0-bc6e-338c7546fc37	6	1011760	45730238	27057	0.0005
5f2bfff4-6bd0-46f0-bc6e-338c7546fc37	6	45730379	47890899	1470	0.0426
