GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7227f9fc-1ab6-49de-bd86-4e1725106149	1	62920	266187	17	-0.2626
7227f9fc-1ab6-49de-bd86-4e1725106149	1	462795	462894	2	2.5362
7227f9fc-1ab6-49de-bd86-4e1725106149	1	599171	2259276	384	-0.0116
7227f9fc-1ab6-49de-bd86-4e1725106149	1	2262659	3428581	421	-0.0802
7227f9fc-1ab6-49de-bd86-4e1725106149	1	3429784	12807778	5687	0.0133
7227f9fc-1ab6-49de-bd86-4e1725106149	1	12807820	13388993	28	0.3452
7227f9fc-1ab6-49de-bd86-4e1725106149	1	13389302	15823420	1804	0.0106
7227f9fc-1ab6-49de-bd86-4e1725106149	1	15827002	15827706	7	-2.086
7227f9fc-1ab6-49de-bd86-4e1725106149	1	15827744	15828515	3	-0.6741
7227f9fc-1ab6-49de-bd86-4e1725106149	1	15839166	16504088	293	0.0324
7227f9fc-1ab6-49de-bd86-4e1725106149	1	16504325	16919035	89	0.266
7227f9fc-1ab6-49de-bd86-4e1725106149	1	16919514	25256850	5292	0.0229
7227f9fc-1ab6-49de-bd86-4e1725106149	1	25266637	25320198	22	0.9737
7227f9fc-1ab6-49de-bd86-4e1725106149	1	25320253	30318225	2439	0.0168
7227f9fc-1ab6-49de-bd86-4e1725106149	1	30321567	30321722	2	-1.7896
7227f9fc-1ab6-49de-bd86-4e1725106149	1	30322814	34626073	2514	0.021
7227f9fc-1ab6-49de-bd86-4e1725106149	1	34637053	34638890	20	-0.6987
7227f9fc-1ab6-49de-bd86-4e1725106149	1	34648667	38700987	2241	0.0124
7227f9fc-1ab6-49de-bd86-4e1725106149	1	38702131	38707413	2	-1.2303
7227f9fc-1ab6-49de-bd86-4e1725106149	1	38712625	40555364	942	0.0437
7227f9fc-1ab6-49de-bd86-4e1725106149	1	40556404	40562538	4	-1.4421
7227f9fc-1ab6-49de-bd86-4e1725106149	1	40563254	83659601	27911	0.0197
7227f9fc-1ab6-49de-bd86-4e1725106149	1	83660647	83661409	3	-1.4206
7227f9fc-1ab6-49de-bd86-4e1725106149	1	83666331	105470754	13683	0.0238
7227f9fc-1ab6-49de-bd86-4e1725106149	1	105476583	105479753	17	1.1688
7227f9fc-1ab6-49de-bd86-4e1725106149	1	105481433	109684893	2637	0.012
7227f9fc-1ab6-49de-bd86-4e1725106149	1	109690352	109697556	13	-1.4204
7227f9fc-1ab6-49de-bd86-4e1725106149	1	109702376	121597150	7136	0.0249
7227f9fc-1ab6-49de-bd86-4e1725106149	1	121598439	143714499	97	0.3116
7227f9fc-1ab6-49de-bd86-4e1725106149	1	143714665	143893019	29	0.7471
7227f9fc-1ab6-49de-bd86-4e1725106149	1	143921397	145642976	22	0.2433
7227f9fc-1ab6-49de-bd86-4e1725106149	1	145642990	152583051	2298	0.0321
