GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7d0699a4-45eb-4903-96d9-cd288a9cee0b	1	62920	15823420	8323	0.0088
7d0699a4-45eb-4903-96d9-cd288a9cee0b	1	15827002	15827430	6	-1.627
7d0699a4-45eb-4903-96d9-cd288a9cee0b	1	15827706	16863509	359	0.0404
7d0699a4-45eb-4903-96d9-cd288a9cee0b	1	16864367	16935752	54	-0.4337
7d0699a4-45eb-4903-96d9-cd288a9cee0b	1	16949746	21342380	2964	0.0087
7d0699a4-45eb-4903-96d9-cd288a9cee0b	1	21342974	21343308	2	-2.71
7d0699a4-45eb-4903-96d9-cd288a9cee0b	1	21343566	21361361	9	-0.4962
7d0699a4-45eb-4903-96d9-cd288a9cee0b	1	21361441	25273831	2285	0.0097
7d0699a4-45eb-4903-96d9-cd288a9cee0b	1	25275368	25320455	18	0.5926
7d0699a4-45eb-4903-96d9-cd288a9cee0b	1	25336819	109684893	52316	0.0174
7d0699a4-45eb-4903-96d9-cd288a9cee0b	1	109690352	109697556	13	1.1215
7d0699a4-45eb-4903-96d9-cd288a9cee0b	1	109702376	152583230	9558	0.0216
7d0699a4-45eb-4903-96d9-cd288a9cee0b	1	152583291	152613762	30	-1.5758
7d0699a4-45eb-4903-96d9-cd288a9cee0b	1	152613802	152787202	170	-0.007
7d0699a4-45eb-4903-96d9-cd288a9cee0b	1	152789447	152801429	38	0.5282
7d0699a4-45eb-4903-96d9-cd288a9cee0b	1	152804279	169017063	11061	0.0138
7d0699a4-45eb-4903-96d9-cd288a9cee0b	1	169017136	169017254	2	-2.5197
7d0699a4-45eb-4903-96d9-cd288a9cee0b	1	169017882	196769652	18366	0.021
7d0699a4-45eb-4903-96d9-cd288a9cee0b	1	196769851	196846661	53	-0.5387
7d0699a4-45eb-4903-96d9-cd288a9cee0b	1	196847600	215204642	12418	0.0117
7d0699a4-45eb-4903-96d9-cd288a9cee0b	1	215207009	215207922	3	-1.4856
7d0699a4-45eb-4903-96d9-cd288a9cee0b	1	215210896	240228440	17472	0.0132
7d0699a4-45eb-4903-96d9-cd288a9cee0b	1	240230715	240230824	5	-1.57
7d0699a4-45eb-4903-96d9-cd288a9cee0b	1	240230839	248467495	5657	0.0144
7d0699a4-45eb-4903-96d9-cd288a9cee0b	1	248471839	248694707	76	0.2867
7d0699a4-45eb-4903-96d9-cd288a9cee0b	1	248697340	248930189	116	-0.024
7d0699a4-45eb-4903-96d9-cd288a9cee0b	2	12784	4158097	2982	0.0172
7d0699a4-45eb-4903-96d9-cd288a9cee0b	2	4166274	4176429	42	-0.4612
7d0699a4-45eb-4903-96d9-cd288a9cee0b	2	4182472	52512079	34057	0.014
7d0699a4-45eb-4903-96d9-cd288a9cee0b	2	52514599	52554404	42	0.6069
7d0699a4-45eb-4903-96d9-cd288a9cee0b	2	52560811	86710564	21889	0.0148
7d0699a4-45eb-4903-96d9-cd288a9cee0b	2	86725947	86726731	2	-1.9355
7d0699a4-45eb-4903-96d9-cd288a9cee0b	2	86743283	146106875	31280	0.0138
7d0699a4-45eb-4903-96d9-cd288a9cee0b	2	146106889	146123485	35	0.5248
7d0699a4-45eb-4903-96d9-cd288a9cee0b	2	146123531	242147305	58974	0.0167
7d0699a4-45eb-4903-96d9-cd288a9cee0b	3	20930	182919	154	-0.0331
7d0699a4-45eb-4903-96d9-cd288a9cee0b	3	188339	191117	4	-3.3514
7d0699a4-45eb-4903-96d9-cd288a9cee0b	3	193194	13579496	10980	0.0149
7d0699a4-45eb-4903-96d9-cd288a9cee0b	3	13579820	13580089	4	-1.7252
7d0699a4-45eb-4903-96d9-cd288a9cee0b	3	13580411	68697013	36586	0.0138
7d0699a4-45eb-4903-96d9-cd288a9cee0b	3	68697108	68699607	15	-0.7453
7d0699a4-45eb-4903-96d9-cd288a9cee0b	3	68699635	75519398	4916	0.0067
7d0699a4-45eb-4903-96d9-cd288a9cee0b	3	75523398	75547095	8	-1.2257
7d0699a4-45eb-4903-96d9-cd288a9cee0b	3	75559488	99218940	10955	0.0126
7d0699a4-45eb-4903-96d9-cd288a9cee0b	3	99225614	99226455	14	-1.2802
7d0699a4-45eb-4903-96d9-cd288a9cee0b	3	99226551	99230212	13	-2.6689
7d0699a4-45eb-4903-96d9-cd288a9cee0b	3	99230225	99230470	10	-0.9745
7d0699a4-45eb-4903-96d9-cd288a9cee0b	3	99230577	193160113	58182	0.0162
7d0699a4-45eb-4903-96d9-cd288a9cee0b	3	193160173	193165114	19	-0.7485
7d0699a4-45eb-4903-96d9-cd288a9cee0b	3	193168646	195673928	1483	0.0173
7d0699a4-45eb-4903-96d9-cd288a9cee0b	3	195683075	195715711	18	0.7034
7d0699a4-45eb-4903-96d9-cd288a9cee0b	3	195719726	198169247	1187	0.0061
7d0699a4-45eb-4903-96d9-cd288a9cee0b	4	68929	7975445	4642	0.011
7d0699a4-45eb-4903-96d9-cd288a9cee0b	4	7975767	7975884	2	-2.3216
7d0699a4-45eb-4903-96d9-cd288a9cee0b	4	7983977	8526019	325	0.0174
7d0699a4-45eb-4903-96d9-cd288a9cee0b	4	8526241	8534461	6	-0.795
7d0699a4-45eb-4903-96d9-cd288a9cee0b	4	8534633	9450197	172	0.0196
7d0699a4-45eb-4903-96d9-cd288a9cee0b	4	9455251	9463248	4	-1.3962
7d0699a4-45eb-4903-96d9-cd288a9cee0b	4	9469529	10208766	539	-0.0178
7d0699a4-45eb-4903-96d9-cd288a9cee0b	4	10221792	10229625	27	-0.6485
7d0699a4-45eb-4903-96d9-cd288a9cee0b	4	10229874	34785333	16966	0.0112
7d0699a4-45eb-4903-96d9-cd288a9cee0b	4	34785368	34823103	36	0.4274
7d0699a4-45eb-4903-96d9-cd288a9cee0b	4	34828250	68478894	19429	0.012
7d0699a4-45eb-4903-96d9-cd288a9cee0b	4	68494770	68618391	65	-1.2668
7d0699a4-45eb-4903-96d9-cd288a9cee0b	4	68620122	69257792	315	-0.0053
7d0699a4-45eb-4903-96d9-cd288a9cee0b	4	69261926	69359132	48	-0.5537
7d0699a4-45eb-4903-96d9-cd288a9cee0b	4	69361181	69523998	116	0.0023
7d0699a4-45eb-4903-96d9-cd288a9cee0b	4	69524143	69525061	2	-1.8476
7d0699a4-45eb-4903-96d9-cd288a9cee0b	4	69526170	114252544	27187	0.0152
7d0699a4-45eb-4903-96d9-cd288a9cee0b	4	114254167	114261019	23	0.6252
7d0699a4-45eb-4903-96d9-cd288a9cee0b	4	114263073	129141596	8712	0.02
7d0699a4-45eb-4903-96d9-cd288a9cee0b	4	129146391	129147005	2	-3.0312
7d0699a4-45eb-4903-96d9-cd288a9cee0b	4	129151408	171448195	25895	0.0164
7d0699a4-45eb-4903-96d9-cd288a9cee0b	4	171453733	171456307	9	1.158
7d0699a4-45eb-4903-96d9-cd288a9cee0b	4	171456559	190106768	12467	0.0134
7d0699a4-45eb-4903-96d9-cd288a9cee0b	5	15532	58025819	35700	0.0113
7d0699a4-45eb-4903-96d9-cd288a9cee0b	5	58030200	58037706	32	1.3038
7d0699a4-45eb-4903-96d9-cd288a9cee0b	5	58042530	63551146	3590	0.0183
7d0699a4-45eb-4903-96d9-cd288a9cee0b	5	63551346	63552871	2	-1.5565
7d0699a4-45eb-4903-96d9-cd288a9cee0b	5	63556088	69550476	3699	0.0226
7d0699a4-45eb-4903-96d9-cd288a9cee0b	5	69571467	69937617	7	1.0501
7d0699a4-45eb-4903-96d9-cd288a9cee0b	5	70017846	108176444	21929	0.0134
7d0699a4-45eb-4903-96d9-cd288a9cee0b	5	108177065	108177082	2	-3.5735
7d0699a4-45eb-4903-96d9-cd288a9cee0b	5	108180000	116073931	5407	0.0127
7d0699a4-45eb-4903-96d9-cd288a9cee0b	5	116076625	116153997	53	-1.0239
7d0699a4-45eb-4903-96d9-cd288a9cee0b	5	116154368	152134539	22847	0.0148
7d0699a4-45eb-4903-96d9-cd288a9cee0b	5	152134610	152138502	11	-0.7489
7d0699a4-45eb-4903-96d9-cd288a9cee0b	5	152138527	181363319	19443	0.0106
7d0699a4-45eb-4903-96d9-cd288a9cee0b	6	149661	29875657	21635	0.0121
7d0699a4-45eb-4903-96d9-cd288a9cee0b	6	29876257	29881490	7	-1.4255
7d0699a4-45eb-4903-96d9-cd288a9cee0b	6	29882419	32641650	1227	0.0265
7d0699a4-45eb-4903-96d9-cd288a9cee0b	6	32656527	32658841	6	-1.2537
