GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	62920	2244878	396	0.0044
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	2247846	3390822	404	0.1384
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	3391470	8142933	3249	-0.0101
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	8146070	8149261	6	1.0144
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	8157027	15823420	4284	-0.0218
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	15827002	15827430	6	-0.9443
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	15827706	16525019	301	-0.0147
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	16542868	16689764	37	0.3927
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	16718963	56048167	22507	-0.0163
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	56050751	56053350	3	-1.4228
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	56058075	60511630	3434	-0.0258
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	60517529	60518110	4	-1.2608
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	60519714	61648334	854	-0.0159
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	61648509	61652515	3	-1.5003
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	61654137	66041959	3236	0.0103
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	66043331	66043431	2	-1.6585
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	66045721	66563875	413	-0.054
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	66564027	66572532	12	-0.7976
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	66574047	68583300	1446	0.0044
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	68584726	68588922	7	-1.1656
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	68589471	69421019	429	-0.004
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	69421209	69443791	15	-0.995
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	69448198	72111831	1618	0.0015
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	72117692	72118501	2	-1.7362
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	72119743	72303233	114	0.0689
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	72303253	72345465	45	-1.6595
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	72346221	101587401	18837	0.0014
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	101587997	101588220	2	-2.5394
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	101593708	102346607	535	-0.0029
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	102350442	102350985	3	-1.4585
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	102353061	102759955	258	0.0237
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	102760143	102760665	2	-1.25
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	102762835	103941216	490	0.0467
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	103942312	103942331	2	-2.5165
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	103944770	105470754	819	0.0373
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	105476583	105479753	17	1.0142
f517c7a6-c2c4-4fb4-8bbc-ce163c6719e7	1	105481433	105491593	12	-0.3932
