GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a86be412-93b1-4891-9eae-b2efe14f659b	1	62920	27671057	14003	-0.0808
a86be412-93b1-4891-9eae-b2efe14f659b	1	27671883	27720026	20	-2.3475
a86be412-93b1-4891-9eae-b2efe14f659b	1	27722224	100809462	42795	-0.0251
a86be412-93b1-4891-9eae-b2efe14f659b	1	100809556	100810975	4	-5.7405
a86be412-93b1-4891-9eae-b2efe14f659b	1	100811038	101211624	212	-0.0645
a86be412-93b1-4891-9eae-b2efe14f659b	1	101212975	101218859	5	-4.9947
a86be412-93b1-4891-9eae-b2efe14f659b	1	101218962	208664109	48268	0.0071
a86be412-93b1-4891-9eae-b2efe14f659b	1	208664298	208664621	3	-6.3904
a86be412-93b1-4891-9eae-b2efe14f659b	1	208667395	211512678	1915	-0.0784
a86be412-93b1-4891-9eae-b2efe14f659b	1	211512879	211519729	13	-3.2897
a86be412-93b1-4891-9eae-b2efe14f659b	1	211519970	223470457	7586	-0.0172
a86be412-93b1-4891-9eae-b2efe14f659b	1	223470580	223473524	12	-3.4155
a86be412-93b1-4891-9eae-b2efe14f659b	1	223473833	234168164	6626	-0.0156
a86be412-93b1-4891-9eae-b2efe14f659b	1	234169430	234173185	3	-6.1678
a86be412-93b1-4891-9eae-b2efe14f659b	1	234173214	241928319	5460	-0.0591
a86be412-93b1-4891-9eae-b2efe14f659b	1	241933249	241935113	4	-4.9531
a86be412-93b1-4891-9eae-b2efe14f659b	1	241936500	244674568	1660	-0.0144
a86be412-93b1-4891-9eae-b2efe14f659b	1	244675366	244687732	9	-3.9767
a86be412-93b1-4891-9eae-b2efe14f659b	1	244688052	245839662	731	-0.0515
a86be412-93b1-4891-9eae-b2efe14f659b	1	245840236	245843320	6	-4.5773
a86be412-93b1-4891-9eae-b2efe14f659b	1	245847334	248930189	1761	0.0565
a86be412-93b1-4891-9eae-b2efe14f659b	2	12784	1819462	1098	-0.1717
a86be412-93b1-4891-9eae-b2efe14f659b	2	1823413	1836847	8	-4.655
a86be412-93b1-4891-9eae-b2efe14f659b	2	1839002	4650539	2073	-0.1592
a86be412-93b1-4891-9eae-b2efe14f659b	2	4652890	4653861	3	-6.9148
a86be412-93b1-4891-9eae-b2efe14f659b	2	4654312	73130508	43458	-0.0252
a86be412-93b1-4891-9eae-b2efe14f659b	2	73131164	73145477	7	-4.4568
a86be412-93b1-4891-9eae-b2efe14f659b	2	73146922	133089557	29540	-0.0467
a86be412-93b1-4891-9eae-b2efe14f659b	2	133089907	133096873	5	-5.2395
a86be412-93b1-4891-9eae-b2efe14f659b	2	133097484	140269110	4270	-0.0475
a86be412-93b1-4891-9eae-b2efe14f659b	2	140269417	140269590	2	-7.8231
a86be412-93b1-4891-9eae-b2efe14f659b	2	140270088	152862488	7221	-0.025
a86be412-93b1-4891-9eae-b2efe14f659b	2	152862547	152862907	2	-7.2696
a86be412-93b1-4891-9eae-b2efe14f659b	2	152863659	170107650	9568	0.0081
a86be412-93b1-4891-9eae-b2efe14f659b	2	170108075	170114069	5	-4.636
a86be412-93b1-4891-9eae-b2efe14f659b	2	170114181	242147305	41377	-0.0213
a86be412-93b1-4891-9eae-b2efe14f659b	3	20930	13236379	9995	-0.0514
a86be412-93b1-4891-9eae-b2efe14f659b	3	13239950	13242835	7	-4.5293
