GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	62920	3301765	738	0.6322
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	3302046	3400217	67	-0.0239
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	3402150	3410239	7	1.0871
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	3410905	3864478	231	-0.0763
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	3868897	3876237	6	1.0098
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	3876402	4242101	220	-0.0538
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	4248843	4248974	2	-2.2081
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	4251925	5054493	791	-0.0025
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	5060514	5069166	9	-1.2429
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	5074571	5081580	8	0.8516
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	5083184	5292432	181	0.0189
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	5292488	5314123	24	0.6974
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	5314624	5958331	505	-0.0222
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	5963169	5996669	20	0.7124
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	5997665	9247978	1849	-0.0058
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	9255788	9344921	60	0.6166
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	9346920	9719445	170	-0.083
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	9719957	9729792	5	1.0772
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	9734247	9863683	50	0.0911
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	9864887	9914746	28	-0.301
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	9922112	9933962	7	0.1618
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	9934281	9952956	6	0.8348
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	9957375	10030667	31	-0.1333
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	10031603	10042953	6	1.1668
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	10046717	10176344	62	-0.0275
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	10176433	10198748	13	0.8047
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	10199842	10310884	74	0.1665
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	10310964	10321714	13	0.7292
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	10321730	10480091	80	0.0057
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	10482064	10488805	7	0.9173
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	10489323	10557134	52	-0.0399
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	10557215	10572525	8	1.215
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	10573188	10588748	10	0.1811
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	10589000	12714696	1096	-0.0843
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	12715848	12721914	6	1.0651
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	12722469	13326062	89	-0.0438
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	13338980	13468357	25	0.7551
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	13468981	15158643	1350	0.0082
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	15158818	15169409	18	0.8905
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	15173606	15685529	337	0.04
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	15686162	15761329	29	0.7309
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	15761501	15822042	44	-0.0259
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	15822508	15844541	21	1.2634
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	15850269	15891708	17	-0.1422
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	15895570	15915562	10	0.4396
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	15916208	16018332	50	-0.1269
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	16018760	16063907	10	0.6865
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	16071582	16235030	76	-0.01
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	16237453	16264685	15	0.8562
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	16266874	16470247	95	0.0062
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	16471261	16504325	15	1.0601
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	16505368	16679483	37	0.403
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	16685961	16721984	9	1.1736
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	16766762	16864367	16	0.1475
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	16868660	16997950	75	0.9369
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	16999460	17205087	162	-0.0538
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	17207815	17215454	6	1.2683
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	17215953	17261667	38	-0.0396
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	17262510	17296159	32	0.7394
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	17296370	21295043	2672	-0.0333
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	21295676	21313631	12	0.814
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	21313902	21358952	33	-0.0614
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	21361264	21416376	37	0.6632
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	21416520	21820584	236	-0.0464
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	21820786	21837671	6	1.1454
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	21838233	21971792	79	-0.1857
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	21974705	21983381	4	1.1094
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	21985415	22015896	10	-0.3121
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	22017709	22108654	58	0.5417
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	22109230	22177779	42	-0.0338
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	22180930	22187743	7	0.765
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	22188162	22323501	120	-0.0601
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	22327057	22338281	5	1.0276
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	22338717	23808306	848	-0.0034
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	23808684	23833167	8	1.043
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	23833883	25086975	700	-0.0163
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	25088630	25118369	18	0.3631
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	25118529	25132863	27	0.8743
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	25132881	25140735	27	0.359
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	25144337	25205993	34	0.0055
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	25209597	25277975	29	0.9681
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	25278567	25284961	3	2.6806
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	25289805	25320455	10	1.4575
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	25336819	25359353	11	0.7494
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	25360708	26477915	530	-0.0191
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	26477986	26546754	29	0.6292
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	26549798	27014714	150	0.0039
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	27020298	27072223	23	0.6817
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	27072293	27481107	149	-0.0609
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	27483067	27518482	13	0.7681
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	27522032	28062068	252	0.0329
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	28062358	28090960	13	0.8556
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	28094025	28171817	38	0.0359
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	28172370	28186296	9	1.1485
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	28188781	30182365	1083	0.0001
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	30182680	30192672	14	0.6984
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	30193293	30239145	39	0.0479
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	30239810	30244186	14	0.7902
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	30245401	30261189	19	0.2055
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	30264526	30266949	8	0.8281
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	30268649	30676849	345	0.0191
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	30678096	30789158	74	0.6342
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	30789990	34622204	2129	0.0119
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	34622496	34652324	30	0.5268
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	34652430	34667132	15	0.0071
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	34667662	34668244	5	-0.9756
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	34670604	36390356	757	-0.0006
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	36391072	36395199	6	1.0713
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	36396653	37187058	548	-0.0121
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	37196309	37202106	8	-0.9948
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	37214275	37379639	118	0.0125
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	37383192	37455082	46	0.6124
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	37455442	39638789	1193	-0.0278
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	39638912	39702915	33	0.6739
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	39703002	40872993	630	0.0353
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	40874397	40918052	24	0.62
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	40918166	44136710	1983	-0.0035
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	44136750	44149504	7	0.9331
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	44153540	44768812	360	-0.0078
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	44770304	44803970	10	0.9481
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	44812422	45772399	431	0.0067
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	45774377	45791218	14	0.9889
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	45796457	45893907	57	0.0406
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	45894382	46129164	119	0.515
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	46130011	46651453	261	0.0643
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	46652358	46656442	6	-1.0568
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	46658631	47111158	227	0.0373
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	47113139	47122807	4	-1.5109
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	47125936	48962631	1305	0.0372
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	48962674	49040703	46	-0.4109
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	49040910	49443468	175	-0.0423
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	49448451	49522138	25	-1.2038
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	49527566	49945705	154	-0.0132
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	49949454	49960870	8	-1.9239
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	49966790	50079573	43	-0.048
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	50080457	50081494	3	-1.4594
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	50083857	50495204	241	0.013
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	50498368	50850914	152	0.2853
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	50851614	50860679	4	-1.4388
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	50868570	54733339	2092	0.0277
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	54741821	54808846	54	0.6792
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	54808979	57468056	2172	0.0025
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	57468283	57469091	4	-1.868
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	57470521	60509857	2249	-0.0071
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	60510134	60519714	7	-1.3028
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	60521393	60676978	96	-0.0647
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	60679560	60680620	4	-1.3705
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	60681095	60972702	242	-0.03
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	60973203	60978235	9	-0.6923
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	60979736	61580384	436	0.0768
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	61581991	61584191	6	-1.079
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	61584464	61976080	318	0.0673
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	61976129	62008479	34	0.5847
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	62011403	66567137	3362	0.0289
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	66569309	66571353	2	-4.4684
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	66572215	68025336	1040	0.0606
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	68026043	68037052	9	-1.0813
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	68037761	68695547	462	0.0611
a54b5af6-c093-4f2b-bbf2-0c1428a029f9	1	68700162	68973439	139	-0.3533
