miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.270181	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.270181	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	1.080726	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.540363	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	11	2.971995	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	216	58.359183	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5131	1386.300776	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	12065	3259.738621	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	22826	6167.160693	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	387	104.560203	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	5	1.350907	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.270181	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	0.810544	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	9	2.431633	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.270181	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	3	0.810544	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	23	6.214172	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	74	19.993424	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	3	0.810544	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	11	2.971995	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	26	7.024716	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.540363	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175998-94176014:+	1	0.270181	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	6	1.621088	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	21	5.673809	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	21	5.673809	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.540363	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.270181	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176035:+	1	0.270181	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	4	1.080726	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.540363	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146587:-	1	0.270181	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	4	1.080726	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	2	0.540363	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.270181	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	355	95.914398	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	32	8.645805	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	64	17.291610	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	3	0.810544	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	9	2.431633	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	22833	6169.051963	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	4	1.080726	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	26	7.024716	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.270181	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	4	1.080726	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	11942	3226.506309	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.270181	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.270181	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	5102	1378.465516	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.270181	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	190	51.334466	N	mature,MIMAT0000062
