GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-G4-6302-01A-11D-A920-36	chr1	17001	12802000	11811	-0.003342
TCGA-G4-6302-01A-11D-A920-36	chr1	12802001	12885000	69	0.613535
TCGA-G4-6302-01A-11D-A920-36	chr1	12885001	16602000	3290	-0.005286
TCGA-G4-6302-01A-11D-A920-36	chr1	16602001	16633000	30	-0.151050
TCGA-G4-6302-01A-11D-A920-36	chr1	16633001	16949000	176	0.082668
TCGA-G4-6302-01A-11D-A920-36	chr1	16949001	72290000	54951	-0.001560
TCGA-G4-6302-01A-11D-A920-36	chr1	72290001	72298000	8	-29.764914
TCGA-G4-6302-01A-11D-A920-36	chr1	72298001	122866000	47366	-0.000294
TCGA-G4-6302-01A-11D-A920-36	chr1	122877001	122890000	3	-2.772562
TCGA-G4-6302-01A-11D-A920-36	chr1	122890001	123936000	123	-0.352218
TCGA-G4-6302-01A-11D-A920-36	chr1	123950001	123957000	2	-6.191870
TCGA-G4-6302-01A-11D-A920-36	chr1	123969001	124821000	153	-0.069453
TCGA-G4-6302-01A-11D-A920-36	chr1	124879001	124926000	4	-2.046161
TCGA-G4-6302-01A-11D-A920-36	chr1	124940001	175470000	28015	0.003712
TCGA-G4-6302-01A-11D-A920-36	chr1	175470001	175793000	323	0.576580
TCGA-G4-6302-01A-11D-A920-36	chr1	175793001	248931000	71987	0.000138
TCGA-G4-6302-01A-11D-A920-36	chr2	11001	241912000	232691	-0.001043
TCGA-G4-6302-01A-11D-A920-36	chr2	241912001	241941000	28	-29.722106
TCGA-G4-6302-01A-11D-A920-36	chr2	241941001	241942000	1	-8.449767
TCGA-G4-6302-01A-11D-A920-36	chr2	241942001	241994000	52	-29.738924
TCGA-G4-6302-01A-11D-A920-36	chr2	241994001	241997000	3	-29.733300
TCGA-G4-6302-01A-11D-A920-36	chr2	241997001	242002000	5	-9.402406
TCGA-G4-6302-01A-11D-A920-36	chr2	242002001	242012000	5	-29.731994
TCGA-G4-6302-01A-11D-A920-36	chr2	242012001	242014000	2	-9.509996
TCGA-G4-6302-01A-11D-A920-36	chr2	242014001	242018000	4	-29.706980
TCGA-G4-6302-01A-11D-A920-36	chr2	242018001	242019000	1	-8.331514
TCGA-G4-6302-01A-11D-A920-36	chr2	242019001	242031000	11	-29.741127
TCGA-G4-6302-01A-11D-A920-36	chr2	242031001	242033000	2	-9.485531
TCGA-G4-6302-01A-11D-A920-36	chr2	242033001	242041000	8	-29.742167
TCGA-G4-6302-01A-11D-A920-36	chr2	242041001	242043000	2	-29.592394
TCGA-G4-6302-01A-11D-A920-36	chr2	242043001	242044000	1	-7.363139
TCGA-G4-6302-01A-11D-A920-36	chr2	242044001	242047000	3	-29.759102
TCGA-G4-6302-01A-11D-A920-36	chr2	242048001	242049000	1	-8.407996
TCGA-G4-6302-01A-11D-A920-36	chr2	242049001	242051000	2	-29.690883
TCGA-G4-6302-01A-11D-A920-36	chr2	242051001	242052000	1	-9.393668
TCGA-G4-6302-01A-11D-A920-36	chr2	242052001	242070000	18	-29.757879
TCGA-G4-6302-01A-11D-A920-36	chr2	242070001	242073000	3	-29.767550
TCGA-G4-6302-01A-11D-A920-36	chr2	242073001	242079000	6	-29.729020
TCGA-G4-6302-01A-11D-A920-36	chr2	242080001	242081000	1	-8.343687
TCGA-G4-6302-01A-11D-A920-36	chr2	242081001	242093000	8	-29.731701
TCGA-G4-6302-01A-11D-A920-36	chr2	242093001	242159000	37	0.030083
TCGA-G4-6302-01A-11D-A920-36	chr3	12001	46754000	46503	-0.001906
TCGA-G4-6302-01A-11D-A920-36	chr3	46754001	46809000	47	-0.931043
TCGA-G4-6302-01A-11D-A920-36	chr3	46809001	65203000	18304	-0.004616
TCGA-G4-6302-01A-11D-A920-36	chr3	65203001	65229000	26	-0.897521
TCGA-G4-6302-01A-11D-A920-36	chr3	65229001	90711000	25282	-0.003829
TCGA-G4-6302-01A-11D-A920-36	chr3	90717001	91153000	24	-0.979696
TCGA-G4-6302-01A-11D-A920-36	chr3	91168001	125726000	32051	0.000706
TCGA-G4-6302-01A-11D-A920-36	chr3	125726001	125748000	22	-0.989881
TCGA-G4-6302-01A-11D-A920-36	chr3	125748001	165323000	39139	-0.003727
TCGA-G4-6302-01A-11D-A920-36	chr3	165323001	165365000	42	-0.974378
TCGA-G4-6302-01A-11D-A920-36	chr3	165365001	177662000	12239	0.000655
TCGA-G4-6302-01A-11D-A920-36	chr3	177662001	177668000	6	-0.046993
TCGA-G4-6302-01A-11D-A920-36	chr3	177668001	195616000	17796	-0.001551
TCGA-G4-6302-01A-11D-A920-36	chr3	195616001	195722000	82	0.661577
TCGA-G4-6302-01A-11D-A920-36	chr3	195722001	198175000	2366	0.003472
TCGA-G4-6302-01A-11D-A920-36	chr4	15001	34780000	34135	-0.005885
TCGA-G4-6302-01A-11D-A920-36	chr4	34780001	34790000	10	-29.713383
TCGA-G4-6302-01A-11D-A920-36	chr4	34790001	34798000	8	-9.043854
TCGA-G4-6302-01A-11D-A920-36	chr4	34798001	34827000	29	-29.705838
TCGA-G4-6302-01A-11D-A920-36	chr4	34827001	49091000	14205	-0.000977
TCGA-G4-6302-01A-11D-A920-36	chr4	49091001	49271000	146	-0.225039
TCGA-G4-6302-01A-11D-A920-36	chr4	49271001	49308000	9	-0.608209
TCGA-G4-6302-01A-11D-A920-36	chr4	49308001	49658000	142	0.617034
TCGA-G4-6302-01A-11D-A920-36	chr4	49709001	190204000	136895	-0.000378
TCGA-G4-6302-01A-11D-A920-36	chr5	13001	181474000	173942	-0.001818
TCGA-G4-6302-01A-11D-A920-36	chr6	148001	256000	108	-0.023274
TCGA-G4-6302-01A-11D-A920-36	chr6	256001	381000	125	-0.022428
TCGA-G4-6302-01A-11D-A920-36	chr6	381001	32662000	31821	0.000427
TCGA-G4-6302-01A-11D-A920-36	chr6	32662001	78257000	43399	0.001592
TCGA-G4-6302-01A-11D-A920-36	chr6	78257001	78327000	70	-0.791055
TCGA-G4-6302-01A-11D-A920-36	chr6	78327001	170612000	91526	0.000548
TCGA-G4-6302-01A-11D-A920-36	chr7	35001	26097000	25707	0.005372
TCGA-G4-6302-01A-11D-A920-36	chr7	26097001	26106000	9	-29.854565
TCGA-G4-6302-01A-11D-A920-36	chr7	26106001	100730000	68354	0.000043
TCGA-G4-6302-01A-11D-A920-36	chr7	100730001	100740000	10	-29.734944
TCGA-G4-6302-01A-11D-A920-36	chr7	100743001	111395000	10352	0.001762
TCGA-G4-6302-01A-11D-A920-36	chr7	111395001	111451000	53	-1.005605
TCGA-G4-6302-01A-11D-A920-36	chr7	111451001	144179000	32211	0.001013
TCGA-G4-6302-01A-11D-A920-36	chr7	144198001	144355000	16	-0.543832
TCGA-G4-6302-01A-11D-A920-36	chr7	144377001	159335000	14706	-0.001861
TCGA-G4-6302-01A-11D-A920-36	chr8	205001	7406000	6657	0.093576
TCGA-G4-6302-01A-11D-A920-36	chr8	7411001	8196000	56	0.755708
TCGA-G4-6302-01A-11D-A920-36	chr8	8231001	12037000	3789	0.105467
TCGA-G4-6302-01A-11D-A920-36	chr8	12037001	12328000	31	1.148952
TCGA-G4-6302-01A-11D-A920-36	chr8	12374001	12394000	17	-0.719230
