miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	4	0.318946	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	4	0.318946	N	precursor
hsa-let-7a-1	hg38:chr9:94175944-94175962:+	1	0.079737	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.079737	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	1	0.079737	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175979:+	2	0.159473	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.079737	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	9	0.717629	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	0.239210	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	23	1.833942	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	605	48.240648	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	12581	1003.166261	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	9670	771.052996	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	25793	2056.646321	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	468	37.316732	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	13	1.036576	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175989:+	1	0.079737	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	2	0.159473	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	26	2.073152	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	64	5.103143	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	282	22.485723	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	7	0.558156	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	3	0.239210	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	4	0.318946	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	42	3.348938	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	162	12.917330	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	6	0.478420	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.079737	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	5	0.398683	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	41	3.269201	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.159473	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	8	0.637893	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.079737	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175990:+	1	0.079737	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	3	0.239210	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175986:+	1	0.079737	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176005:+	1	0.079737	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.079737	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.079737	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176029:+	3	0.239210	N	mature,MIMAT0004481
