GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AA-3514-01A-02D-1547-02	chr1	17001	817000	49	-2.002698
TCGA-AA-3514-01A-02D-1547-02	chr1	818001	1750000	864	-0.319418
TCGA-AA-3514-01A-02D-1547-02	chr1	1752001	3858000	1976	-0.149213
TCGA-AA-3514-01A-02D-1547-02	chr1	3858001	4859000	992	-0.076651
TCGA-AA-3514-01A-02D-1547-02	chr1	4859001	4867000	8	-1.356656
TCGA-AA-3514-01A-02D-1547-02	chr1	4867001	5043000	176	-0.087240
TCGA-AA-3514-01A-02D-1547-02	chr1	5043001	5054000	11	-1.136404
TCGA-AA-3514-01A-02D-1547-02	chr1	5054001	7412000	2353	-0.085967
TCGA-AA-3514-01A-02D-1547-02	chr1	7412001	7418000	6	-2.146900
TCGA-AA-3514-01A-02D-1547-02	chr1	7418001	7597000	179	-0.072439
TCGA-AA-3514-01A-02D-1547-02	chr1	7597001	7605000	8	-2.770051
TCGA-AA-3514-01A-02D-1547-02	chr1	7605001	12863000	5248	-0.081192
TCGA-AA-3514-01A-02D-1547-02	chr1	12863001	13007000	18	-1.205300
TCGA-AA-3514-01A-02D-1547-02	chr1	13056001	13226000	26	-0.017912
TCGA-AA-3514-01A-02D-1547-02	chr1	13226001	13312000	25	-0.610264
TCGA-AA-3514-01A-02D-1547-02	chr1	13313001	13359000	32	-1.919213
TCGA-AA-3514-01A-02D-1547-02	chr1	13359001	13481000	119	-0.326162
TCGA-AA-3514-01A-02D-1547-02	chr1	13481001	14382000	899	-0.054592
TCGA-AA-3514-01A-02D-1547-02	chr1	14382001	14390000	8	-3.134899
TCGA-AA-3514-01A-02D-1547-02	chr1	14390001	16507000	2110	-0.087358
TCGA-AA-3514-01A-02D-1547-02	chr1	16507001	16554000	41	-1.444635
TCGA-AA-3514-01A-02D-1547-02	chr1	16567001	16585000	12	-4.347248
TCGA-AA-3514-01A-02D-1547-02	chr1	16585001	16596000	8	-2.784339
TCGA-AA-3514-01A-02D-1547-02	chr1	16599001	16603000	3	-4.681215
TCGA-AA-3514-01A-02D-1547-02	chr1	16604001	16647000	43	-0.606226
TCGA-AA-3514-01A-02D-1547-02	chr1	16647001	16676000	9	-1.907193
TCGA-AA-3514-01A-02D-1547-02	chr1	16676001	16686000	8	-0.707444
TCGA-AA-3514-01A-02D-1547-02	chr1	16686001	16714000	11	-3.053620
TCGA-AA-3514-01A-02D-1547-02	chr1	16715001	16729000	14	-0.864379
TCGA-AA-3514-01A-02D-1547-02	chr1	16729001	16761000	7	-29.434202
TCGA-AA-3514-01A-02D-1547-02	chr1	16764001	16865000	32	-1.741083
TCGA-AA-3514-01A-02D-1547-02	chr1	16867001	16879000	12	-2.788405
TCGA-AA-3514-01A-02D-1547-02	chr1	16879001	16949000	69	-1.706613
TCGA-AA-3514-01A-02D-1547-02	chr1	16949001	30577000	13481	-0.069658
TCGA-AA-3514-01A-02D-1547-02	chr1	30577001	30585000	8	-1.048820
TCGA-AA-3514-01A-02D-1547-02	chr1	30585001	33670000	3078	-0.047652
TCGA-AA-3514-01A-02D-1547-02	chr1	33670001	33678000	8	-3.539897
TCGA-AA-3514-01A-02D-1547-02	chr1	33678001	33829000	151	-0.008498
TCGA-AA-3514-01A-02D-1547-02	chr1	33829001	33833000	4	-3.997109
TCGA-AA-3514-01A-02D-1547-02	chr1	33836001	34092000	256	0.003728
TCGA-AA-3514-01A-02D-1547-02	chr1	34092001	34099000	5	-1.083092
TCGA-AA-3514-01A-02D-1547-02	chr1	34099001	37208000	3095	-0.048185
TCGA-AA-3514-01A-02D-1547-02	chr1	37208001	37214000	6	-2.300815
TCGA-AA-3514-01A-02D-1547-02	chr1	37214001	45181000	7917	-0.048147
TCGA-AA-3514-01A-02D-1547-02	chr1	45181001	45186000	5	-2.971001
TCGA-AA-3514-01A-02D-1547-02	chr1	45186001	46014000	824	-0.043882
TCGA-AA-3514-01A-02D-1547-02	chr1	46014001	46018000	4	-1.684247
TCGA-AA-3514-01A-02D-1547-02	chr1	46018001	47059000	1026	-0.050013
TCGA-AA-3514-01A-02D-1547-02	chr1	47059001	47166000	97	-0.274181
TCGA-AA-3514-01A-02D-1547-02	chr1	47166001	47172000	6	-1.936840
TCGA-AA-3514-01A-02D-1547-02	chr1	47172001	48275000	1096	-0.012073
TCGA-AA-3514-01A-02D-1547-02	chr1	48275001	48284000	9	-1.875726
TCGA-AA-3514-01A-02D-1547-02	chr1	48284001	49259000	969	0.014866
TCGA-AA-3514-01A-02D-1547-02	chr1	49260001	49264000	4	-0.702400
TCGA-AA-3514-01A-02D-1547-02	chr1	49264001	52171000	2899	-0.003210
TCGA-AA-3514-01A-02D-1547-02	chr1	52171001	52179000	8	-2.577757
TCGA-AA-3514-01A-02D-1547-02	chr1	52179001	55562000	3374	-0.035823
TCGA-AA-3514-01A-02D-1547-02	chr1	55562001	55569000	7	-2.671079
TCGA-AA-3514-01A-02D-1547-02	chr1	55569001	58966000	3369	-0.013868
TCGA-AA-3514-01A-02D-1547-02	chr1	58966001	59249000	282	0.057027
TCGA-AA-3514-01A-02D-1547-02	chr1	59249001	59257000	8	-1.126893
TCGA-AA-3514-01A-02D-1547-02	chr1	59257001	59367000	110	0.076276
TCGA-AA-3514-01A-02D-1547-02	chr1	59367001	59375000	8	-2.631678
TCGA-AA-3514-01A-02D-1547-02	chr1	59375001	59533000	158	0.043499
TCGA-AA-3514-01A-02D-1547-02	chr1	59533001	59541000	8	-0.734421
TCGA-AA-3514-01A-02D-1547-02	chr1	59541001	59584000	43	-0.026188
TCGA-AA-3514-01A-02D-1547-02	chr1	59584001	59593000	9	-2.350720
TCGA-AA-3514-01A-02D-1547-02	chr1	59593001	60490000	892	0.021055
TCGA-AA-3514-01A-02D-1547-02	chr1	60490001	60496000	5	-5.313277
TCGA-AA-3514-01A-02D-1547-02	chr1	60496001	60641000	144	0.070456
TCGA-AA-3514-01A-02D-1547-02	chr1	60641001	60645000	3	-29.449187
TCGA-AA-3514-01A-02D-1547-02	chr1	60646001	60772000	126	0.054865
TCGA-AA-3514-01A-02D-1547-02	chr1	60772001	60782000	10	-1.607623
TCGA-AA-3514-01A-02D-1547-02	chr1	60782001	64350000	3560	-0.014950
TCGA-AA-3514-01A-02D-1547-02	chr1	64350001	64357000	7	-1.352537
TCGA-AA-3514-01A-02D-1547-02	chr1	64357001	65450000	1089	0.015580
TCGA-AA-3514-01A-02D-1547-02	chr1	65451001	65457000	6	-4.078064
TCGA-AA-3514-01A-02D-1547-02	chr1	65457001	65648000	185	-0.136476
TCGA-AA-3514-01A-02D-1547-02	chr1	65648001	68924000	3252	0.019345
TCGA-AA-3514-01A-02D-1547-02	chr1	68924001	68931000	7	-29.346616
TCGA-AA-3514-01A-02D-1547-02	chr1	68931001	70590000	1651	-0.023786
TCGA-AA-3514-01A-02D-1547-02	chr1	70590001	70601000	9	-1.427466
TCGA-AA-3514-01A-02D-1547-02	chr1	70601001	71109000	505	-0.009665
TCGA-AA-3514-01A-02D-1547-02	chr1	71109001	71112000	3	-29.133638
TCGA-AA-3514-01A-02D-1547-02	chr1	71112001	71216000	104	-0.089685
TCGA-AA-3514-01A-02D-1547-02	chr1	71216001	71221000	5	-3.424967
TCGA-AA-3514-01A-02D-1547-02	chr1	71221001	74346000	3062	-0.029367
TCGA-AA-3514-01A-02D-1547-02	chr1	74346001	74353000	7	-2.043507
TCGA-AA-3514-01A-02D-1547-02	chr1	74353001	75107000	751	-0.009398
TCGA-AA-3514-01A-02D-1547-02	chr1	75107001	75113000	6	-3.667598
TCGA-AA-3514-01A-02D-1547-02	chr1	75113001	75678000	556	0.006261
TCGA-AA-3514-01A-02D-1547-02	chr1	75678001	75684000	6	-3.790068
TCGA-AA-3514-01A-02D-1547-02	chr1	75684001	75698000	14	-0.012686
TCGA-AA-3514-01A-02D-1547-02	chr1	75698001	75703000	5	-2.387753
TCGA-AA-3514-01A-02D-1547-02	chr1	75703001	76909000	1201	-0.030202
TCGA-AA-3514-01A-02D-1547-02	chr1	76909001	76916000	7	-1.816295
TCGA-AA-3514-01A-02D-1547-02	chr1	76916001	78185000	1258	0.001306
TCGA-AA-3514-01A-02D-1547-02	chr1	78185001	78190000	5	-29.633536
TCGA-AA-3514-01A-02D-1547-02	chr1	78190001	79938000	1735	-0.024356
TCGA-AA-3514-01A-02D-1547-02	chr1	79938001	79943000	5	-2.055401
TCGA-AA-3514-01A-02D-1547-02	chr1	79944001	80394000	446	-0.071717
TCGA-AA-3514-01A-02D-1547-02	chr1	80394001	80400000	6	-2.241300
TCGA-AA-3514-01A-02D-1547-02	chr1	80400001	80584000	184	-0.182529
TCGA-AA-3514-01A-02D-1547-02	chr1	80584001	80733000	149	0.073441
TCGA-AA-3514-01A-02D-1547-02	chr1	80733001	80736000	3	-29.034894
TCGA-AA-3514-01A-02D-1547-02	chr1	80736001	80953000	207	-0.177521
TCGA-AA-3514-01A-02D-1547-02	chr1	80953001	82068000	1114	-0.064660
TCGA-AA-3514-01A-02D-1547-02	chr1	82068001	82074000	6	-2.710062
TCGA-AA-3514-01A-02D-1547-02	chr1	82074001	83125000	1041	-0.013976
TCGA-AA-3514-01A-02D-1547-02	chr1	83125001	83168000	42	-0.784814
TCGA-AA-3514-01A-02D-1547-02	chr1	83168001	83171000	3	-29.738172
TCGA-AA-3514-01A-02D-1547-02	chr1	83172001	83490000	283	-0.982435
TCGA-AA-3514-01A-02D-1547-02	chr1	83490001	85509000	2009	0.028939
TCGA-AA-3514-01A-02D-1547-02	chr1	85509001	85539000	20	-1.212830
TCGA-AA-3514-01A-02D-1547-02	chr1	85540001	85642000	102	0.056347
TCGA-AA-3514-01A-02D-1547-02	chr1	85642001	85648000	6	-2.937335
TCGA-AA-3514-01A-02D-1547-02	chr1	85648001	85824000	169	0.017230
TCGA-AA-3514-01A-02D-1547-02	chr1	85824001	85835000	9	-0.841128
TCGA-AA-3514-01A-02D-1547-02	chr1	85835001	86161000	319	-0.065843
TCGA-AA-3514-01A-02D-1547-02	chr1	86161001	86169000	8	-1.789639
TCGA-AA-3514-01A-02D-1547-02	chr1	86169001	86625000	452	-0.002148
TCGA-AA-3514-01A-02D-1547-02	chr1	86625001	86634000	9	-1.362282
TCGA-AA-3514-01A-02D-1547-02	chr1	86634001	88351000	1705	-0.005744
TCGA-AA-3514-01A-02D-1547-02	chr1	88351001	90167000	1800	-0.016691
TCGA-AA-3514-01A-02D-1547-02	chr1	90167001	90175000	8	-2.982401
TCGA-AA-3514-01A-02D-1547-02	chr1	90175001	91287000	1104	-0.005425
TCGA-AA-3514-01A-02D-1547-02	chr1	91287001	91295000	8	-1.499249
TCGA-AA-3514-01A-02D-1547-02	chr1	91295001	91448000	151	-0.025488
TCGA-AA-3514-01A-02D-1547-02	chr1	91448001	92232000	781	-0.030176
TCGA-AA-3514-01A-02D-1547-02	chr1	92232001	92239000	7	-4.361126
TCGA-AA-3514-01A-02D-1547-02	chr1	92239001	92892000	653	-0.061402
TCGA-AA-3514-01A-02D-1547-02	chr1	92892001	92898000	6	-4.027859
TCGA-AA-3514-01A-02D-1547-02	chr1	92898001	93402000	503	-0.001651
TCGA-AA-3514-01A-02D-1547-02	chr1	93402001	93408000	6	-2.682141
TCGA-AA-3514-01A-02D-1547-02	chr1	93408001	93509000	101	0.025386
TCGA-AA-3514-01A-02D-1547-02	chr1	93509001	93515000	6	-4.963756
TCGA-AA-3514-01A-02D-1547-02	chr1	93515001	93856000	334	-0.013515
TCGA-AA-3514-01A-02D-1547-02	chr1	93856001	93862000	6	-2.814020
TCGA-AA-3514-01A-02D-1547-02	chr1	93862001	95298000	1432	-0.000985
TCGA-AA-3514-01A-02D-1547-02	chr1	95298001	96050000	752	0.038145
TCGA-AA-3514-01A-02D-1547-02	chr1	96050001	96058000	8	-1.548426
TCGA-AA-3514-01A-02D-1547-02	chr1	96058001	96861000	797	-0.049009
TCGA-AA-3514-01A-02D-1547-02	chr1	96861001	97285000	424	0.035946
TCGA-AA-3514-01A-02D-1547-02	chr1	97285001	97292000	7	-1.707812
TCGA-AA-3514-01A-02D-1547-02	chr1	97292001	99399000	2095	-0.037390
TCGA-AA-3514-01A-02D-1547-02	chr1	99399001	99405000	6	-2.518861
TCGA-AA-3514-01A-02D-1547-02	chr1	99405001	99507000	102	-0.013470
TCGA-AA-3514-01A-02D-1547-02	chr1	99507001	99515000	8	-1.209265
TCGA-AA-3514-01A-02D-1547-02	chr1	99515001	100677000	1161	-0.003606
TCGA-AA-3514-01A-02D-1547-02	chr1	100677001	100682000	5	-2.991082
TCGA-AA-3514-01A-02D-1547-02	chr1	100682001	102443000	1756	-0.026554
TCGA-AA-3514-01A-02D-1547-02	chr1	102443001	102449000	6	-2.725798
TCGA-AA-3514-01A-02D-1547-02	chr1	102449001	102925000	476	-0.091758
TCGA-AA-3514-01A-02D-1547-02	chr1	102925001	102935000	8	-0.906761
TCGA-AA-3514-01A-02D-1547-02	chr1	102935001	103045000	109	-0.077703
TCGA-AA-3514-01A-02D-1547-02	chr1	103045001	103051000	6	-2.689063
TCGA-AA-3514-01A-02D-1547-02	chr1	103051001	104935000	1706	-0.091861
TCGA-AA-3514-01A-02D-1547-02	chr1	104935001	104941000	6	-3.893351
TCGA-AA-3514-01A-02D-1547-02	chr1	104941001	106545000	1586	-0.057764
TCGA-AA-3514-01A-02D-1547-02	chr1	106545001	108358000	1721	-0.015228
TCGA-AA-3514-01A-02D-1547-02	chr1	108358001	108364000	6	-1.854093
TCGA-AA-3514-01A-02D-1547-02	chr1	108364001	108487000	26	-0.483516
TCGA-AA-3514-01A-02D-1547-02	chr1	108487001	108495000	8	-2.555142
TCGA-AA-3514-01A-02D-1547-02	chr1	108495001	112222000	3676	-0.022472
TCGA-AA-3514-01A-02D-1547-02	chr1	112222001	112226000	4	-28.966115
TCGA-AA-3514-01A-02D-1547-02	chr1	112227001	113633000	1385	-0.024649
TCGA-AA-3514-01A-02D-1547-02	chr1	113633001	113640000	7	-3.304491
TCGA-AA-3514-01A-02D-1547-02	chr1	113640001	114183000	543	-0.055164
TCGA-AA-3514-01A-02D-1547-02	chr1	114183001	114188000	5	-5.886516
TCGA-AA-3514-01A-02D-1547-02	chr1	114188001	114304000	116	0.076061
TCGA-AA-3514-01A-02D-1547-02	chr1	114304001	114310000	6	-2.594456
TCGA-AA-3514-01A-02D-1547-02	chr1	114310001	115014000	704	-0.040782
TCGA-AA-3514-01A-02D-1547-02	chr1	115014001	115020000	6	-2.734195
TCGA-AA-3514-01A-02D-1547-02	chr1	115020001	116588000	1560	0.004656
TCGA-AA-3514-01A-02D-1547-02	chr1	116588001	116661000	73	-0.703221
TCGA-AA-3514-01A-02D-1547-02	chr1	116661001	117352000	689	0.007470
TCGA-AA-3514-01A-02D-1547-02	chr1	117352001	117359000	7	-3.191170
TCGA-AA-3514-01A-02D-1547-02	chr1	117359001	117722000	361	-0.008409
TCGA-AA-3514-01A-02D-1547-02	chr1	117722001	117728000	6	-2.197878
TCGA-AA-3514-01A-02D-1547-02	chr1	117728001	118281000	553	0.001238
TCGA-AA-3514-01A-02D-1547-02	chr1	118281001	118289000	8	-3.249701
TCGA-AA-3514-01A-02D-1547-02	chr1	118289001	118569000	279	-0.061294
TCGA-AA-3514-01A-02D-1547-02	chr1	118569001	118578000	8	-1.915752
TCGA-AA-3514-01A-02D-1547-02	chr1	118578001	119151000	567	-0.012968
