GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3293db12-2f7b-42f6-af27-750f4fd548e5	1	3301765	234853181	121579	0.0017
3293db12-2f7b-42f6-af27-750f4fd548e5	1	234854757	234869375	2	-1.4796
3293db12-2f7b-42f6-af27-750f4fd548e5	1	234869763	245380056	7071	0.0021
3293db12-2f7b-42f6-af27-750f4fd548e5	1	245381707	245381842	2	-1.4343
3293db12-2f7b-42f6-af27-750f4fd548e5	1	245383096	247650984	942	0.0052
3293db12-2f7b-42f6-af27-750f4fd548e5	2	480597	3736780	1400	-0.0023
3293db12-2f7b-42f6-af27-750f4fd548e5	2	3738935	3739347	3	-1.0178
3293db12-2f7b-42f6-af27-750f4fd548e5	2	3739424	85105322	48045	0.0041
3293db12-2f7b-42f6-af27-750f4fd548e5	2	85105337	85106283	2	-1.5734
3293db12-2f7b-42f6-af27-750f4fd548e5	2	85106853	241537572	82598	0.0014
3293db12-2f7b-42f6-af27-750f4fd548e5	3	2170634	182752983	99260	0.0022
3293db12-2f7b-42f6-af27-750f4fd548e5	3	182753298	182758826	3	-1.0935
3293db12-2f7b-42f6-af27-750f4fd548e5	3	182759171	197812401	7824	0.0048
3293db12-2f7b-42f6-af27-750f4fd548e5	4	1059384	187842528	103409	0.0009
3293db12-2f7b-42f6-af27-750f4fd548e5	5	913983	158463507	87384	0.0024
3293db12-2f7b-42f6-af27-750f4fd548e5	5	158464870	158466352	5	-1.119
3293db12-2f7b-42f6-af27-750f4fd548e5	5	158474608	163827459	3374	-0.0016
3293db12-2f7b-42f6-af27-750f4fd548e5	5	163829873	163831016	2	-1.5816
3293db12-2f7b-42f6-af27-750f4fd548e5	5	163831453	180934240	10251	-0.0009
3293db12-2f7b-42f6-af27-750f4fd548e5	6	1011760	161515034	92741	0.0015
3293db12-2f7b-42f6-af27-750f4fd548e5	6	161515153	161515966	13	-0.4817
3293db12-2f7b-42f6-af27-750f4fd548e5	6	161516075	170596889	4303	0.0004
3293db12-2f7b-42f6-af27-750f4fd548e5	7	664936	146698590	75504	0.0029
3293db12-2f7b-42f6-af27-750f4fd548e5	7	146698699	146700247	5	-1.0464
3293db12-2f7b-42f6-af27-750f4fd548e5	7	146700755	158592540	6359	0.0017
3293db12-2f7b-42f6-af27-750f4fd548e5	8	667625	144182542	82148	0.0014
3293db12-2f7b-42f6-af27-750f4fd548e5	9	789794	138044505	68420	0.0013
3293db12-2f7b-42f6-af27-750f4fd548e5	10	366509	133411599	81196	0.002
3293db12-2f7b-42f6-af27-750f4fd548e5	11	456012	134272740	77489	0.0025
3293db12-2f7b-42f6-af27-750f4fd548e5	12	780472	108325233	61334	0.0038
3293db12-2f7b-42f6-af27-750f4fd548e5	12	108325715	108326465	3	-1.0915
3293db12-2f7b-42f6-af27-750f4fd548e5	12	108326575	132605822	12921	0.0049
3293db12-2f7b-42f6-af27-750f4fd548e5	13	18874255	42723457	15225	0.0024
3293db12-2f7b-42f6-af27-750f4fd548e5	13	42728151	42728470	3	-0.9796
3293db12-2f7b-42f6-af27-750f4fd548e5	13	42729555	114226675	41697	0.0029
3293db12-2f7b-42f6-af27-750f4fd548e5	14	20033191	100422216	47549	-0.0007
3293db12-2f7b-42f6-af27-750f4fd548e5	14	100422943	100430463	4	-1.0135
3293db12-2f7b-42f6-af27-750f4fd548e5	14	100432010	105533894	2191	-0.0055
3293db12-2f7b-42f6-af27-750f4fd548e5	15	23437561	45335803	10682	0.0024
3293db12-2f7b-42f6-af27-750f4fd548e5	15	45343711	45351161	12	0.481
3293db12-2f7b-42f6-af27-750f4fd548e5	15	45355782	101344124	34043	0
3293db12-2f7b-42f6-af27-750f4fd548e5	16	603333	86412979	39783	0.0026
3293db12-2f7b-42f6-af27-750f4fd548e5	16	86413560	86413749	4	-0.9723
3293db12-2f7b-42f6-af27-750f4fd548e5	16	86413765	89317317	1393	0.0035
3293db12-2f7b-42f6-af27-750f4fd548e5	17	1074619	16355784	7794	-0.0022
3293db12-2f7b-42f6-af27-750f4fd548e5	17	16356234	16356884	2	-1.5165
3293db12-2f7b-42f6-af27-750f4fd548e5	17	16357255	82959812	29456	0.0002
3293db12-2f7b-42f6-af27-750f4fd548e5	18	326691	79349796	42914	0.0039
3293db12-2f7b-42f6-af27-750f4fd548e5	19	283868	58370362	24135	-0.0013
3293db12-2f7b-42f6-af27-750f4fd548e5	20	472817	63588502	37540	0.0003
3293db12-2f7b-42f6-af27-750f4fd548e5	21	13974127	46262057	20582	0.0014
3293db12-2f7b-42f6-af27-750f4fd548e5	22	16934932	42118887	12352	0.0021
3293db12-2f7b-42f6-af27-750f4fd548e5	22	42130462	42140331	2	1.3914
3293db12-2f7b-42f6-af27-750f4fd548e5	22	42144203	48940621	4734	0.0068
3293db12-2f7b-42f6-af27-750f4fd548e5	X	3236359	66412304	25165	0.0062
3293db12-2f7b-42f6-af27-750f4fd548e5	X	66412388	66412488	2	-3.0824
3293db12-2f7b-42f6-af27-750f4fd548e5	X	66412778	69193578	1174	-0.0045
3293db12-2f7b-42f6-af27-750f4fd548e5	X	69193808	69195010	3	-2.0583
3293db12-2f7b-42f6-af27-750f4fd548e5	X	69195851	143480312	31882	0.0091
3293db12-2f7b-42f6-af27-750f4fd548e5	X	143480569	143481801	3	-2.6546
3293db12-2f7b-42f6-af27-750f4fd548e5	X	143481826	155677414	5560	0.0154
