GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-A6-2686-01A-01D-A91U-36	chr1	17001	2288000	1445	-0.088723
TCGA-A6-2686-01A-01D-A91U-36	chr1	2288001	2363000	75	-0.163828
TCGA-A6-2686-01A-01D-A91U-36	chr1	2363001	2653000	289	-0.117229
TCGA-A6-2686-01A-01D-A91U-36	chr1	2653001	2753000	9	0.601677
TCGA-A6-2686-01A-01D-A91U-36	chr1	2756001	4026000	1237	-0.104953
TCGA-A6-2686-01A-01D-A91U-36	chr1	4026001	6284000	2247	-0.082325
TCGA-A6-2686-01A-01D-A91U-36	chr1	6284001	7961000	1675	-0.067775
TCGA-A6-2686-01A-01D-A91U-36	chr1	7961001	14920000	6549	-0.063095
TCGA-A6-2686-01A-01D-A91U-36	chr1	14920001	16646000	1687	-0.067650
TCGA-A6-2686-01A-01D-A91U-36	chr1	16646001	16654000	8	-1.082032
TCGA-A6-2686-01A-01D-A91U-36	chr1	16674001	16865000	74	-0.147050
TCGA-A6-2686-01A-01D-A91U-36	chr1	16867001	16949000	81	0.436313
TCGA-A6-2686-01A-01D-A91U-36	chr1	16949001	18675000	1723	-0.084589
TCGA-A6-2686-01A-01D-A91U-36	chr1	18675001	27064000	8260	-0.064385
TCGA-A6-2686-01A-01D-A91U-36	chr1	27065001	28902000	1832	-0.070570
TCGA-A6-2686-01A-01D-A91U-36	chr1	28902001	29065000	163	-0.037243
TCGA-A6-2686-01A-01D-A91U-36	chr1	29065001	31231000	2156	-0.081698
TCGA-A6-2686-01A-01D-A91U-36	chr1	31231001	41365000	10077	-0.070422
TCGA-A6-2686-01A-01D-A91U-36	chr1	41365001	41897000	530	-0.076303
TCGA-A6-2686-01A-01D-A91U-36	chr1	41897001	43508000	1601	-0.052388
TCGA-A6-2686-01A-01D-A91U-36	chr1	43508001	44681000	1170	-0.074258
TCGA-A6-2686-01A-01D-A91U-36	chr1	44681001	45774000	1086	-0.054373
TCGA-A6-2686-01A-01D-A91U-36	chr1	45774001	46028000	254	-0.023183
TCGA-A6-2686-01A-01D-A91U-36	chr1	46028001	48087000	2033	-0.046255
TCGA-A6-2686-01A-01D-A91U-36	chr1	48087001	48808000	712	-0.038164
TCGA-A6-2686-01A-01D-A91U-36	chr1	48808001	48998000	190	-0.929046
TCGA-A6-2686-01A-01D-A91U-36	chr1	48998001	54214000	5201	-0.048761
TCGA-A6-2686-01A-01D-A91U-36	chr1	54214001	55041000	821	-0.067214
TCGA-A6-2686-01A-01D-A91U-36	chr1	55041001	58466000	3398	-0.040851
TCGA-A6-2686-01A-01D-A91U-36	chr1	58466001	58695000	228	-0.011714
TCGA-A6-2686-01A-01D-A91U-36	chr1	58695001	62210000	3504	-0.032268
TCGA-A6-2686-01A-01D-A91U-36	chr1	62210001	62387000	177	-0.102414
TCGA-A6-2686-01A-01D-A91U-36	chr1	62387001	65788000	3381	-0.040123
TCGA-A6-2686-01A-01D-A91U-36	chr1	65788001	81657000	15715	-0.031965
TCGA-A6-2686-01A-01D-A91U-36	chr1	81657001	81844000	186	-0.081360
TCGA-A6-2686-01A-01D-A91U-36	chr1	81844001	83064000	1210	-0.045966
TCGA-A6-2686-01A-01D-A91U-36	chr1	83064001	84377000	1266	-0.024134
TCGA-A6-2686-01A-01D-A91U-36	chr1	84377001	85952000	1549	-0.035304
TCGA-A6-2686-01A-01D-A91U-36	chr1	85952001	91819000	5821	-0.035845
TCGA-A6-2686-01A-01D-A91U-36	chr1	91819001	94037000	2210	-0.054935
TCGA-A6-2686-01A-01D-A91U-36	chr1	94037001	104959000	10713	-0.053106
TCGA-A6-2686-01A-01D-A91U-36	chr1	104959001	105139000	180	-0.088941
TCGA-A6-2686-01A-01D-A91U-36	chr1	105139001	105301000	160	-0.074524
TCGA-A6-2686-01A-01D-A91U-36	chr1	105301001	107550000	2233	-0.059992
TCGA-A6-2686-01A-01D-A91U-36	chr1	107550001	108929000	1185	-0.062301
TCGA-A6-2686-01A-01D-A91U-36	chr1	108929001	110095000	1137	-0.096262
TCGA-A6-2686-01A-01D-A91U-36	chr1	110095001	110134000	39	-0.113171
TCGA-A6-2686-01A-01D-A91U-36	chr1	110134001	110568000	434	-0.104847
TCGA-A6-2686-01A-01D-A91U-36	chr1	110568001	118708000	8087	-0.075695
TCGA-A6-2686-01A-01D-A91U-36	chr1	118708001	119775000	1061	-0.935987
TCGA-A6-2686-01A-01D-A91U-36	chr1	119775001	143312000	1243	-0.045668
TCGA-A6-2686-01A-01D-A91U-36	chr1	143483001	143938000	246	-0.621784
TCGA-A6-2686-01A-01D-A91U-36	chr1	144101001	147094000	878	-0.078666
TCGA-A6-2686-01A-01D-A91U-36	chr1	147094001	153495000	4839	-0.071868
TCGA-A6-2686-01A-01D-A91U-36	chr1	153495001	155297000	1794	-0.107260
TCGA-A6-2686-01A-01D-A91U-36	chr1	155297001	157303000	1982	-0.091125
TCGA-A6-2686-01A-01D-A91U-36	chr1	157303001	157352000	49	-0.057009
TCGA-A6-2686-01A-01D-A91U-36	chr1	157352001	159593000	2225	-0.061191
TCGA-A6-2686-01A-01D-A91U-36	chr1	159593001	159847000	252	-0.026453
TCGA-A6-2686-01A-01D-A91U-36	chr1	159847001	160213000	366	0.075298
TCGA-A6-2686-01A-01D-A91U-36	chr1	160213001	162160000	1858	-0.067675
TCGA-A6-2686-01A-01D-A91U-36	chr1	162160001	168754000	6564	-0.064239
TCGA-A6-2686-01A-01D-A91U-36	chr1	168754001	172220000	3432	-0.044041
TCGA-A6-2686-01A-01D-A91U-36	chr1	172220001	174089000	1862	-0.034127
TCGA-A6-2686-01A-01D-A91U-36	chr1	174089001	178020000	3887	-0.064915
TCGA-A6-2686-01A-01D-A91U-36	chr1	178020001	178959000	930	-0.045731
TCGA-A6-2686-01A-01D-A91U-36	chr1	178959001	179760000	800	-0.066763
TCGA-A6-2686-01A-01D-A91U-36	chr1	179760001	183962000	4183	-0.064331
TCGA-A6-2686-01A-01D-A91U-36	chr1	183962001	185727000	1755	-0.039022
TCGA-A6-2686-01A-01D-A91U-36	chr1	185727001	186442000	711	-0.004184
TCGA-A6-2686-01A-01D-A91U-36	chr1	186442001	186574000	132	0.245179
TCGA-A6-2686-01A-01D-A91U-36	chr1	186574001	186649000	74	0.115252
TCGA-A6-2686-01A-01D-A91U-36	chr1	186649001	188742000	2068	-0.039314
TCGA-A6-2686-01A-01D-A91U-36	chr1	188742001	189826000	1081	-0.066613
TCGA-A6-2686-01A-01D-A91U-36	chr1	189826001	191792000	1960	-0.055237
TCGA-A6-2686-01A-01D-A91U-36	chr1	191792001	200010000	8080	-0.038670
TCGA-A6-2686-01A-01D-A91U-36	chr1	200010001	200369000	359	-0.070759
TCGA-A6-2686-01A-01D-A91U-36	chr1	200369001	206534000	5924	-0.080463
TCGA-A6-2686-01A-01D-A91U-36	chr1	206534001	209603000	3017	-0.052309
TCGA-A6-2686-01A-01D-A91U-36	chr1	209603001	209987000	371	-0.073571
TCGA-A6-2686-01A-01D-A91U-36	chr1	209987001	215053000	5053	-0.066736
TCGA-A6-2686-01A-01D-A91U-36	chr1	215053001	216498000	1439	-0.050732
TCGA-A6-2686-01A-01D-A91U-36	chr1	216498001	218025000	1514	-0.067760
TCGA-A6-2686-01A-01D-A91U-36	chr1	218025001	218923000	897	-0.052914
TCGA-A6-2686-01A-01D-A91U-36	chr1	218923001	219081000	158	-0.045961
TCGA-A6-2686-01A-01D-A91U-36	chr1	219081001	224595000	5350	-0.056694
TCGA-A6-2686-01A-01D-A91U-36	chr1	224595001	226962000	2362	-0.076815
TCGA-A6-2686-01A-01D-A91U-36	chr1	226962001	227783000	806	-0.055634
TCGA-A6-2686-01A-01D-A91U-36	chr1	227783001	228866000	984	-0.107892
