GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
08d29493-597f-4419-b061-90d5eb33925b	1	3301765	63621773	33984	-0.0123
08d29493-597f-4419-b061-90d5eb33925b	1	63621862	180803572	53166	0.0067
08d29493-597f-4419-b061-90d5eb33925b	1	180804831	180804994	2	-2.0271
08d29493-597f-4419-b061-90d5eb33925b	1	180805017	247650984	42551	0.0082
08d29493-597f-4419-b061-90d5eb33925b	2	480597	241537572	132156	0.0166
08d29493-597f-4419-b061-90d5eb33925b	3	2170634	178526382	96976	0.0107
08d29493-597f-4419-b061-90d5eb33925b	3	178536156	178536659	2	-2.2579
08d29493-597f-4419-b061-90d5eb33925b	3	178539169	181099654	1465	0.0156
08d29493-597f-4419-b061-90d5eb33925b	3	181105881	181142378	11	-0.7262
08d29493-597f-4419-b061-90d5eb33925b	3	181143482	197812401	8703	0.0077
08d29493-597f-4419-b061-90d5eb33925b	4	1059384	187842528	103452	0.0106
08d29493-597f-4419-b061-90d5eb33925b	5	913983	180934240	101078	0.0137
08d29493-597f-4419-b061-90d5eb33925b	6	1011760	170596889	97122	0.0108
08d29493-597f-4419-b061-90d5eb33925b	7	664936	158592540	81914	0.0095
08d29493-597f-4419-b061-90d5eb33925b	8	667625	17960811	9189	0.0111
08d29493-597f-4419-b061-90d5eb33925b	8	17962303	17966784	3	-1.6869
08d29493-597f-4419-b061-90d5eb33925b	8	17969395	20056792	1667	-0.0008
08d29493-597f-4419-b061-90d5eb33925b	8	20056974	20057012	2	-1.6932
08d29493-597f-4419-b061-90d5eb33925b	8	20057087	37756889	11295	0.0056
08d29493-597f-4419-b061-90d5eb33925b	8	37758165	37785605	2	-1.9847
08d29493-597f-4419-b061-90d5eb33925b	8	37787828	144182542	60051	0.0115
08d29493-597f-4419-b061-90d5eb33925b	9	789794	138044505	68458	0.0012
08d29493-597f-4419-b061-90d5eb33925b	10	366509	86208868	51735	0.0078
08d29493-597f-4419-b061-90d5eb33925b	10	86209351	86209556	3	-1.7678
08d29493-597f-4419-b061-90d5eb33925b	10	86209725	133411599	29521	0.0045
08d29493-597f-4419-b061-90d5eb33925b	11	456012	134272740	77538	0.0044
08d29493-597f-4419-b061-90d5eb33925b	12	780472	42213169	21823	0.0126
08d29493-597f-4419-b061-90d5eb33925b	12	42213315	42224099	2	-1.9842
08d29493-597f-4419-b061-90d5eb33925b	12	42224181	57840479	8007	0.0008
08d29493-597f-4419-b061-90d5eb33925b	12	57842827	57851618	2	-1.8805
08d29493-597f-4419-b061-90d5eb33925b	12	57857874	121184637	39211	0.01
08d29493-597f-4419-b061-90d5eb33925b	12	121189655	121191875	2	-1.9439
08d29493-597f-4419-b061-90d5eb33925b	12	121192617	132605822	5257	0.0093
08d29493-597f-4419-b061-90d5eb33925b	13	18874255	114226675	56968	0.0114
08d29493-597f-4419-b061-90d5eb33925b	14	20033191	105533894	49764	0.005
08d29493-597f-4419-b061-90d5eb33925b	15	23437561	25504634	1001	-0.0056
08d29493-597f-4419-b061-90d5eb33925b	15	25508011	25509378	2	-1.904
08d29493-597f-4419-b061-90d5eb33925b	15	25510549	101344124	43769	-0.0114
08d29493-597f-4419-b061-90d5eb33925b	16	603333	89317317	41183	-0.0093
08d29493-597f-4419-b061-90d5eb33925b	17	1074619	82959812	37259	-0.0071
08d29493-597f-4419-b061-90d5eb33925b	18	326691	5584443	2763	0.0002
08d29493-597f-4419-b061-90d5eb33925b	18	5584968	5585240	2	-1.8484
08d29493-597f-4419-b061-90d5eb33925b	18	5587042	79349796	40188	0.0056
08d29493-597f-4419-b061-90d5eb33925b	19	283868	58370362	24135	-0.01
08d29493-597f-4419-b061-90d5eb33925b	20	472817	63588502	37532	-0.0056
08d29493-597f-4419-b061-90d5eb33925b	21	13974127	46262057	20589	0.0058
08d29493-597f-4419-b061-90d5eb33925b	22	16934932	48940621	17080	-0.0184
08d29493-597f-4419-b061-90d5eb33925b	X	3236359	37825783	15426	-0.0134
08d29493-597f-4419-b061-90d5eb33925b	X	37825912	78498177	13986	0.0104
08d29493-597f-4419-b061-90d5eb33925b	X	78498417	155677414	34547	-0.0077
