GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
fc2c543d-05c3-4de7-aedc-077804e64b31	1	3301765	4316972	583	-0.1596
fc2c543d-05c3-4de7-aedc-077804e64b31	1	4317851	5240277	787	-0.284
fc2c543d-05c3-4de7-aedc-077804e64b31	1	5242109	12697649	3954	-0.1837
fc2c543d-05c3-4de7-aedc-077804e64b31	1	12701368	14618315	965	-0.2616
fc2c543d-05c3-4de7-aedc-077804e64b31	1	14618545	43338669	15376	-0.1786
fc2c543d-05c3-4de7-aedc-077804e64b31	1	43341130	43516856	110	-0.4929
fc2c543d-05c3-4de7-aedc-077804e64b31	1	43520083	45200373	905	-0.1637
fc2c543d-05c3-4de7-aedc-077804e64b31	1	45201209	45381300	80	0.1334
fc2c543d-05c3-4de7-aedc-077804e64b31	1	45383259	70721366	16038	-0.182
fc2c543d-05c3-4de7-aedc-077804e64b31	1	70721966	77245144	3651	-0.2428
fc2c543d-05c3-4de7-aedc-077804e64b31	1	77252258	78733674	839	-0.1448
fc2c543d-05c3-4de7-aedc-077804e64b31	1	78736615	83024377	2574	-0.2694
fc2c543d-05c3-4de7-aedc-077804e64b31	1	83024478	95706240	7972	-0.1801
fc2c543d-05c3-4de7-aedc-077804e64b31	1	95714889	96286024	348	-0.6515
fc2c543d-05c3-4de7-aedc-077804e64b31	1	96289911	102784750	3882	-0.2194
fc2c543d-05c3-4de7-aedc-077804e64b31	1	102785450	104543873	730	-0.6684
fc2c543d-05c3-4de7-aedc-077804e64b31	1	104546444	107198921	1443	-0.2542
fc2c543d-05c3-4de7-aedc-077804e64b31	1	107200388	186623999	30764	-0.1855
fc2c543d-05c3-4de7-aedc-077804e64b31	1	186625718	193033697	3756	-0.2537
fc2c543d-05c3-4de7-aedc-077804e64b31	1	193036714	221217036	18312	-0.1917
fc2c543d-05c3-4de7-aedc-077804e64b31	1	221218444	247650984	16692	-0.2253
fc2c543d-05c3-4de7-aedc-077804e64b31	2	480597	4335707	1878	0.109
fc2c543d-05c3-4de7-aedc-077804e64b31	2	4341569	8108803	2758	0.0366
fc2c543d-05c3-4de7-aedc-077804e64b31	2	8110227	14438892	4253	0.117
fc2c543d-05c3-4de7-aedc-077804e64b31	2	14440691	17577442	2167	0.3569
fc2c543d-05c3-4de7-aedc-077804e64b31	2	17578002	17842419	196	0.1181
fc2c543d-05c3-4de7-aedc-077804e64b31	2	17842449	19752100	1460	0.353
fc2c543d-05c3-4de7-aedc-077804e64b31	2	19752138	20935162	784	0.4368
fc2c543d-05c3-4de7-aedc-077804e64b31	2	20935817	33736805	6837	0.3467
fc2c543d-05c3-4de7-aedc-077804e64b31	2	33743908	33785491	36	-0.6929
fc2c543d-05c3-4de7-aedc-077804e64b31	2	33788893	37110966	1927	0.3574
fc2c543d-05c3-4de7-aedc-077804e64b31	2	37115545	37120944	2	-1.8793
fc2c543d-05c3-4de7-aedc-077804e64b31	2	37125868	40929951	1940	0.3631
fc2c543d-05c3-4de7-aedc-077804e64b31	2	40934324	42229767	853	0.4201
fc2c543d-05c3-4de7-aedc-077804e64b31	2	42235790	69610976	16021	0.3433
fc2c543d-05c3-4de7-aedc-077804e64b31	2	69612106	69743169	77	0.0588
fc2c543d-05c3-4de7-aedc-077804e64b31	2	69743785	73835968	2184	0.336
fc2c543d-05c3-4de7-aedc-077804e64b31	2	73839000	76231030	1427	0.1388
fc2c543d-05c3-4de7-aedc-077804e64b31	2	76231236	78270016	1174	0.0572
fc2c543d-05c3-4de7-aedc-077804e64b31	2	78270140	79833396	535	0.1394
fc2c543d-05c3-4de7-aedc-077804e64b31	2	79835597	80001614	159	-0.6612
fc2c543d-05c3-4de7-aedc-077804e64b31	2	80004343	83719681	2068	0.0577
fc2c543d-05c3-4de7-aedc-077804e64b31	2	83719703	102020402	5279	0.1159
fc2c543d-05c3-4de7-aedc-077804e64b31	2	102020622	104787291	1742	0.0592
fc2c543d-05c3-4de7-aedc-077804e64b31	2	104787386	114865781	5109	0.1314
fc2c543d-05c3-4de7-aedc-077804e64b31	2	114866602	118849894	1955	0.0703
fc2c543d-05c3-4de7-aedc-077804e64b31	2	118851006	122371109	2096	0.1391
fc2c543d-05c3-4de7-aedc-077804e64b31	2	122373410	140324642	8671	0.0841
fc2c543d-05c3-4de7-aedc-077804e64b31	2	140326826	146713111	3752	0.0293
fc2c543d-05c3-4de7-aedc-077804e64b31	2	146714320	149889369	1729	0.1085
fc2c543d-05c3-4de7-aedc-077804e64b31	2	149903507	149906589	2	-1.5634
fc2c543d-05c3-4de7-aedc-077804e64b31	2	149908881	153991575	2655	0.0962
fc2c543d-05c3-4de7-aedc-077804e64b31	2	153991753	209155616	30790	0.1227
fc2c543d-05c3-4de7-aedc-077804e64b31	2	209158107	215498690	3756	0.0717
fc2c543d-05c3-4de7-aedc-077804e64b31	2	215499074	219870652	2720	0.1156
fc2c543d-05c3-4de7-aedc-077804e64b31	2	219872216	221869122	1404	0.0484
