GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d6a1586d-e573-4cc7-8814-96c4222c229e	1	3301765	4471277	744	0.0021
d6a1586d-e573-4cc7-8814-96c4222c229e	1	4472624	5655481	938	-0.069
d6a1586d-e573-4cc7-8814-96c4222c229e	1	5657078	19397606	7324	-0.0034
d6a1586d-e573-4cc7-8814-96c4222c229e	1	19397767	23618953	2441	0.029
d6a1586d-e573-4cc7-8814-96c4222c229e	1	23619093	42454655	9686	-0.0232
d6a1586d-e573-4cc7-8814-96c4222c229e	1	42462922	43616659	702	0.0331
d6a1586d-e573-4cc7-8814-96c4222c229e	1	43617836	45770426	1073	-0.0159
d6a1586d-e573-4cc7-8814-96c4222c229e	1	45771128	47614783	858	0.043
d6a1586d-e573-4cc7-8814-96c4222c229e	1	47617240	48018379	312	-0.021
d6a1586d-e573-4cc7-8814-96c4222c229e	1	48018433	50092079	1065	-0.0729
d6a1586d-e573-4cc7-8814-96c4222c229e	1	50096212	57664101	4712	0.0018
d6a1586d-e573-4cc7-8814-96c4222c229e	1	57664282	57664404	2	-1.313
d6a1586d-e573-4cc7-8814-96c4222c229e	1	57671607	60676311	2095	-0.0053
d6a1586d-e573-4cc7-8814-96c4222c229e	1	60676538	61962166	965	0.0579
d6a1586d-e573-4cc7-8814-96c4222c229e	1	61962216	65752977	2647	0.0081
d6a1586d-e573-4cc7-8814-96c4222c229e	1	65753028	76904553	6765	-0.0214
d6a1586d-e573-4cc7-8814-96c4222c229e	1	76906451	79197008	1117	0.038
d6a1586d-e573-4cc7-8814-96c4222c229e	1	79202141	83087974	2478	-0.0683
d6a1586d-e573-4cc7-8814-96c4222c229e	1	83088289	95699010	7918	0.0187
d6a1586d-e573-4cc7-8814-96c4222c229e	1	95706240	98412720	1512	-0.041
d6a1586d-e573-4cc7-8814-96c4222c229e	1	98417214	102154133	2478	0.027
d6a1586d-e573-4cc7-8814-96c4222c229e	1	102154265	107415795	2588	-0.0406
d6a1586d-e573-4cc7-8814-96c4222c229e	1	107415914	157304447	11249	-0.0052
d6a1586d-e573-4cc7-8814-96c4222c229e	1	157304637	161811189	2776	-0.0284
d6a1586d-e573-4cc7-8814-96c4222c229e	1	161811380	163132688	1100	0.049
d6a1586d-e573-4cc7-8814-96c4222c229e	1	163135873	168011661	3701	-0.0032
d6a1586d-e573-4cc7-8814-96c4222c229e	1	168016016	169738112	1319	0.0442
d6a1586d-e573-4cc7-8814-96c4222c229e	1	169740133	177973947	4869	-0.047
d6a1586d-e573-4cc7-8814-96c4222c229e	1	177974677	181496218	2260	0.0087
d6a1586d-e573-4cc7-8814-96c4222c229e	1	181496764	182331438	615	-0.0507
d6a1586d-e573-4cc7-8814-96c4222c229e	1	182333172	187437747	3251	0.024
d6a1586d-e573-4cc7-8814-96c4222c229e	1	187442910	192106615	2634	-0.0479
d6a1586d-e573-4cc7-8814-96c4222c229e	1	192107237	195662988	2226	0.0282
d6a1586d-e573-4cc7-8814-96c4222c229e	1	195663690	196997723	667	0.0959
d6a1586d-e573-4cc7-8814-96c4222c229e	1	197003420	200001288	1728	-0.032
d6a1586d-e573-4cc7-8814-96c4222c229e	1	200001933	210404529	6984	0.0146
d6a1586d-e573-4cc7-8814-96c4222c229e	1	210404797	210907596	432	-0.0657
d6a1586d-e573-4cc7-8814-96c4222c229e	1	210907839	215984692	3310	0.0123
d6a1586d-e573-4cc7-8814-96c4222c229e	1	215984862	219473465	2433	-0.0474
d6a1586d-e573-4cc7-8814-96c4222c229e	1	219474311	233307984	8554	-0.0012
