GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
58e18eca-1eeb-47be-906f-73a8096a5509	1	62920	16604834	8648	0.0008
58e18eca-1eeb-47be-906f-73a8096a5509	1	16605031	16643961	25	-0.6357
58e18eca-1eeb-47be-906f-73a8096a5509	1	16679239	16766922	14	-0.0314
58e18eca-1eeb-47be-906f-73a8096a5509	1	16767520	16935752	67	0.4027
58e18eca-1eeb-47be-906f-73a8096a5509	1	16949746	25269456	5262	0.0036
58e18eca-1eeb-47be-906f-73a8096a5509	1	25269914	25320455	21	0.593
58e18eca-1eeb-47be-906f-73a8096a5509	1	25336819	34626073	4952	0.0032
58e18eca-1eeb-47be-906f-73a8096a5509	1	34637053	34638890	20	-0.7626
58e18eca-1eeb-47be-906f-73a8096a5509	1	34648667	55997981	12145	-0.0005
58e18eca-1eeb-47be-906f-73a8096a5509	1	55998133	56008996	3	1.2574
58e18eca-1eeb-47be-906f-73a8096a5509	1	56009553	72280884	11602	0.0051
58e18eca-1eeb-47be-906f-73a8096a5509	1	72280898	72345255	57	0.2695
58e18eca-1eeb-47be-906f-73a8096a5509	1	72345393	109684893	23607	0.0063
58e18eca-1eeb-47be-906f-73a8096a5509	1	109690352	109697556	13	2.4025
58e18eca-1eeb-47be-906f-73a8096a5509	1	109702376	152583230	9580	0.0117
58e18eca-1eeb-47be-906f-73a8096a5509	1	152583291	152614118	34	-2.1249
58e18eca-1eeb-47be-906f-73a8096a5509	1	152618018	209897717	38522	0.0048
58e18eca-1eeb-47be-906f-73a8096a5509	1	209908268	209910639	3	-2.4649
58e18eca-1eeb-47be-906f-73a8096a5509	1	209913207	248930189	27023	0.0071
58e18eca-1eeb-47be-906f-73a8096a5509	2	12784	7571017	5971	0.0074
58e18eca-1eeb-47be-906f-73a8096a5509	2	7571096	7574782	3	1.2015
58e18eca-1eeb-47be-906f-73a8096a5509	2	7575532	20617733	9589	0.0064
58e18eca-1eeb-47be-906f-73a8096a5509	2	20617913	20618052	3	-1.3201
58e18eca-1eeb-47be-906f-73a8096a5509	2	20623459	34466002	8518	0.0084
58e18eca-1eeb-47be-906f-73a8096a5509	2	34474248	34511990	46	-2.1996
58e18eca-1eeb-47be-906f-73a8096a5509	2	34512096	38145736	2778	0.0233
58e18eca-1eeb-47be-906f-73a8096a5509	2	38146270	38146288	2	-1.2961
58e18eca-1eeb-47be-906f-73a8096a5509	2	38146410	38148887	6	-0.3529
58e18eca-1eeb-47be-906f-73a8096a5509	2	38149427	38181818	33	0.0138
58e18eca-1eeb-47be-906f-73a8096a5509	2	38182078	38182702	2	-1.2756
58e18eca-1eeb-47be-906f-73a8096a5509	2	38183128	41011095	1983	0.0142
58e18eca-1eeb-47be-906f-73a8096a5509	2	41011303	41018747	22	-2.3091
58e18eca-1eeb-47be-906f-73a8096a5509	2	41024093	52527727	8183	0.0117
58e18eca-1eeb-47be-906f-73a8096a5509	2	52527743	52531977	9	0.9911
58e18eca-1eeb-47be-906f-73a8096a5509	2	52537070	52537117	3	-0.3804
58e18eca-1eeb-47be-906f-73a8096a5509	2	52537337	52554404	22	0.9423
58e18eca-1eeb-47be-906f-73a8096a5509	2	52560811	86710564	21917	0.0065
