GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b8e8ada9-5188-47ad-a56a-df6c65e8623b	1	3301765	68615359	37659	0.02
b8e8ada9-5188-47ad-a56a-df6c65e8623b	1	68616387	68616663	2	-1.751
b8e8ada9-5188-47ad-a56a-df6c65e8623b	1	68616759	247650984	92010	0.0191
b8e8ada9-5188-47ad-a56a-df6c65e8623b	2	480597	241537572	132108	0.0184
b8e8ada9-5188-47ad-a56a-df6c65e8623b	3	2170634	144161569	79459	0.0182
b8e8ada9-5188-47ad-a56a-df6c65e8623b	3	144162147	144196224	16	-0.4868
b8e8ada9-5188-47ad-a56a-df6c65e8623b	3	144199695	197812401	27629	0.0196
b8e8ada9-5188-47ad-a56a-df6c65e8623b	4	1059384	187842528	103412	0.0205
b8e8ada9-5188-47ad-a56a-df6c65e8623b	5	913983	157966535	87037	0.0186
b8e8ada9-5188-47ad-a56a-df6c65e8623b	5	157972042	157972891	3	-1.5563
b8e8ada9-5188-47ad-a56a-df6c65e8623b	5	157974887	180934240	14007	0.0175
b8e8ada9-5188-47ad-a56a-df6c65e8623b	6	1011760	170596889	97083	0.0183
b8e8ada9-5188-47ad-a56a-df6c65e8623b	7	664936	67664921	34681	0.0167
b8e8ada9-5188-47ad-a56a-df6c65e8623b	7	67665305	67671695	2	-2.6003
b8e8ada9-5188-47ad-a56a-df6c65e8623b	7	67672505	158592540	47209	0.0197
b8e8ada9-5188-47ad-a56a-df6c65e8623b	8	667625	144182542	82171	0.0185
b8e8ada9-5188-47ad-a56a-df6c65e8623b	9	789794	30132924	18335	0.0166
b8e8ada9-5188-47ad-a56a-df6c65e8623b	9	30134534	30135177	2	-1.9659
b8e8ada9-5188-47ad-a56a-df6c65e8623b	9	30138275	37312957	4224	0.0089
b8e8ada9-5188-47ad-a56a-df6c65e8623b	9	37313085	37324683	2	-1.7947
b8e8ada9-5188-47ad-a56a-df6c65e8623b	9	37326647	97331502	20586	0.0181
b8e8ada9-5188-47ad-a56a-df6c65e8623b	9	97334560	97343059	4	-1.6053
b8e8ada9-5188-47ad-a56a-df6c65e8623b	9	97343500	138044505	25288	0.0157
b8e8ada9-5188-47ad-a56a-df6c65e8623b	10	366509	133411599	81233	0.0207
b8e8ada9-5188-47ad-a56a-df6c65e8623b	11	456012	110852454	61249	0.0184
b8e8ada9-5188-47ad-a56a-df6c65e8623b	11	110853037	110856409	3	-1.6036
b8e8ada9-5188-47ad-a56a-df6c65e8623b	11	110857850	134272740	16245	0.0196
b8e8ada9-5188-47ad-a56a-df6c65e8623b	12	780472	132605822	74300	0.0163
b8e8ada9-5188-47ad-a56a-df6c65e8623b	13	18874255	114226675	56942	0.018
b8e8ada9-5188-47ad-a56a-df6c65e8623b	14	20033191	34028028	7651	0.0149
b8e8ada9-5188-47ad-a56a-df6c65e8623b	14	34030558	34189902	103	0.6006
b8e8ada9-5188-47ad-a56a-df6c65e8623b	14	34197734	105533894	41999	0.017
b8e8ada9-5188-47ad-a56a-df6c65e8623b	15	23437561	101344124	44763	0.016
b8e8ada9-5188-47ad-a56a-df6c65e8623b	16	603333	10693767	5434	0.0152
b8e8ada9-5188-47ad-a56a-df6c65e8623b	16	10696010	10698040	2	-2.0254
b8e8ada9-5188-47ad-a56a-df6c65e8623b	16	10700824	89317317	35751	0.0191
b8e8ada9-5188-47ad-a56a-df6c65e8623b	17	1074619	82959812	37263	0.0181
b8e8ada9-5188-47ad-a56a-df6c65e8623b	18	326691	79349796	42927	0.0164
b8e8ada9-5188-47ad-a56a-df6c65e8623b	19	283868	58370362	24149	0.0205
b8e8ada9-5188-47ad-a56a-df6c65e8623b	20	472817	21875695	14408	0.0197
b8e8ada9-5188-47ad-a56a-df6c65e8623b	20	21877913	21886662	4	-1.1722
b8e8ada9-5188-47ad-a56a-df6c65e8623b	20	21895090	63588502	23131	0.0192
b8e8ada9-5188-47ad-a56a-df6c65e8623b	21	13974127	46262057	20572	0.0165
b8e8ada9-5188-47ad-a56a-df6c65e8623b	22	16934932	48940621	17087	0.0235
b8e8ada9-5188-47ad-a56a-df6c65e8623b	X	3236359	155677414	63908	0.0199
