GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e0a8075d-3f76-441f-bda9-4585033916ce	1	3301765	5537170	1551	-0.2026
e0a8075d-3f76-441f-bda9-4585033916ce	1	5537695	46591216	21611	-0.1337
e0a8075d-3f76-441f-bda9-4585033916ce	1	46591747	57903887	6842	-0.096
e0a8075d-3f76-441f-bda9-4585033916ce	1	57903990	95307550	23513	-0.0644
e0a8075d-3f76-441f-bda9-4585033916ce	1	95308386	115652590	11878	-0.0881
e0a8075d-3f76-441f-bda9-4585033916ce	1	115658099	115664330	10	-1.3664
e0a8075d-3f76-441f-bda9-4585033916ce	1	115664748	116771370	777	-0.0453
e0a8075d-3f76-441f-bda9-4585033916ce	1	116772111	116776644	2	-2.4639
e0a8075d-3f76-441f-bda9-4585033916ce	1	116778285	119915295	1871	-0.0659
e0a8075d-3f76-441f-bda9-4585033916ce	1	119916539	158877078	4658	-0.1224
e0a8075d-3f76-441f-bda9-4585033916ce	1	158879261	158879615	3	-1.4902
e0a8075d-3f76-441f-bda9-4585033916ce	1	158880783	160963587	1344	-0.133
e0a8075d-3f76-441f-bda9-4585033916ce	1	160963978	160972552	2	1.164
e0a8075d-3f76-441f-bda9-4585033916ce	1	160974049	162079998	534	-0.1445
e0a8075d-3f76-441f-bda9-4585033916ce	1	162080034	173312960	8238	-0.0569
e0a8075d-3f76-441f-bda9-4585033916ce	1	173314005	242093669	44060	-0.0847
e0a8075d-3f76-441f-bda9-4585033916ce	1	242094476	247650984	2815	-0.1179
e0a8075d-3f76-441f-bda9-4585033916ce	2	480597	7205830	4112	-0.1224
e0a8075d-3f76-441f-bda9-4585033916ce	2	7206747	52697340	27134	-0.0736
e0a8075d-3f76-441f-bda9-4585033916ce	2	52701167	52743127	45	-1.4702
e0a8075d-3f76-441f-bda9-4585033916ce	2	52745448	77191935	14047	-0.0771
e0a8075d-3f76-441f-bda9-4585033916ce	2	77191949	77442506	136	-0.5317
e0a8075d-3f76-441f-bda9-4585033916ce	2	77444369	77623227	116	-1.0141
e0a8075d-3f76-441f-bda9-4585033916ce	2	77624825	77905631	151	-0.1674
e0a8075d-3f76-441f-bda9-4585033916ce	2	77907855	78147206	153	-0.3524
e0a8075d-3f76-441f-bda9-4585033916ce	2	78147376	104609118	9671	-0.0757
e0a8075d-3f76-441f-bda9-4585033916ce	2	104612194	104623631	11	0.6856
e0a8075d-3f76-441f-bda9-4585033916ce	2	104623999	120969109	8425	-0.0787
e0a8075d-3f76-441f-bda9-4585033916ce	2	120970177	120972394	2	-1.8685
e0a8075d-3f76-441f-bda9-4585033916ce	2	120972448	147249819	13503	-0.0944
e0a8075d-3f76-441f-bda9-4585033916ce	2	147254629	208664257	34644	-0.0453
e0a8075d-3f76-441f-bda9-4585033916ce	2	208664569	222087851	8274	-0.0871
e0a8075d-3f76-441f-bda9-4585033916ce	2	222090094	228385445	4047	-0.0473
e0a8075d-3f76-441f-bda9-4585033916ce	2	228385515	238770697	6208	-0.0933
e0a8075d-3f76-441f-bda9-4585033916ce	2	238771430	240550661	999	-0.1849
e0a8075d-3f76-441f-bda9-4585033916ce	2	240552028	241537572	439	-0.1028
e0a8075d-3f76-441f-bda9-4585033916ce	3	2170634	4996509	1675	-0.0957
e0a8075d-3f76-441f-bda9-4585033916ce	3	4999530	5002779	5	-1.8369
e0a8075d-3f76-441f-bda9-4585033916ce	3	5003402	22704835	10339	-0.0925
e0a8075d-3f76-441f-bda9-4585033916ce	3	22704953	42488451	12244	-0.0664
e0a8075d-3f76-441f-bda9-4585033916ce	3	42489180	61141148	9467	-0.0912
e0a8075d-3f76-441f-bda9-4585033916ce	3	61141532	61142344	3	-1.8852
e0a8075d-3f76-441f-bda9-4585033916ce	3	61145227	62636592	1076	-0.0682
e0a8075d-3f76-441f-bda9-4585033916ce	3	62639126	62639491	2	-1.6372
e0a8075d-3f76-441f-bda9-4585033916ce	3	62640416	67233555	3510	-0.0383
e0a8075d-3f76-441f-bda9-4585033916ce	3	67235659	72744329	3896	-0.0966
e0a8075d-3f76-441f-bda9-4585033916ce	3	72744857	125910985	27130	-0.0725
e0a8075d-3f76-441f-bda9-4585033916ce	3	125930560	142981567	9559	-0.0984
e0a8075d-3f76-441f-bda9-4585033916ce	3	142983814	177593733	17570	-0.0586
e0a8075d-3f76-441f-bda9-4585033916ce	3	177595682	177688539	64	0.4648
e0a8075d-3f76-441f-bda9-4585033916ce	3	177690491	197812401	10648	-0.0789
e0a8075d-3f76-441f-bda9-4585033916ce	4	1059384	1165203	71	-0.0264
e0a8075d-3f76-441f-bda9-4585033916ce	4	1167692	7598325	3617	-0.1414
e0a8075d-3f76-441f-bda9-4585033916ce	4	7599209	7603119	2	-2.1998
e0a8075d-3f76-441f-bda9-4585033916ce	4	7603438	9756856	695	-0.1253
e0a8075d-3f76-441f-bda9-4585033916ce	4	9761700	72337852	35151	-0.0771
e0a8075d-3f76-441f-bda9-4585033916ce	4	72339374	91017021	11270	-0.0481
e0a8075d-3f76-441f-bda9-4585033916ce	4	91017241	91017501	3	-1.6403
e0a8075d-3f76-441f-bda9-4585033916ce	4	91017586	139869345	26659	-0.0574
e0a8075d-3f76-441f-bda9-4585033916ce	4	139869879	139871080	3	-1.6931
e0a8075d-3f76-441f-bda9-4585033916ce	4	139872027	175098414	19710	-0.0548
e0a8075d-3f76-441f-bda9-4585033916ce	4	175098498	184396345	4607	-0.0989
e0a8075d-3f76-441f-bda9-4585033916ce	4	184399478	187842528	1703	-0.0291
e0a8075d-3f76-441f-bda9-4585033916ce	5	913983	8288223	5318	-0.1459
e0a8075d-3f76-441f-bda9-4585033916ce	5	8289009	24599787	9130	-0.0881
e0a8075d-3f76-441f-bda9-4585033916ce	5	24600878	24602541	2	-2.566
e0a8075d-3f76-441f-bda9-4585033916ce	5	24602906	121747112	50568	-0.0766
e0a8075d-3f76-441f-bda9-4585033916ce	5	121747459	124881791	1913	-0.0347
e0a8075d-3f76-441f-bda9-4585033916ce	5	124882115	124882192	2	-1.9295
e0a8075d-3f76-441f-bda9-4585033916ce	5	124886752	128752059	2292	-0.0285
