GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
8250aac3-7d76-4db3-98e0-e2298660c20c	chr1	62920	19688807	3	2	1
8250aac3-7d76-4db3-98e0-e2298660c20c	chr1	19689162	19692022	1	1	0
8250aac3-7d76-4db3-98e0-e2298660c20c	chr1	19692287	152583230	3	2	1
8250aac3-7d76-4db3-98e0-e2298660c20c	chr1	152583291	152613762	0	0	0
8250aac3-7d76-4db3-98e0-e2298660c20c	chr1	152613802	248930189	3	2	1
8250aac3-7d76-4db3-98e0-e2298660c20c	chr2	12784	3721355	4	2	2
8250aac3-7d76-4db3-98e0-e2298660c20c	chr2	3721417	10811687	5	4	1
8250aac3-7d76-4db3-98e0-e2298660c20c	chr2	10811785	57934262	4	2	2
8250aac3-7d76-4db3-98e0-e2298660c20c	chr2	57936011	57942815	2	1	1
8250aac3-7d76-4db3-98e0-e2298660c20c	chr2	57942869	88834118	4	2	2
8250aac3-7d76-4db3-98e0-e2298660c20c	chr2	88836539	89118119	14	14	0
8250aac3-7d76-4db3-98e0-e2298660c20c	chr2	89119438	106091521	4	2	2
8250aac3-7d76-4db3-98e0-e2298660c20c	chr2	106091866	106114120	3	2	1
8250aac3-7d76-4db3-98e0-e2298660c20c	chr2	106114477	181281144	4	2	2
8250aac3-7d76-4db3-98e0-e2298660c20c	chr2	181283822	181359797	3	2	1
8250aac3-7d76-4db3-98e0-e2298660c20c	chr2	181366172	242147305	4	2	2
8250aac3-7d76-4db3-98e0-e2298660c20c	chr3	20930	5018883	3	3	0
8250aac3-7d76-4db3-98e0-e2298660c20c	chr3	5019822	8704147	4	3	1
8250aac3-7d76-4db3-98e0-e2298660c20c	chr3	8704861	60394526	4	2	2
8250aac3-7d76-4db3-98e0-e2298660c20c	chr3	60397095	60424294	1	1	0
8250aac3-7d76-4db3-98e0-e2298660c20c	chr3	60424454	131204990	4	2	2
8250aac3-7d76-4db3-98e0-e2298660c20c	chr3	131205325	133226517	3	2	1
8250aac3-7d76-4db3-98e0-e2298660c20c	chr3	133230735	162794951	4	2	2
8250aac3-7d76-4db3-98e0-e2298660c20c	chr3	162795304	162906093	1	1	0
8250aac3-7d76-4db3-98e0-e2298660c20c	chr3	162906109	184980246	4	2	2
8250aac3-7d76-4db3-98e0-e2298660c20c	chr3	184980778	185075133	5	3	2
8250aac3-7d76-4db3-98e0-e2298660c20c	chr3	185075968	190841798	4	2	2
8250aac3-7d76-4db3-98e0-e2298660c20c	chr3	190843227	194518160	4	3	1
8250aac3-7d76-4db3-98e0-e2298660c20c	chr3	194518858	198169247	4	2	2
8250aac3-7d76-4db3-98e0-e2298660c20c	chr4	68929	10221792	3	2	1
8250aac3-7d76-4db3-98e0-e2298660c20c	chr4	10222004	10233644	10	10	0
8250aac3-7d76-4db3-98e0-e2298660c20c	chr4	10234518	81829785	3	2	1
8250aac3-7d76-4db3-98e0-e2298660c20c	chr4	81830219	81847731	1	1	0
8250aac3-7d76-4db3-98e0-e2298660c20c	chr4	81852466	190106768	3	2	1
8250aac3-7d76-4db3-98e0-e2298660c20c	chr5	15532	1951812	5	3	2
8250aac3-7d76-4db3-98e0-e2298660c20c	chr5	1951886	7238388	4	2	2
8250aac3-7d76-4db3-98e0-e2298660c20c	chr5	7239222	7255871	2	1	1
8250aac3-7d76-4db3-98e0-e2298660c20c	chr5	7257048	18337178	4	2	2
8250aac3-7d76-4db3-98e0-e2298660c20c	chr5	18337358	18338257	2	1	1
8250aac3-7d76-4db3-98e0-e2298660c20c	chr5	18341204	29068180	4	2	2
8250aac3-7d76-4db3-98e0-e2298660c20c	chr5	29068245	29104292	7	4	3
8250aac3-7d76-4db3-98e0-e2298660c20c	chr5	29105899	42714590	4	2	2
8250aac3-7d76-4db3-98e0-e2298660c20c	chr5	42714897	53162334	5	3	2
8250aac3-7d76-4db3-98e0-e2298660c20c	chr5	53167400	58023655	4	2	2
