GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
421c3727-1dfd-4904-8dcc-219b650d653c	1	3301765	217648172	110605	-0.0993
421c3727-1dfd-4904-8dcc-219b650d653c	1	217650726	228821573	6595	-0.2998
421c3727-1dfd-4904-8dcc-219b650d653c	1	228823292	236548318	5358	-0.3581
421c3727-1dfd-4904-8dcc-219b650d653c	1	236548550	236645172	102	-0.2239
421c3727-1dfd-4904-8dcc-219b650d653c	1	236646941	247650984	7002	-0.1217
421c3727-1dfd-4904-8dcc-219b650d653c	2	480597	9855744	5810	-0.0161
421c3727-1dfd-4904-8dcc-219b650d653c	2	9858838	9859228	3	-1.7447
421c3727-1dfd-4904-8dcc-219b650d653c	2	9860051	241537572	126313	0.0012
421c3727-1dfd-4904-8dcc-219b650d653c	3	2170634	197812401	107109	-0.1046
421c3727-1dfd-4904-8dcc-219b650d653c	4	1059384	48067890	28346	-0.0363
421c3727-1dfd-4904-8dcc-219b650d653c	4	51832470	183400750	73063	-0.0893
421c3727-1dfd-4904-8dcc-219b650d653c	4	183400815	187842528	2008	-0.0227
421c3727-1dfd-4904-8dcc-219b650d653c	5	913983	26861043	15613	-0.0117
421c3727-1dfd-4904-8dcc-219b650d653c	5	26861116	128348425	53317	0.0067
421c3727-1dfd-4904-8dcc-219b650d653c	5	128350686	128357833	3	-1.4304
421c3727-1dfd-4904-8dcc-219b650d653c	5	128370353	180934240	32115	0.0025
421c3727-1dfd-4904-8dcc-219b650d653c	6	1011760	34156636	20090	-0.1698
421c3727-1dfd-4904-8dcc-219b650d653c	6	34157504	34179117	3	1.4697
421c3727-1dfd-4904-8dcc-219b650d653c	6	34182481	38320247	2276	-0.1885
421c3727-1dfd-4904-8dcc-219b650d653c	6	38320392	157603569	67743	-0.1629
421c3727-1dfd-4904-8dcc-219b650d653c	6	157605748	170596889	6946	-0.1852
421c3727-1dfd-4904-8dcc-219b650d653c	7	664936	6735057	2302	0.2236
421c3727-1dfd-4904-8dcc-219b650d653c	7	6736405	42080608	22006	0.241
421c3727-1dfd-4904-8dcc-219b650d653c	7	42080909	135803873	45627	0.2247
421c3727-1dfd-4904-8dcc-219b650d653c	7	135805276	135816006	2	1.4672
421c3727-1dfd-4904-8dcc-219b650d653c	7	135820552	158592540	11972	0.2224
421c3727-1dfd-4904-8dcc-219b650d653c	8	667625	1855753	567	-0.3671
421c3727-1dfd-4904-8dcc-219b650d653c	8	1858768	1964968	83	-0.5543
421c3727-1dfd-4904-8dcc-219b650d653c	8	1965581	27780880	15583	-0.3226
421c3727-1dfd-4904-8dcc-219b650d653c	8	27785771	29556057	1139	0.3695
421c3727-1dfd-4904-8dcc-219b650d653c	8	29556679	36714988	4093	-0.3257
421c3727-1dfd-4904-8dcc-219b650d653c	8	36719222	36820944	61	0.3793
421c3727-1dfd-4904-8dcc-219b650d653c	8	36822295	36904954	45	-0.2796
421c3727-1dfd-4904-8dcc-219b650d653c	8	36907381	38693583	930	0.3434
421c3727-1dfd-4904-8dcc-219b650d653c	8	38695180	41533614	1664	-0.3332
421c3727-1dfd-4904-8dcc-219b650d653c	8	41534069	42066757	320	0.3414
421c3727-1dfd-4904-8dcc-219b650d653c	8	42070445	48347564	1268	1.0845
421c3727-1dfd-4904-8dcc-219b650d653c	8	48352745	48470960	74	0.6644
421c3727-1dfd-4904-8dcc-219b650d653c	8	48478644	144182542	56331	1.1112
421c3727-1dfd-4904-8dcc-219b650d653c	9	789794	134704567	67262	-0.1627
421c3727-1dfd-4904-8dcc-219b650d653c	9	134704607	136635700	794	-0.2533
421c3727-1dfd-4904-8dcc-219b650d653c	9	136648786	138044505	368	-0.1796
421c3727-1dfd-4904-8dcc-219b650d653c	10	366509	68437151	40353	-0.1168
421c3727-1dfd-4904-8dcc-219b650d653c	10	68441880	86232219	11380	-0.1861
421c3727-1dfd-4904-8dcc-219b650d653c	10	86236368	86239209	3	-2.5464
421c3727-1dfd-4904-8dcc-219b650d653c	10	86239332	87872646	725	-0.1799
421c3727-1dfd-4904-8dcc-219b650d653c	10	87872765	95656150	4756	-0.1079
421c3727-1dfd-4904-8dcc-219b650d653c	10	95666329	95673524	8	-1.4585
421c3727-1dfd-4904-8dcc-219b650d653c	10	95676507	133411599	23993	-0.126
421c3727-1dfd-4904-8dcc-219b650d653c	11	456012	4560920	1607	-0.051
421c3727-1dfd-4904-8dcc-219b650d653c	11	4572287	4572359	2	-1.4985
421c3727-1dfd-4904-8dcc-219b650d653c	11	4573509	134272740	75897	-0.0343
421c3727-1dfd-4904-8dcc-219b650d653c	12	780472	10368394	5254	-0.0092
