miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	1.116017	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	24	26.784399	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	223	248.871707	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	241	268.960006	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	1231	1373.816464	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	33	36.828549	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	1.116017	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	7	7.812116	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	1.116017	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	1.116017	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	70	78.121164	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	1.116017	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	1.116017	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	10	11.160166	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	3	3.348050	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	1.116017	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	2	2.232033	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	4	4.464066	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	9	10.044150	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	1.116017	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	4	4.464066	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146544:-	1	1.116017	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	14	15.624233	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	2	2.232033	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	7	7.812116	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	69	77.005147	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	10	11.160166	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	1283	1431.849329	N	mature,MIMAT0000062
