GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	62920	3050660	638	0.1355
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	3054366	3184789	42	-0.3056
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	3185198	4732594	1081	0.1103
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	4733520	4737438	4	-1.4543
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	4737961	12779433	4726	0.1289
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	12792599	12823233	24	-0.4326
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	12832455	15707706	1753	0.1095
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	15719614	15721619	5	-0.83
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	15722790	16643683	398	0.1705
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	16643816	16643961	4	-1.1579
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	16679239	29701644	7279	0.1444
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	29701763	30527231	695	0.0367
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	30527974	42102745	6538	0.1155
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	42103284	42104007	2	-1.5106
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	42104716	55266060	7341	0.131
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	55276537	56127376	688	-0.6508
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	56133461	56169436	27	0.1179
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	56169543	68692711	9364	-0.6025
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	68693283	68702599	4	-3.4427
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	68704942	72302735	2108	-0.6446
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	72302815	72345465	47	0.1679
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	72346221	102632457	19486	-0.6299
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	102642105	105476748	1387	0.0335
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	105476861	105515824	48	-0.317
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	105515839	109690352	2600	0.088
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	109690415	109697556	12	-1.6488
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	109702376	110159954	301	0.1494
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	110164101	110179254	15	-0.6035
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	110179418	110823480	510	0.0815
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	110827750	110845604	49	-0.6429
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	110849445	112147704	1075	0.078
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	112153343	112163572	34	-0.3212
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	112163576	113822069	984	0.1178
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	113840711	114981783	688	-0.6132
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	114982974	121705338	3475	0.1122
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	143459641	143710242	86	0.4296
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	143710767	152583051	2356	0.1304
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	152583230	152614118	35	-2.2608
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	152618018	152790427	183	0.0737
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	152790502	152790593	4	-0.917
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	152794991	157508748	2509	0.1223
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	157512664	157513157	2	-1.4373
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	157513483	160176383	1957	0.0826
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	160176704	160177013	3	-1.4832
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	160177153	169247699	6822	0.1066
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	169264736	169269507	6	1.101
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	169272528	174827267	3521	0.0811
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	174827418	174828549	14	-0.6594
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	174832599	182101336	4927	0.0947
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	182101593	182102273	3	-1.6416
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	182105634	186018646	2623	0.1099
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	186021750	189825603	2489	0.0294
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	189825645	189840244	8	-0.895
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	189840280	196758720	4594	0.029
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	196761905	196780691	26	0.4875
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	196780705	196843377	32	0.1622
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	196843400	196846661	2	-2.6914
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	196847600	198907465	1215	0.0492
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	198907683	198907729	2	-2.5668
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	198909218	199623337	506	0.0307
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	199623632	216523146	11565	0.1014
0590eac2-d0d4-4f6c-9dd0-66f74ab6038b	1	216523318	216523424	2	-2.1016
