GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	1	3301765	13854337	5633	-0.283
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	1	13858990	14020134	164	-0.8148
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	1	14021491	37214388	12436	-0.2717
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	1	37221817	49313147	6630	0.0255
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	1	49316982	49418427	52	-0.3277
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	1	49424234	62060107	8060	0.0328
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	1	62061086	62277092	140	-0.1077
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	1	62277293	107035143	27019	0.0472
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	1	107035210	151329598	8488	0.08
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	1	151330367	235998950	53656	0.1021
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	1	235999292	247650984	7466	0.0859
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	2	480597	88293403	50502	0.1046
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	2	88295521	137621453	21922	0.046
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	2	137625180	182437051	26309	-0.2606
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	2	182439027	182439876	2	-2.8532
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	2	182440050	186280132	1577	-0.2263
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	2	186287937	186450854	94	-0.7858
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	2	186451731	186659030	111	-0.2212
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	2	186663777	186772859	60	0.4013
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	2	186778679	209732536	12177	-0.2396
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	2	209735309	241537572	19366	-0.2683
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	3	2170634	33478037	18802	-0.2668
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	3	33480769	33481170	2	-1.7427
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	3	33483453	59719409	14784	-0.2676
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	3	59720118	61227100	188	-0.8193
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	3	61230647	83389498	14175	-0.2672
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	3	83392848	83569594	86	-0.7329
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	3	83582641	83709008	55	-0.1442
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	3	83709522	83709677	2	-1.1742
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	3	83709717	84442460	319	-0.2189
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	3	84442515	84450503	2	-1.7722
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	3	84450949	84769719	156	-0.2518
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	3	84770141	84823831	4	-1.1016
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	3	84830880	89448376	2365	-0.255
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	3	89452113	89456175	2	1.0675
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	3	89456708	90436486	287	-0.2147
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	3	90436812	144163377	28226	0.1058
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	3	144170171	144317441	59	-0.2192
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	3	144320415	145761336	779	0.1257
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	3	145767368	145767435	2	-1.0115
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	3	145773359	162248755	8786	0.1201
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	3	162251702	165249970	1245	0.054
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	3	165250934	179474033	7216	0.1296
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	3	179479564	197812401	9578	0.1051
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	4	1059384	46575095	27520	-0.2711
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	4	46575156	59958058	5926	0.0426
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	4	59958905	59981596	9	-1.4169
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	4	59982145	60029639	37	-0.3343
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	4	60039278	65524009	2889	0.0325
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	4	65534121	65871442	186	-0.3661
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	4	65874306	90809174	14080	0.0355
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	4	90819399	90877882	38	-0.4307
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	4	90883709	133764293	23364	0.0374
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	4	133764859	136002145	968	-0.0774
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	4	136003474	142589776	4149	0.0288
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	4	142590088	142592816	2	-1.6845
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	4	142593478	176949567	19013	0.0359
a4e164cc-f3d9-4bdf-a447-5c2cd54121fd	4	176950178	178298249	827	-0.3648
