GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	62920	901705	57	-0.0253
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	914637	1560474	144	0.2456
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	1562772	2012176	135	0.1073
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	2013116	3291811	399	0.2522
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	3296382	5965473	2057	0.0362
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	5967673	5996669	17	0.4411
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	5997665	9225662	1838	0.0201
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	9225959	9351410	76	0.1896
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	9354950	15694007	3534	0.0261
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	15702243	15761329	23	0.3096
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	15761501	15823420	49	0.059
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	15827002	15827430	6	0.8425
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	15827706	16544783	302	0.0591
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	16569132	16855942	55	-0.3095
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	16863509	39648952	13002	0.0313
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	39650439	39688076	24	0.4247
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	39688962	72303233	21006	0.0215
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	72303253	72345465	45	-1.2753
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	72346221	75585159	1926	-0.0047
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	75589078	75589169	2	-2.1473
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	75593824	81422771	3839	0.006
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	81422917	81423039	6	-0.7675
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	81423183	83274454	1261	0.0138
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	83274841	83275827	2	-1.0243
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	83277034	95689620	8131	0.0179
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	95690160	95690510	2	-1.3319
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	95690660	109684893	8398	0.0048
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	109690352	109697556	13	2.1079
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	109702376	112110463	1908	0.0169
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	112110840	112163460	65	-0.2069
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	112163496	143546851	5157	0.0144
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	143547055	143751765	106	0.2323
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	143754062	196843377	32035	0.0108
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	196843400	196846661	2	3.9769
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	196847600	202329957	3558	0.0164
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	202334479	202339588	4	-0.8086
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	202339912	215684851	9090	0.015
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	215686367	215688763	11	-1.1002
2b1714c8-85d0-4e6e-9746-4aa5daac35d7	1	215692667	228355602	8344	0.0137
