GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AA-3542-01A-02D-A91U-36	chr1	17001	2655000	1811	-0.079062
TCGA-AA-3542-01A-02D-A91U-36	chr1	2655001	2757000	8	-0.924412
TCGA-AA-3542-01A-02D-A91U-36	chr1	2775001	2889000	111	-0.170361
TCGA-AA-3542-01A-02D-A91U-36	chr1	2889001	3596000	699	-0.162889
TCGA-AA-3542-01A-02D-A91U-36	chr1	3596001	4375000	768	-0.149264
TCGA-AA-3542-01A-02D-A91U-36	chr1	4375001	5220000	844	-0.195938
TCGA-AA-3542-01A-02D-A91U-36	chr1	5220001	5482000	261	-0.162864
TCGA-AA-3542-01A-02D-A91U-36	chr1	5482001	5983000	501	-0.121513
TCGA-AA-3542-01A-02D-A91U-36	chr1	5983001	6154000	169	-0.090043
TCGA-AA-3542-01A-02D-A91U-36	chr1	6154001	7078000	924	-0.068348
TCGA-AA-3542-01A-02D-A91U-36	chr1	7078001	7657000	578	-0.113579
TCGA-AA-3542-01A-02D-A91U-36	chr1	7657001	8166000	508	-0.056220
TCGA-AA-3542-01A-02D-A91U-36	chr1	8166001	11398000	3226	-0.056508
TCGA-AA-3542-01A-02D-A91U-36	chr1	11398001	12138000	740	-0.090816
TCGA-AA-3542-01A-02D-A91U-36	chr1	12138001	13122000	761	-0.062633
TCGA-AA-3542-01A-02D-A91U-36	chr1	13170001	13600000	300	-0.156829
TCGA-AA-3542-01A-02D-A91U-36	chr1	13600001	14178000	577	-0.097289
TCGA-AA-3542-01A-02D-A91U-36	chr1	14178001	14259000	80	-0.110806
TCGA-AA-3542-01A-02D-A91U-36	chr1	14259001	15092000	832	-0.109920
TCGA-AA-3542-01A-02D-A91U-36	chr1	15092001	16568000	1451	-0.046879
TCGA-AA-3542-01A-02D-A91U-36	chr1	16574001	16729000	107	-0.171188
TCGA-AA-3542-01A-02D-A91U-36	chr1	16729001	16857000	34	-1.309365
TCGA-AA-3542-01A-02D-A91U-36	chr1	16860001	16949000	86	0.578809
TCGA-AA-3542-01A-02D-A91U-36	chr1	16949001	17461000	509	-0.082720
TCGA-AA-3542-01A-02D-A91U-36	chr1	17461001	18855000	1393	-0.121411
TCGA-AA-3542-01A-02D-A91U-36	chr1	18855001	19779000	924	-0.042227
TCGA-AA-3542-01A-02D-A91U-36	chr1	19779001	23887000	4085	-0.052172
TCGA-AA-3542-01A-02D-A91U-36	chr1	23887001	24477000	588	-0.009083
TCGA-AA-3542-01A-02D-A91U-36	chr1	24477001	24482000	5	-7.841238
TCGA-AA-3542-01A-02D-A91U-36	chr1	24482001	29393000	4802	-0.050101
TCGA-AA-3542-01A-02D-A91U-36	chr1	29393001	30397000	1000	-0.140922
TCGA-AA-3542-01A-02D-A91U-36	chr1	30397001	30791000	389	-0.086170
TCGA-AA-3542-01A-02D-A91U-36	chr1	30791001	33754000	2956	-0.043577
TCGA-AA-3542-01A-02D-A91U-36	chr1	33754001	34105000	346	-0.132313
TCGA-AA-3542-01A-02D-A91U-36	chr1	34105001	34429000	319	-0.107579
TCGA-AA-3542-01A-02D-A91U-36	chr1	34429001	36845000	2408	-0.070278
TCGA-AA-3542-01A-02D-A91U-36	chr1	36845001	37408000	562	-0.125787
TCGA-AA-3542-01A-02D-A91U-36	chr1	37408001	38682000	1274	-0.086710
TCGA-AA-3542-01A-02D-A91U-36	chr1	38682001	41166000	2452	-0.062640
TCGA-AA-3542-01A-02D-A91U-36	chr1	41166001	41656000	489	-0.069593
TCGA-AA-3542-01A-02D-A91U-36	chr1	41656001	42203000	542	-0.084935
TCGA-AA-3542-01A-02D-A91U-36	chr1	42203001	44287000	2075	-0.049749
TCGA-AA-3542-01A-02D-A91U-36	chr1	44287001	45774000	1480	-0.031283
TCGA-AA-3542-01A-02D-A91U-36	chr1	45774001	47537000	1738	-0.016765
TCGA-AA-3542-01A-02D-A91U-36	chr1	47537001	48289000	745	-0.001470
TCGA-AA-3542-01A-02D-A91U-36	chr1	48289001	51596000	3292	-0.061203
TCGA-AA-3542-01A-02D-A91U-36	chr1	51596001	56478000	4864	-0.046566
TCGA-AA-3542-01A-02D-A91U-36	chr1	56478001	57205000	727	-0.091671
TCGA-AA-3542-01A-02D-A91U-36	chr1	57205001	58048000	842	-0.116929
TCGA-AA-3542-01A-02D-A91U-36	chr1	58048001	58357000	296	-0.070399
TCGA-AA-3542-01A-02D-A91U-36	chr1	58357001	58635000	273	-0.026255
TCGA-AA-3542-01A-02D-A91U-36	chr1	58635001	60726000	2081	-0.009083
TCGA-AA-3542-01A-02D-A91U-36	chr1	60726001	63324000	2595	-0.041568
TCGA-AA-3542-01A-02D-A91U-36	chr1	63324001	64192000	864	-0.073413
TCGA-AA-3542-01A-02D-A91U-36	chr1	64192001	64467000	272	-0.046558
TCGA-AA-3542-01A-02D-A91U-36	chr1	64467001	65913000	1434	-0.002580
TCGA-AA-3542-01A-02D-A91U-36	chr1	65913001	66717000	799	-0.057512
TCGA-AA-3542-01A-02D-A91U-36	chr1	66717001	67051000	331	-0.023055
TCGA-AA-3542-01A-02D-A91U-36	chr1	67051001	68658000	1600	-0.005943
TCGA-AA-3542-01A-02D-A91U-36	chr1	68658001	69762000	1096	-0.063590
TCGA-AA-3542-01A-02D-A91U-36	chr1	69762001	70466000	698	-0.031166
TCGA-AA-3542-01A-02D-A91U-36	chr1	70466001	70928000	457	-0.019601
TCGA-AA-3542-01A-02D-A91U-36	chr1	70928001	73479000	2489	-0.079685
TCGA-AA-3542-01A-02D-A91U-36	chr1	73479001	77011000	3509	-0.067844
TCGA-AA-3542-01A-02D-A91U-36	chr1	77011001	77522000	508	-0.038967
TCGA-AA-3542-01A-02D-A91U-36	chr1	77522001	78656000	1127	-0.011704
TCGA-AA-3542-01A-02D-A91U-36	chr1	78656001	79860000	1195	-0.079921
TCGA-AA-3542-01A-02D-A91U-36	chr1	79860001	82786000	2900	-0.094373
TCGA-AA-3542-01A-02D-A91U-36	chr1	82786001	83188000	397	-0.071375
TCGA-AA-3542-01A-02D-A91U-36	chr1	83188001	83757000	537	-0.032732
TCGA-AA-3542-01A-02D-A91U-36	chr1	83757001	85092000	1325	0.019125
TCGA-AA-3542-01A-02D-A91U-36	chr1	85092001	85439000	347	0.024118
TCGA-AA-3542-01A-02D-A91U-36	chr1	85439001	87560000	2083	-0.011382
TCGA-AA-3542-01A-02D-A91U-36	chr1	87560001	88141000	581	-0.064667
TCGA-AA-3542-01A-02D-A91U-36	chr1	88141001	90914000	2750	-0.033023
TCGA-AA-3542-01A-02D-A91U-36	chr1	90914001	94035000	3102	-0.021420
TCGA-AA-3542-01A-02D-A91U-36	chr1	94035001	94661000	626	0.003692
TCGA-AA-3542-01A-02D-A91U-36	chr1	94661001	95583000	918	0.020230
TCGA-AA-3542-01A-02D-A91U-36	chr1	95583001	96820000	1231	-0.060574
TCGA-AA-3542-01A-02D-A91U-36	chr1	96820001	99101000	2274	-0.077892
TCGA-AA-3542-01A-02D-A91U-36	chr1	99101001	99527000	421	-0.028846
TCGA-AA-3542-01A-02D-A91U-36	chr1	99527001	100726000	1198	-0.002453
TCGA-AA-3542-01A-02D-A91U-36	chr1	100726001	101805000	1075	-0.041918
TCGA-AA-3542-01A-02D-A91U-36	chr1	101805001	105009000	3022	-0.080926
TCGA-AA-3542-01A-02D-A91U-36	chr1	105009001	105468000	457	-0.103053
TCGA-AA-3542-01A-02D-A91U-36	chr1	105468001	106753000	1269	-0.083308
TCGA-AA-3542-01A-02D-A91U-36	chr1	106753001	107550000	797	-0.023639
TCGA-AA-3542-01A-02D-A91U-36	chr1	107550001	107984000	434	0.014230
TCGA-AA-3542-01A-02D-A91U-36	chr1	107984001	108348000	272	-0.017278
TCGA-AA-3542-01A-02D-A91U-36	chr1	108348001	109536000	1085	0.004780
TCGA-AA-3542-01A-02D-A91U-36	chr1	109536001	111836000	2269	-0.045361
TCGA-AA-3542-01A-02D-A91U-36	chr1	111836001	112228000	377	-0.074363
TCGA-AA-3542-01A-02D-A91U-36	chr1	112228001	112799000	566	-0.034213
TCGA-AA-3542-01A-02D-A91U-36	chr1	112799001	114121000	1306	-0.014403
TCGA-AA-3542-01A-02D-A91U-36	chr1	114121001	115372000	1248	-0.075912
TCGA-AA-3542-01A-02D-A91U-36	chr1	115372001	115729000	355	-0.041533
TCGA-AA-3542-01A-02D-A91U-36	chr1	115729001	117839000	2103	-0.009720
TCGA-AA-3542-01A-02D-A91U-36	chr1	117839001	118903000	1056	-0.052352
TCGA-AA-3542-01A-02D-A91U-36	chr1	118903001	119221000	318	-0.064644
TCGA-AA-3542-01A-02D-A91U-36	chr1	119221001	119606000	385	-0.033832
TCGA-AA-3542-01A-02D-A91U-36	chr1	119606001	119869000	263	0.000178
TCGA-AA-3542-01A-02D-A91U-36	chr1	119869001	143186000	1074	-0.069452
TCGA-AA-3542-01A-02D-A91U-36	chr1	143186001	143271000	62	0.129513
TCGA-AA-3542-01A-02D-A91U-36	chr1	143271001	148324000	2138	-0.054129
TCGA-AA-3542-01A-02D-A91U-36	chr1	148324001	150543000	956	-0.045888
TCGA-AA-3542-01A-02D-A91U-36	chr1	150543001	152285000	1727	-0.013243
TCGA-AA-3542-01A-02D-A91U-36	chr1	152285001	153105000	768	-0.067668
TCGA-AA-3542-01A-02D-A91U-36	chr1	153105001	153367000	260	-0.049029
TCGA-AA-3542-01A-02D-A91U-36	chr1	153367001	153632000	264	-0.024171
TCGA-AA-3542-01A-02D-A91U-36	chr1	153632001	154817000	1185	-0.059976
TCGA-AA-3542-01A-02D-A91U-36	chr1	154817001	158252000	3402	-0.028491
TCGA-AA-3542-01A-02D-A91U-36	chr1	158252001	159268000	1004	-0.069164
TCGA-AA-3542-01A-02D-A91U-36	chr1	159268001	161259000	1985	-0.021354
TCGA-AA-3542-01A-02D-A91U-36	chr1	161259001	161566000	273	-0.060815
TCGA-AA-3542-01A-02D-A91U-36	chr1	161566001	161646000	48	-1.532577
TCGA-AA-3542-01A-02D-A91U-36	chr1	161646001	163171000	1499	-0.025154
TCGA-AA-3542-01A-02D-A91U-36	chr1	163171001	164400000	1221	-0.064762
TCGA-AA-3542-01A-02D-A91U-36	chr1	164400001	166665000	2253	-0.055792
TCGA-AA-3542-01A-02D-A91U-36	chr1	166665001	169121000	2450	-0.010318
TCGA-AA-3542-01A-02D-A91U-36	chr1	169121001	170135000	988	0.000593
TCGA-AA-3542-01A-02D-A91U-36	chr1	170135001	171837000	1696	-0.044117
TCGA-AA-3542-01A-02D-A91U-36	chr1	171837001	172213000	374	-0.007774
TCGA-AA-3542-01A-02D-A91U-36	chr1	172213001	172831000	616	0.009591
TCGA-AA-3542-01A-02D-A91U-36	chr1	172831001	175100000	2236	-0.038508
TCGA-AA-3542-01A-02D-A91U-36	chr1	175100001	176682000	1571	-0.065586
TCGA-AA-3542-01A-02D-A91U-36	chr1	176682001	177463000	778	-0.095174
TCGA-AA-3542-01A-02D-A91U-36	chr1	177463001	177822000	357	-0.039751
TCGA-AA-3542-01A-02D-A91U-36	chr1	177822001	181314000	3469	-0.019090
TCGA-AA-3542-01A-02D-A91U-36	chr1	181314001	181905000	591	-0.057163
TCGA-AA-3542-01A-02D-A91U-36	chr1	181905001	182660000	753	-0.031363
TCGA-AA-3542-01A-02D-A91U-36	chr1	182660001	183434000	772	-0.006213
TCGA-AA-3542-01A-02D-A91U-36	chr1	183434001	186287000	2838	-0.015753
TCGA-AA-3542-01A-02D-A91U-36	chr1	186287001	192441000	6117	-0.083943
TCGA-AA-3542-01A-02D-A91U-36	chr1	192441001	193911000	1456	-0.004317
TCGA-AA-3542-01A-02D-A91U-36	chr1	193911001	194787000	869	-0.055677
TCGA-AA-3542-01A-02D-A91U-36	chr1	194787001	195882000	1095	-0.077320
TCGA-AA-3542-01A-02D-A91U-36	chr1	195882001	196813000	871	-0.058160
TCGA-AA-3542-01A-02D-A91U-36	chr1	196813001	198828000	1968	-0.027171
TCGA-AA-3542-01A-02D-A91U-36	chr1	198828001	199589000	752	-0.066080
TCGA-AA-3542-01A-02D-A91U-36	chr1	199589001	201067000	1473	-0.025643
TCGA-AA-3542-01A-02D-A91U-36	chr1	201067001	203040000	1970	-0.023288
TCGA-AA-3542-01A-02D-A91U-36	chr1	203040001	204029000	989	-0.049180
TCGA-AA-3542-01A-02D-A91U-36	chr1	204029001	204292000	263	-0.047833
TCGA-AA-3542-01A-02D-A91U-36	chr1	204292001	206876000	2351	-0.037072
TCGA-AA-3542-01A-02D-A91U-36	chr1	206876001	207243000	367	-0.001457
TCGA-AA-3542-01A-02D-A91U-36	chr1	207243001	208818000	1525	-0.052905
TCGA-AA-3542-01A-02D-A91U-36	chr1	208818001	209446000	626	-0.080398
TCGA-AA-3542-01A-02D-A91U-36	chr1	209446001	210220000	761	-0.038241
TCGA-AA-3542-01A-02D-A91U-36	chr1	210220001	210564000	343	-0.080856
TCGA-AA-3542-01A-02D-A91U-36	chr1	210564001	210946000	381	-0.066024
TCGA-AA-3542-01A-02D-A91U-36	chr1	210946001	211695000	749	-0.010098
TCGA-AA-3542-01A-02D-A91U-36	chr1	211695001	212800000	1103	0.004285
TCGA-AA-3542-01A-02D-A91U-36	chr1	212800001	215053000	2244	-0.013767
