GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
dc06c8cc-003e-44e0-b566-6565273deb37	1	3301765	4049317	395	-0.6652
dc06c8cc-003e-44e0-b566-6565273deb37	1	4051681	4787534	638	-0.7601
dc06c8cc-003e-44e0-b566-6565273deb37	1	4787886	12744454	4297	-0.623
dc06c8cc-003e-44e0-b566-6565273deb37	1	12745344	12752136	7	-2.078
dc06c8cc-003e-44e0-b566-6565273deb37	1	12753076	18150956	2776	-0.6415
dc06c8cc-003e-44e0-b566-6565273deb37	1	18151631	18154003	5	-1.9862
dc06c8cc-003e-44e0-b566-6565273deb37	1	18155450	19057752	651	-0.6607
dc06c8cc-003e-44e0-b566-6565273deb37	1	19064614	19064683	3	-2.5295
dc06c8cc-003e-44e0-b566-6565273deb37	1	19065583	22818746	2151	-0.6252
dc06c8cc-003e-44e0-b566-6565273deb37	1	22820853	22820870	2	-3.3275
dc06c8cc-003e-44e0-b566-6565273deb37	1	22820910	36054142	6555	-0.6174
dc06c8cc-003e-44e0-b566-6565273deb37	1	36054475	36161590	40	0.1021
dc06c8cc-003e-44e0-b566-6565273deb37	1	36161844	36162550	6	-0.8121
dc06c8cc-003e-44e0-b566-6565273deb37	1	36162890	58224590	12731	0.1788
dc06c8cc-003e-44e0-b566-6565273deb37	1	58226005	62011562	2625	0.2315
dc06c8cc-003e-44e0-b566-6565273deb37	1	62012246	63335298	884	0.1918
dc06c8cc-003e-44e0-b566-6565273deb37	1	63338318	83102954	12093	-0.619
dc06c8cc-003e-44e0-b566-6565273deb37	1	83103261	83158140	38	-0.5479
dc06c8cc-003e-44e0-b566-6565273deb37	1	83158270	83489983	92	-0.3814
dc06c8cc-003e-44e0-b566-6565273deb37	1	83492919	87176703	2413	-0.5717
dc06c8cc-003e-44e0-b566-6565273deb37	1	87176721	91534098	2859	-0.6182
dc06c8cc-003e-44e0-b566-6565273deb37	1	91534178	91535764	2	-3.5203
dc06c8cc-003e-44e0-b566-6565273deb37	1	91538362	92065545	311	-0.6756
dc06c8cc-003e-44e0-b566-6565273deb37	1	92069820	96208331	2485	-0.5694
dc06c8cc-003e-44e0-b566-6565273deb37	1	96208356	104637751	4708	-0.6304
dc06c8cc-003e-44e0-b566-6565273deb37	1	104649495	110381245	3156	0.1827
dc06c8cc-003e-44e0-b566-6565273deb37	1	110388156	119984738	6141	-0.6198
dc06c8cc-003e-44e0-b566-6565273deb37	1	119984772	170844416	13149	0.1853
dc06c8cc-003e-44e0-b566-6565273deb37	1	170854413	206601186	21713	0.1593
dc06c8cc-003e-44e0-b566-6565273deb37	1	206602036	214601179	5636	0.1905
dc06c8cc-003e-44e0-b566-6565273deb37	1	214605327	216549508	1253	0.0046
dc06c8cc-003e-44e0-b566-6565273deb37	1	216551776	216551790	2	-1.4342
dc06c8cc-003e-44e0-b566-6565273deb37	1	216555419	229667249	8017	-0.0215
dc06c8cc-003e-44e0-b566-6565273deb37	1	229667907	232359413	1861	0.1606
dc06c8cc-003e-44e0-b566-6565273deb37	1	232359851	235360240	2201	0.2127
dc06c8cc-003e-44e0-b566-6565273deb37	1	235361938	238646200	2481	0.1547
dc06c8cc-003e-44e0-b566-6565273deb37	1	238650080	239645796	689	0.2399
dc06c8cc-003e-44e0-b566-6565273deb37	1	239646282	241363704	1365	0.1799
dc06c8cc-003e-44e0-b566-6565273deb37	1	241364755	244317289	1855	0.1173
dc06c8cc-003e-44e0-b566-6565273deb37	1	244317313	247650984	1424	0.1729
dc06c8cc-003e-44e0-b566-6565273deb37	2	480597	7652808	4342	0.1263
dc06c8cc-003e-44e0-b566-6565273deb37	2	7653200	11732629	2761	0.1934
dc06c8cc-003e-44e0-b566-6565273deb37	2	11732663	40941918	17137	0.1557
dc06c8cc-003e-44e0-b566-6565273deb37	2	40952099	47735973	4519	0.185
dc06c8cc-003e-44e0-b566-6565273deb37	2	47738589	83641256	19928	0.1486
dc06c8cc-003e-44e0-b566-6565273deb37	2	83641989	84839056	725	0.2143
dc06c8cc-003e-44e0-b566-6565273deb37	2	84841264	100285498	3501	0.1411
dc06c8cc-003e-44e0-b566-6565273deb37	2	100289366	128229185	14699	0.1639
dc06c8cc-003e-44e0-b566-6565273deb37	2	128231282	133940649	2552	0.1343
dc06c8cc-003e-44e0-b566-6565273deb37	2	133941649	147029516	7316	0.1
dc06c8cc-003e-44e0-b566-6565273deb37	2	147032717	155260614	4928	0.1513
dc06c8cc-003e-44e0-b566-6565273deb37	2	155268544	192743649	21396	0.179
