GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr1	61735	13529113	4	3	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr1	13529140	14673756	3	2	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr1	14675235	15274153	4	3	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr1	15274303	21135560	3	2	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr1	21135640	58911581	2	1	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr1	58912295	65442811	4	2	2
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr1	65444442	72236373	2	1	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr1	72242471	81289345	1	1	0
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr1	81291287	96142781	2	1	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr1	96143390	98376088	3	2	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr1	98376273	101574963	2	1	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr1	101574978	110810668	3	2	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr1	110811593	111814192	2	1	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr1	111814277	149901862	3	2	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr1	149904279	159727068	4	2	2
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr1	159727685	175781253	6	3	3
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr1	175781704	177082945	3	2	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr1	177083900	181048667	5	4	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr1	181048861	183054561	3	2	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr1	183056420	186198815	5	4	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr1	186199149	189543877	12	11	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr1	189544135	190452480	4	3	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr1	190452688	224010870	2	1	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr1	224017234	226484205	5	4	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr1	226484627	227659532	4	3	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr1	227660640	235436414	5	4	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr1	235436814	237492564	6	5	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr1	237495338	248930189	5	4	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr2	12784	3999827	2	1	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr2	4000221	7975945	3	2	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr2	7977285	17463694	4	3	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr2	17467078	18585911	3	2	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr2	18587584	44634181	4	3	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr2	44634653	52126569	3	2	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr2	52128430	62267387	5	4	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr2	62268074	82214435	4	3	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr2	82215884	166306569	3	2	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr2	166307153	174558335	5	4	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr2	174562125	194920819	4	3	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr2	194921040	242147305	3	2	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr3	18667	4092560	3	3	0
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr3	4093314	6419715	2	2	0
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr3	6420379	11013938	3	3	0
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr3	11014587	32698023	2	2	0
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr3	32698451	43408503	3	3	0
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr3	43415313	46645362	1	1	0
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr3	46646776	59266079	2	2	0
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr3	59267050	59435208	3	2	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr3	59438912	77029137	2	1	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr3	77032748	77975741	3	2	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr3	77976378	81377486	8	7	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr3	81378667	82648833	6	5	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr3	82657069	85313122	9	8	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr3	85316399	87872832	6	5	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr3	87883160	101498536	3	2	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr3	101501450	103157726	7	6	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr3	103160850	104526063	12	11	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr3	104529057	116366898	2	1	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr3	116366973	116671823	1	1	0
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr3	116671962	137015389	2	1	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr3	137022152	139026109	5	4	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr3	139026412	157011335	2	1	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr3	157014561	181990834	3	2	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr3	181990918	198169247	4	3	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr4	12281	800143	3	2	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr4	802433	44380178	2	1	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr4	44382775	52855502	3	2	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr4	52855698	139775241	2	2	0
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr4	139775370	140001794	1	1	0
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr4	140001876	170698939	2	2	0
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr4	170703348	171467946	5	5	0
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr4	171468554	189258140	3	3	0
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr4	189258155	190106768	4	3	1
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr5	15532	14290479	6	6	0
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr5	14290696	34156953	5	5	0
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr5	34157047	42061274	7	5	2
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr5	42061379	44151623	6	4	2
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr5	44151765	56682674	4	2	2
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr5	56683302	75005808	2	2	0
7e2d7159-d53e-41d6-ba9d-b6e8168d76c6	chr5	75006833	76026817	3	3	0
